qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
ECOR11_PROKKA|ECOR11_02294:ispU:ECOR11_02294|ECOR11_02294	NZ_CP051263.1	99.473	759	3	1	1	759	204938	205695	0.0	1378	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR14_PROKKA|ECOR14_03482:ispU:ECOR14_03482|ECOR14_03482	NZ_CP051263.1	99.605	759	2	1	1	759	204938	205695	0.0	1384	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR16_PROKKA|ECOR16_02621:ispU:ECOR16_02621|ECOR16_02621	NZ_CP051263.1	99.341	759	4	1	1	759	204938	205695	0.0	1373	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR23_PROKKA|ECOR23_00656:-:ECOR23_00656|ECOR23_00656	NZ_CP051263.1	99.736	759	1	1	1	759	204938	205695	0.0	1389	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR44_PROKKA|ECOR44_03111:-:ECOR44_03111|ECOR44_03111	NZ_CP051263.1	99.341	759	4	1	1	759	204938	205695	0.0	1373	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR48_PROKKA|ECOR48_02564:-:ECOR48_02564|ECOR48_02564	NZ_CP051263.1	99.473	759	3	1	1	759	204938	205695	0.0	1378	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR49_PROKKA|ECOR49_04421:-:ECOR49_04421|ECOR49_04421	NZ_CP051263.1	99.605	759	2	1	1	759	204938	205695	0.0	1384	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR4_PROKKA|ECOR4_01569:-:ECOR4_01569|ECOR4_01569	NZ_CP051263.1	99.341	759	4	1	1	759	204938	205695	0.0	1373	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR50_PROKKA|ECOR50_03056:-:ECOR50_03056|ECOR50_03056	NZ_CP051263.1	99.605	759	2	1	1	759	204938	205695	0.0	1384	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR51_PROKKA|ECOR51_01220:-:ECOR51_01220|ECOR51_01220	NZ_CP051263.1	99.868	759	0	1	1	759	204938	205695	0.0	1395	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR52_PROKKA|ECOR52_00707:-:ECOR52_00707|ECOR52_00707	NZ_CP051263.1	99.736	759	1	1	1	759	204938	205695	0.0	1389	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR53_PROKKA|ECOR53_02947:-:ECOR53_02947|ECOR53_02947	NZ_CP051263.1	99.868	759	0	1	1	759	204938	205695	0.0	1395	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR54_PROKKA|ECOR54_00903:-:ECOR54_00903|ECOR54_00903	NZ_CP051263.1	99.868	759	0	1	1	759	204938	205695	0.0	1395	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR55_PROKKA|ECOR55_00893:-:ECOR55_00893|ECOR55_00893	NZ_CP051263.1	99.868	759	0	1	1	759	204938	205695	0.0	1395	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR56_PROKKA|ECOR56_01055:-:ECOR56_01055|ECOR56_01055	NZ_CP051263.1	99.868	759	0	1	1	759	204938	205695	0.0	1395	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR60_PROKKA|ECOR60_02601:-:ECOR60_02601|ECOR60_02601	NZ_CP051263.1	99.868	759	0	1	1	759	204938	205695	0.0	1395	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR61_PROKKA|ECOR61_02264:-:ECOR61_02264|ECOR61_02264	NZ_CP051263.1	99.868	759	0	1	1	759	204938	205695	0.0	1395	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR62_PROKKA|ECOR62_01537:-:ECOR62_01537|ECOR62_01537	NZ_CP051263.1	99.868	759	0	1	1	759	204938	205695	0.0	1395	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR64_PROKKA|ECOR64_03235:-:ECOR64_03235|ECOR64_03235	NZ_CP051263.1	99.868	759	0	1	1	759	204938	205695	0.0	1395	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR66_PROKKA|ECOR66_02506:-:ECOR66_02506|ECOR66_02506	NZ_CP051263.1	99.868	759	0	1	1	759	204938	205695	0.0	1395	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR6_PROKKA|ECOR6_01401:-:ECOR6_01401|ECOR6_01401	NZ_CP051263.1	99.605	759	2	1	1	759	204938	205695	0.0	1384	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR8_PROKKA|ECOR8_00777:-:ECOR8_00777|ECOR8_00777	NZ_CP051263.1	99.605	759	2	1	1	759	204938	205695	0.0	1384	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
KE21|HKKLMMAK_03712:ispU:HKKLMMAK_03712|HKKLMMAK_03712	NZ_CP051263.1	99.868	759	0	1	1	759	204938	205695	0.0	1395	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
KE24|FLBELDDJ_00755:ispU:FLBELDDJ_00755|FLBELDDJ_00755	NZ_CP051263.1	99.868	759	0	1	1	759	204938	205695	0.0	1395	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
KE25|NKLEEENC_01121:ispU:NKLEEENC_01121|NKLEEENC_01121	NZ_CP051263.1	99.868	759	0	1	1	759	204938	205695	0.0	1395	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
KE26|AFHKKBMH_00845:ispU:AFHKKBMH_00845|AFHKKBMH_00845	NZ_CP051263.1	99.868	759	0	1	1	759	204938	205695	0.0	1395	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
KE4|NBLHDMPF_03533:ispU:NBLHDMPF_03533|NBLHDMPF_03533	NZ_CP051263.1	99.868	759	0	1	1	759	204938	205695	0.0	1395	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
KE40|EEHHMH_04215:ispU:EEHHMH_04215|EEHHMH_04215	NZ_CP051263.1	99.341	759	4	1	1	759	204938	205695	0.0	1373	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
KE41|PNKGMM_23700:ispU:PNKGMM_23700|PNKGMM_23700	NZ_CP051263.1	99.868	759	0	1	1	759	204938	205695	0.0	1395	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
KE46|DADKIG_18845:ispU:DADKIG_18845|DADKIG_18845	NZ_CP051263.1	99.473	759	3	1	1	759	204938	205695	0.0	1378	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
KE47|NHFOKF_07150:ispU:NHFOKF_07150|NHFOKF_07150	NZ_CP051263.1	99.341	759	4	1	1	759	204938	205695	0.0	1373	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
KE48_PROKKA|KE48_03676:ispU:KE48_03676|KE48_03676	NZ_CP051263.1	99.868	759	0	1	1	759	204938	205695	0.0	1395	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
KE50|OOFCCB_25000:ispU:OOFCCB_25000|OOFCCB_25000	NZ_CP051263.1	99.868	759	0	1	1	759	204938	205695	0.0	1395	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
KE51|BHDFJC_21760:ispU:BHDFJC_21760|BHDFJC_21760	NZ_CP051263.1	99.868	759	0	1	1	759	204938	205695	0.0	1395	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
KE54|NBPOCE_22000:ispU:NBPOCE_22000|NBPOCE_22000	NZ_CP051263.1	99.868	759	0	1	1	759	204938	205695	0.0	1395	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
KE55|HDLJKA_18785:ispU:HDLJKA_18785|HDLJKA_18785	NZ_CP051263.1	99.341	759	4	1	1	759	204938	205695	0.0	1373	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
KE58|FKGHDH_18945:ispU:FKGHDH_18945|FKGHDH_18945	NZ_CP051263.1	99.605	759	2	1	1	759	204938	205695	0.0	1384	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
LRPF007|PGOAJBJE_03835:ispU:PGOAJBJE_03835|PGOAJBJE_03835	NZ_CP051263.1	99.868	759	0	1	1	759	204938	205695	0.0	1395	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
LRPF62|CPONALDP_04013:ispU:CPONALDP_04013|CPONALDP_04013	NZ_CP051263.1	99.868	759	0	1	1	759	204938	205695	0.0	1395	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
MG1655|9d38f563c3a26fdef9221ebcd767f53a_366:uppS:b0174|9d38f563c3a26fdef9221ebcd767f53a_366	NZ_CP051263.1	99.475	762	3	1	1	762	204935	205695	0.0	1384	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
UTI89|a370e86af943a50f23d4c066bcb16592_369:ispU:IFE20_RS00910|a370e86af943a50f23d4c066bcb16592_369	NZ_CP051263.1	99.868	759	0	1	1	759	204938	205695	0.0	1395	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
W3110|a99aee7d8774ee1318b35b64abeb3eab_353:ispU:Y75_RS00880|a99aee7d8774ee1318b35b64abeb3eab_353	NZ_CP051263.1	99.473	759	3	1	1	759	204938	205695	0.0	1378	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
