qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_2544:fhuE:HGG68_RS06230|2b84de5415a5ca9477dbe99a5510e5bf_2544	NZ_QOYG01000006.1	98.584	2190	31	0	1	2190	145417	143228	0.0	3873	214558	NZ_QOYG01000006.1
ECOR11_PROKKA|ECOR11_04335:fhuE_1:ECOR11_04335|ECOR11_04335	NZ_QOYG01000006.1	99.403	837	5	0	1	837	144064	143228	0.0	1519	214558	NZ_QOYG01000006.1
ECOR14_PROKKA|ECOR14_00501:fhuE:ECOR14_00501|ECOR14_00501	NZ_QOYG01000006.1	98.721	2190	28	0	1	2190	145417	143228	0.0	3890	214558	NZ_QOYG01000006.1
ECOR16_PROKKA|ECOR16_00331:fhuE:ECOR16_00331|ECOR16_00331	NZ_QOYG01000006.1	98.539	2190	32	0	1	2190	145417	143228	0.0	3868	214558	NZ_QOYG01000006.1
ECOR23_PROKKA|ECOR23_00467:-:ECOR23_00467|ECOR23_00467	NZ_QOYG01000006.1	98.584	2190	31	0	1	2190	145417	143228	0.0	3873	214558	NZ_QOYG01000006.1
ECOR44_PROKKA|ECOR44_01284:-:ECOR44_01284|ECOR44_01284	NZ_QOYG01000006.1	98.447	2190	34	0	1	2190	145417	143228	0.0	3856	214558	NZ_QOYG01000006.1
ECOR48_PROKKA|ECOR48_00579:-:ECOR48_00579|ECOR48_00579	NZ_QOYG01000006.1	99.406	2190	13	0	1	2190	145417	143228	0.0	3973	214558	NZ_QOYG01000006.1
ECOR49_PROKKA|ECOR49_01558:-:ECOR49_01558|ECOR49_01558	NZ_QOYG01000006.1	99.064	1923	18	0	1	1923	145150	143228	0.0	3452	214558	NZ_QOYG01000006.1
ECOR4_PROKKA|ECOR4_00399:-:ECOR4_00399|ECOR4_00399	NZ_QOYG01000006.1	98.630	2190	30	0	1	2190	145417	143228	0.0	3879	214558	NZ_QOYG01000006.1
ECOR50_PROKKA|ECOR50_00455:-:ECOR50_00455|ECOR50_00455	NZ_QOYG01000006.1	99.064	1923	18	0	1	1923	145150	143228	0.0	3452	214558	NZ_QOYG01000006.1
ECOR52_PROKKA|ECOR52_00514:-:ECOR52_00514|ECOR52_00514	NZ_QOYG01000006.1	98.584	2190	31	0	1	2190	145417	143228	0.0	3873	214558	NZ_QOYG01000006.1
ECOR53_PROKKA|ECOR53_00232:-:ECOR53_00232|ECOR53_00232	NZ_QOYG01000006.1	98.128	2190	41	0	1	2190	145417	143228	0.0	3818	214558	NZ_QOYG01000006.1
ECOR54_PROKKA|ECOR54_00702:-:ECOR54_00702|ECOR54_00702	NZ_QOYG01000006.1	98.539	2190	32	0	1	2190	145417	143228	0.0	3868	214558	NZ_QOYG01000006.1
ECOR55_PROKKA|ECOR55_02359:-:ECOR55_02359|ECOR55_02359	NZ_QOYG01000006.1	98.584	2190	31	0	1	2190	145417	143228	0.0	3873	214558	NZ_QOYG01000006.1
ECOR56_PROKKA|ECOR56_02521:-:ECOR56_02521|ECOR56_02521	NZ_QOYG01000006.1	98.584	2190	31	0	1	2190	145417	143228	0.0	3873	214558	NZ_QOYG01000006.1
ECOR60_PROKKA|ECOR60_02724:-:ECOR60_02724|ECOR60_02724	NZ_QOYG01000006.1	98.128	2190	41	0	1	2190	145417	143228	0.0	3818	214558	NZ_QOYG01000006.1
ECOR61_PROKKA|ECOR61_03506:-:ECOR61_03506|ECOR61_03506	NZ_QOYG01000006.1	98.584	2190	31	0	1	2190	145417	143228	0.0	3873	214558	NZ_QOYG01000006.1
