qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_9550:phnH:HGG68_RS23420|2b84de5415a5ca9477dbe99a5510e5bf_9550	NZ_QOYG01000022.1	93.333	585	39	0	1	585	63317	62733	0.0	865	67964	NZ_QOYG01000022.1
ECOR11_PROKKA|ECOR11_00064:phnH:ECOR11_00064|ECOR11_00064	NZ_QOYG01000022.1	96.410	585	21	0	1	585	63317	62733	0.0	965	67964	NZ_QOYG01000022.1
ECOR14_PROKKA|ECOR14_00367:phnH:ECOR14_00367|ECOR14_00367	NZ_QOYG01000022.1	98.120	585	11	0	1	585	63317	62733	0.0	1020	67964	NZ_QOYG01000022.1
ECOR16_PROKKA|ECOR16_01122:phnH:ECOR16_01122|ECOR16_01122	NZ_QOYG01000022.1	96.239	585	22	0	1	585	63317	62733	0.0	959	67964	NZ_QOYG01000022.1
ECOR23_PROKKA|ECOR23_04135:-:ECOR23_04135|ECOR23_04135	NZ_QOYG01000022.1	93.333	585	39	0	1	585	63317	62733	0.0	865	67964	NZ_QOYG01000022.1
ECOR44_PROKKA|ECOR44_02401:-:ECOR44_02401|ECOR44_02401	NZ_QOYG01000022.1	100.000	585	0	0	1	585	63317	62733	0.0	1081	67964	NZ_QOYG01000022.1
ECOR48_PROKKA|ECOR48_04331:-:ECOR48_04331|ECOR48_04331	NZ_QOYG01000022.1	97.949	585	12	0	1	585	63317	62733	0.0	1014	67964	NZ_QOYG01000022.1
ECOR49_PROKKA|ECOR49_02698:-:ECOR49_02698|ECOR49_02698	NZ_QOYG01000022.1	97.949	585	12	0	1	585	63317	62733	0.0	1014	67964	NZ_QOYG01000022.1
ECOR4_PROKKA|ECOR4_02745:-:ECOR4_02745|ECOR4_02745	NZ_QOYG01000022.1	96.410	585	21	0	1	585	63317	62733	0.0	965	67964	NZ_QOYG01000022.1
ECOR50_PROKKA|ECOR50_02048:-:ECOR50_02048|ECOR50_02048	NZ_QOYG01000022.1	97.949	585	12	0	1	585	63317	62733	0.0	1014	67964	NZ_QOYG01000022.1
ECOR51_PROKKA|ECOR51_04426:-:ECOR51_04426|ECOR51_04426	NZ_QOYG01000022.1	93.333	585	39	0	1	585	63317	62733	0.0	865	67964	NZ_QOYG01000022.1
ECOR52_PROKKA|ECOR52_04143:-:ECOR52_04143|ECOR52_04143	NZ_QOYG01000022.1	93.333	585	39	0	1	585	63317	62733	0.0	865	67964	NZ_QOYG01000022.1
ECOR53_PROKKA|ECOR53_00759:-:ECOR53_00759|ECOR53_00759	NZ_QOYG01000022.1	94.530	585	32	0	1	585	63317	62733	0.0	904	67964	NZ_QOYG01000022.1
ECOR54_PROKKA|ECOR54_03722:-:ECOR54_03722|ECOR54_03722	NZ_QOYG01000022.1	93.333	585	39	0	1	585	63317	62733	0.0	865	67964	NZ_QOYG01000022.1
ECOR55_PROKKA|ECOR55_04397:-:ECOR55_04397|ECOR55_04397	NZ_QOYG01000022.1	93.333	585	39	0	1	585	63317	62733	0.0	865	67964	NZ_QOYG01000022.1
ECOR56_PROKKA|ECOR56_03864:-:ECOR56_03864|ECOR56_03864	NZ_QOYG01000022.1	93.333	585	39	0	1	585	63317	62733	0.0	865	67964	NZ_QOYG01000022.1
