position,gene,ID,type,start,end,strand,strain,central_gene,core_status,isolate_count
-9,bepA,9d38f563c3a26fdef9221ebcd767f53a_5358,CDS,2616094,2617557,+,MG1655,WP_000017553.1,core,44
-8,yfgD,9d38f563c3a26fdef9221ebcd767f53a_5360,CDS,2617578,2617937,+,MG1655,WP_000017553.1,core,44
-7,hda,9d38f563c3a26fdef9221ebcd767f53a_5362,CDS,2618075,2618776,-,MG1655,WP_000017553.1,core,44
-6,uraA,9d38f563c3a26fdef9221ebcd767f53a_5364,CDS,2618871,2620160,-,MG1655,WP_000017553.1,core,44
-5,upp,9d38f563c3a26fdef9221ebcd767f53a_5366,CDS,2620246,2620872,-,MG1655,WP_000017553.1,core,44
-4,purM,9d38f563c3a26fdef9221ebcd767f53a_5368,CDS,2621197,2622234,+,MG1655,WP_000017553.1,core,44
-3,purN,9d38f563c3a26fdef9221ebcd767f53a_5370,CDS,2622234,2622872,+,MG1655,WP_000017553.1,core,44
-2,ppk,9d38f563c3a26fdef9221ebcd767f53a_5372,CDS,2623044,2625110,+,MG1655,WP_000017553.1,core,44
-1,ppx,9d38f563c3a26fdef9221ebcd767f53a_5374,CDS,2625115,2626656,+,MG1655,WP_000017553.1,core,44
0,pdeF,9d38f563c3a26fdef9221ebcd767f53a_5376,CDS,2626695,2628938,-,MG1655,WP_000017553.1,core,44
1,yfgG,9d38f563c3a26fdef9221ebcd767f53a_5378,CDS,2629290,2629481,+,MG1655,WP_000017553.1,core,44
2,yfgH,9d38f563c3a26fdef9221ebcd767f53a_5380,CDS,2629792,2630310,+,MG1655,WP_000017553.1,core,44
3,yfgI,9d38f563c3a26fdef9221ebcd767f53a_5382,CDS,2630326,2630865,+,MG1655,WP_000017553.1,core,44
4,guaA,9d38f563c3a26fdef9221ebcd767f53a_5384,CDS,2630958,2632535,-,MG1655,WP_000017553.1,core,44
5,guaB,9d38f563c3a26fdef9221ebcd767f53a_5386,CDS,2632604,2634070,-,MG1655,WP_000017553.1,core,44
6,xseA,9d38f563c3a26fdef9221ebcd767f53a_5388,CDS,2634232,2635602,+,MG1655,WP_000017553.1,non_core,11
7,yfgJ,9d38f563c3a26fdef9221ebcd767f53a_5390,CDS,2635599,2635814,-,MG1655,WP_000017553.1,non_core,11
8,der,9d38f563c3a26fdef9221ebcd767f53a_5392,CDS,2635884,2637356,-,MG1655,WP_000017553.1,core,44
9,bamB,9d38f563c3a26fdef9221ebcd767f53a_5394,CDS,2637474,2638652,-,MG1655,WP_000017553.1,core,44
-9,garR,9d38f563c3a26fdef9221ebcd767f53a_6676,CDS,3271867,3272751,-,MG1655,agaA,core,44
-8,garL,9d38f563c3a26fdef9221ebcd767f53a_6678,CDS,3272787,3273557,-,MG1655,agaA,core,44
-7,garP,9d38f563c3a26fdef9221ebcd767f53a_6680,CDS,3273573,3274907,-,MG1655,agaA,core,44
-6,garD,9d38f563c3a26fdef9221ebcd767f53a_6682,CDS,3275282,3276853,+,MG1655,agaA,core,44
-5,prlF,9d38f563c3a26fdef9221ebcd767f53a_6684,CDS,3277002,3277337,+,MG1655,agaA,non_core,38
-4,yhaV,9d38f563c3a26fdef9221ebcd767f53a_6686,CDS,3277337,3277801,+,MG1655,agaA,non_core,38
-3,agaR,9d38f563c3a26fdef9221ebcd767f53a_6688,CDS,3277856,3278665,-,MG1655,agaA,soft_core,42
-2,kbaZ,9d38f563c3a26fdef9221ebcd767f53a_6690,CDS,3278914,3280194,+,MG1655,agaA,core,44
-1,agaV,9d38f563c3a26fdef9221ebcd767f53a_6692,CDS,3280217,3280690,+,MG1655,agaA,core,44
0,agaS,9d38f563c3a26fdef9221ebcd767f53a_6696,CDS,3281976,3283130,+,MG1655,agaA,core,44
1,kbaY,9d38f563c3a26fdef9221ebcd767f53a_6698,CDS,3283143,3284003,+,MG1655,agaA,core,44
2,agaB,9d38f563c3a26fdef9221ebcd767f53a_6700,CDS,3284170,3284646,+,MG1655,agaA,non_core,3
