qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_4121:yoaG:HGG68_RS10095|2b84de5415a5ca9477dbe99a5510e5bf_4121	NZ_QOYG01000001.1	100.000	183	0	0	1	183	296714	296532	6.83e-94	339	782163	NZ_QOYG01000001.1
ECOR11_PROKKA|ECOR11_04888:yoaG:ECOR11_04888|ECOR11_04888	NZ_QOYG01000001.1	99.454	183	1	0	1	183	296714	296532	3.18e-92	333	782163	NZ_QOYG01000001.1
ECOR14_PROKKA|ECOR14_00230:yoaG:ECOR14_00230|ECOR14_00230	NZ_QOYG01000001.1	99.454	183	1	0	1	183	296714	296532	3.18e-92	333	782163	NZ_QOYG01000001.1
ECOR16_PROKKA|ECOR16_02086:yoaG:ECOR16_02086|ECOR16_02086	NZ_QOYG01000001.1	99.454	183	1	0	1	183	296714	296532	3.18e-92	333	782163	NZ_QOYG01000001.1
ECOR23_PROKKA|ECOR23_02264:-:ECOR23_02264|ECOR23_02264	NZ_QOYG01000001.1	100.000	183	0	0	1	183	296714	296532	6.83e-94	339	782163	NZ_QOYG01000001.1
ECOR44_PROKKA|ECOR44_02668:-:ECOR44_02668|ECOR44_02668	NZ_QOYG01000001.1	98.907	183	2	0	1	183	296714	296532	1.48e-90	327	782163	NZ_QOYG01000001.1
ECOR48_PROKKA|ECOR48_01150:-:ECOR48_01150|ECOR48_01150	NZ_QOYG01000001.1	100.000	183	0	0	1	183	296714	296532	6.83e-94	339	782163	NZ_QOYG01000001.1
ECOR49_PROKKA|ECOR49_00744:-:ECOR49_00744|ECOR49_00744	NZ_QOYG01000001.1	98.907	183	2	0	1	183	296714	296532	1.48e-90	327	782163	NZ_QOYG01000001.1
ECOR4_PROKKA|ECOR4_03106:-:ECOR4_03106|ECOR4_03106	NZ_QOYG01000001.1	98.907	183	2	0	1	183	296714	296532	1.48e-90	327	782163	NZ_QOYG01000001.1
ECOR50_PROKKA|ECOR50_01436:-:ECOR50_01436|ECOR50_01436	NZ_QOYG01000001.1	98.907	183	2	0	1	183	296714	296532	1.48e-90	327	782163	NZ_QOYG01000001.1
ECOR51_PROKKA|ECOR51_02473:-:ECOR51_02473|ECOR51_02473	NZ_QOYG01000001.1	100.000	183	0	0	1	183	296714	296532	6.83e-94	339	782163	NZ_QOYG01000001.1
ECOR52_PROKKA|ECOR52_01363:-:ECOR52_01363|ECOR52_01363	NZ_QOYG01000001.1	100.000	183	0	0	1	183	296714	296532	6.83e-94	339	782163	NZ_QOYG01000001.1
ECOR53_PROKKA|ECOR53_02510:-:ECOR53_02510|ECOR53_02510	NZ_QOYG01000001.1	100.000	183	0	0	1	183	296714	296532	6.83e-94	339	782163	NZ_QOYG01000001.1
ECOR54_PROKKA|ECOR54_02223:-:ECOR54_02223|ECOR54_02223	NZ_QOYG01000001.1	100.000	183	0	0	1	183	296714	296532	6.83e-94	339	782163	NZ_QOYG01000001.1
ECOR55_PROKKA|ECOR55_03814:-:ECOR55_03814|ECOR55_03814	NZ_QOYG01000001.1	100.000	183	0	0	1	183	296714	296532	6.83e-94	339	782163	NZ_QOYG01000001.1
ECOR56_PROKKA|ECOR56_03376:-:ECOR56_03376|ECOR56_03376	NZ_QOYG01000001.1	100.000	183	0	0	1	183	296714	296532	6.83e-94	339	782163	NZ_QOYG01000001.1
ECOR60_PROKKA|ECOR60_03427:-:ECOR60_03427|ECOR60_03427	NZ_QOYG01000001.1	100.000	183	0	0	1	183	296714	296532	6.83e-94	339	782163	NZ_QOYG01000001.1
ECOR61_PROKKA|ECOR61_01035:-:ECOR61_01035|ECOR61_01035	NZ_QOYG01000001.1	100.000	183	0	0	1	183	296714	296532	6.83e-94	339	782163	NZ_QOYG01000001.1
ECOR62_PROKKA|ECOR62_03018:-:ECOR62_03018|ECOR62_03018	NZ_QOYG01000001.1	100.000	183	0	0	1	183	296714	296532	6.83e-94	339	782163	NZ_QOYG01000001.1
ECOR64_PROKKA|ECOR64_01753:-:ECOR64_01753|ECOR64_01753	NZ_QOYG01000001.1	100.000	183	0	0	1	183	296714	296532	6.83e-94	339	782163	NZ_QOYG01000001.1
ECOR66_PROKKA|ECOR66_03485:-:ECOR66_03485|ECOR66_03485	NZ_QOYG01000001.1	100.000	183	0	0	1	183	296714	296532	6.83e-94	339	782163	NZ_QOYG01000001.1
ECOR6_PROKKA|ECOR6_02700:-:ECOR6_02700|ECOR6_02700	NZ_QOYG01000001.1	99.454	183	1	0	1	183	296714	296532	3.18e-92	333	782163	NZ_QOYG01000001.1
ECOR8_PROKKA|ECOR8_01295:-:ECOR8_01295|ECOR8_01295	NZ_QOYG01000001.1	99.454	183	1	0	1	183	296714	296532	3.18e-92	333	782163	NZ_QOYG01000001.1
KE21|HKKLMMAK_00456:yoaG:HKKLMMAK_00456|HKKLMMAK_00456	NZ_QOYG01000001.1	100.000	183	0	0	1	183	296714	296532	6.83e-94	339	782163	NZ_QOYG01000001.1
KE24|FLBELDDJ_03945:yoaG:FLBELDDJ_03945|FLBELDDJ_03945	NZ_QOYG01000001.1	100.000	183	0	0	1	183	296714	296532	6.83e-94	339	782163	NZ_QOYG01000001.1
KE25|NKLEEENC_04899:yoaG:NKLEEENC_04899|NKLEEENC_04899	NZ_QOYG01000001.1	100.000	183	0	0	1	183	296714	296532	6.83e-94	339	782163	NZ_QOYG01000001.1
KE26|AFHKKBMH_02510:yoaG:AFHKKBMH_02510|AFHKKBMH_02510	NZ_QOYG01000001.1	100.000	183	0	0	1	183	296714	296532	6.83e-94	339	782163	NZ_QOYG01000001.1
KE4|NBLHDMPF_01693:yoaG:NBLHDMPF_01693|NBLHDMPF_01693	NZ_QOYG01000001.1	100.000	183	0	0	1	183	296714	296532	6.83e-94	339	782163	NZ_QOYG01000001.1
KE40|EEHHMH_14085:yoaG:EEHHMH_14085|EEHHMH_14085	NZ_QOYG01000001.1	100.000	183	0	0	1	183	296714	296532	6.83e-94	339	782163	NZ_QOYG01000001.1
KE41|PNKGMM_15020:yoaG:PNKGMM_15020|PNKGMM_15020	NZ_QOYG01000001.1	100.000	183	0	0	1	183	296714	296532	6.83e-94	339	782163	NZ_QOYG01000001.1
KE47|NHFOKF_22465:yoaG:NHFOKF_22465|NHFOKF_22465	NZ_QOYG01000001.1	100.000	183	0	0	1	183	296714	296532	6.83e-94	339	782163	NZ_QOYG01000001.1
KE48_PROKKA|KE48_04030:yoaG:KE48_04030|KE48_04030	NZ_QOYG01000001.1	100.000	183	0	0	1	183	296714	296532	6.83e-94	339	782163	NZ_QOYG01000001.1
KE50|OOFCCB_16790:yoaG:OOFCCB_16790|OOFCCB_16790	NZ_QOYG01000001.1	100.000	183	0	0	1	183	296714	296532	6.83e-94	339	782163	NZ_QOYG01000001.1
KE51|BHDFJC_15705:yoaG:BHDFJC_15705|BHDFJC_15705	NZ_QOYG01000001.1	100.000	183	0	0	1	183	296714	296532	6.83e-94	339	782163	NZ_QOYG01000001.1
KE54|NBPOCE_04350:yoaG:NBPOCE_04350|NBPOCE_04350	NZ_QOYG01000001.1	100.000	183	0	0	1	183	296714	296532	6.83e-94	339	782163	NZ_QOYG01000001.1
KE55|HDLJKA_10275:yoaG:HDLJKA_10275|HDLJKA_10275	NZ_QOYG01000001.1	100.000	183	0	0	1	183	296714	296532	6.83e-94	339	782163	NZ_QOYG01000001.1
KE58|FKGHDH_10475:yoaG:FKGHDH_10475|FKGHDH_10475	NZ_QOYG01000001.1	99.454	183	1	0	1	183	296714	296532	3.18e-92	333	782163	NZ_QOYG01000001.1
LRPF007|PGOAJBJE_02028:yoaG:PGOAJBJE_02028|PGOAJBJE_02028	NZ_QOYG01000001.1	100.000	183	0	0	1	183	296714	296532	6.83e-94	339	782163	NZ_QOYG01000001.1
LRPF62|CPONALDP_02416:yoaG:CPONALDP_02416|CPONALDP_02416	NZ_QOYG01000001.1	100.000	183	0	0	1	183	296714	296532	6.83e-94	339	782163	NZ_QOYG01000001.1
MG1655|9d38f563c3a26fdef9221ebcd767f53a_3868:yoaG:b1796|9d38f563c3a26fdef9221ebcd767f53a_3868	NZ_QOYG01000001.1	99.454	183	1	0	1	183	296714	296532	3.18e-92	333	782163	NZ_QOYG01000001.1
UTI89|a370e86af943a50f23d4c066bcb16592_3837:yoaG:IFE20_RS09435|a370e86af943a50f23d4c066bcb16592_3837	NZ_QOYG01000001.1	100.000	183	0	0	1	183	296714	296532	6.83e-94	339	782163	NZ_QOYG01000001.1
W3110|a99aee7d8774ee1318b35b64abeb3eab_3769:yoaG:Y75_RS09460|a99aee7d8774ee1318b35b64abeb3eab_3769	NZ_QOYG01000001.1	99.454	183	1	0	1	183	296714	296532	3.18e-92	333	782163	NZ_QOYG01000001.1
