qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_1890:amiD:HGG68_RS04620|2b84de5415a5ca9477dbe99a5510e5bf_1890	NZ_QOYG01000008.1	97.232	831	23	0	1	831	115506	116336	0.0	1408	196976	NZ_QOYG01000008.1
ECOR11_PROKKA|ECOR11_03009:amiD:ECOR11_03009|ECOR11_03009	NZ_QOYG01000008.1	97.714	831	19	0	1	831	115506	116336	0.0	1430	196976	NZ_QOYG01000008.1
ECOR14_PROKKA|ECOR14_02284:amiD:ECOR14_02284|ECOR14_02284	NZ_QOYG01000008.1	97.714	831	19	0	1	831	115506	116336	0.0	1430	196976	NZ_QOYG01000008.1
ECOR16_PROKKA|ECOR16_01942:amiD:ECOR16_01942|ECOR16_01942	NZ_QOYG01000008.1	97.834	831	18	0	1	831	115506	116336	0.0	1435	196976	NZ_QOYG01000008.1
ECOR23_PROKKA|ECOR23_03967:-:ECOR23_03967|ECOR23_03967	NZ_QOYG01000008.1	97.232	831	23	0	1	831	115506	116336	0.0	1408	196976	NZ_QOYG01000008.1
ECOR44_PROKKA|ECOR44_01492:-:ECOR44_01492|ECOR44_01492	NZ_QOYG01000008.1	98.075	831	16	0	1	831	115506	116336	0.0	1447	196976	NZ_QOYG01000008.1
ECOR48_PROKKA|ECOR48_03395:-:ECOR48_03395|ECOR48_03395	NZ_QOYG01000008.1	98.075	831	16	0	1	831	115506	116336	0.0	1447	196976	NZ_QOYG01000008.1
ECOR49_PROKKA|ECOR49_03526:-:ECOR49_03526|ECOR49_03526	NZ_QOYG01000008.1	98.315	831	14	0	1	831	115506	116336	0.0	1458	196976	NZ_QOYG01000008.1
ECOR4_PROKKA|ECOR4_00264:-:ECOR4_00264|ECOR4_00264	NZ_QOYG01000008.1	97.834	831	18	0	1	831	115506	116336	0.0	1435	196976	NZ_QOYG01000008.1
ECOR50_PROKKA|ECOR50_05220:-:ECOR50_05220|ECOR50_05220	NZ_QOYG01000008.1	98.315	831	14	0	1	831	115506	116336	0.0	1458	196976	NZ_QOYG01000008.1
ECOR51_PROKKA|ECOR51_03816:-:ECOR51_03816|ECOR51_03816	NZ_QOYG01000008.1	97.232	831	23	0	1	831	115506	116336	0.0	1408	196976	NZ_QOYG01000008.1
ECOR52_PROKKA|ECOR52_03353:-:ECOR52_03353|ECOR52_03353	NZ_QOYG01000008.1	97.232	831	23	0	1	831	115506	116336	0.0	1408	196976	NZ_QOYG01000008.1
ECOR53_PROKKA|ECOR53_04122:-:ECOR53_04122|ECOR53_04122	NZ_QOYG01000008.1	97.232	831	23	0	1	831	115506	116336	0.0	1408	196976	NZ_QOYG01000008.1
ECOR54_PROKKA|ECOR54_04086:-:ECOR54_04086|ECOR54_04086	NZ_QOYG01000008.1	97.232	831	23	0	1	831	115506	116336	0.0	1408	196976	NZ_QOYG01000008.1
ECOR55_PROKKA|ECOR55_02149:-:ECOR55_02149|ECOR55_02149	NZ_QOYG01000008.1	97.232	831	23	0	1	831	115506	116336	0.0	1408	196976	NZ_QOYG01000008.1
ECOR56_PROKKA|ECOR56_02311:-:ECOR56_02311|ECOR56_02311	NZ_QOYG01000008.1	97.232	831	23	0	1	831	115506	116336	0.0	1408	196976	NZ_QOYG01000008.1
ECOR60_PROKKA|ECOR60_01308:-:ECOR60_01308|ECOR60_01308	NZ_QOYG01000008.1	97.232	831	23	0	1	831	115506	116336	0.0	1408	196976	NZ_QOYG01000008.1
ECOR61_PROKKA|ECOR61_02823:-:ECOR61_02823|ECOR61_02823	NZ_QOYG01000008.1	97.232	831	23	0	1	831	115506	116336	0.0	1408	196976	NZ_QOYG01000008.1
ECOR62_PROKKA|ECOR62_03942:-:ECOR62_03942|ECOR62_03942	NZ_QOYG01000008.1	97.232	831	23	0	1	831	115506	116336	0.0	1408	196976	NZ_QOYG01000008.1
ECOR64_PROKKA|ECOR64_02871:-:ECOR64_02871|ECOR64_02871	NZ_QOYG01000008.1	96.871	831	26	0	1	831	115506	116336	0.0	1391	196976	NZ_QOYG01000008.1
ECOR66_PROKKA|ECOR66_02716:-:ECOR66_02716|ECOR66_02716	NZ_QOYG01000008.1	97.112	831	24	0	1	831	115506	116336	0.0	1402	196976	NZ_QOYG01000008.1
ECOR6_PROKKA|ECOR6_00856:-:ECOR6_00856|ECOR6_00856	NZ_QOYG01000008.1	97.834	831	18	0	1	831	115506	116336	0.0	1435	196976	NZ_QOYG01000008.1
ECOR8_PROKKA|ECOR8_01745:-:ECOR8_01745|ECOR8_01745	NZ_QOYG01000008.1	97.714	831	19	0	1	831	115506	116336	0.0	1430	196976	NZ_QOYG01000008.1
