qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_3465:patD:HGG68_RS08485|2b84de5415a5ca9477dbe99a5510e5bf_3465	NZ_QOYG01000021.1	96.702	1425	47	0	1	1425	21757	20333	0.0	2372	68134	NZ_QOYG01000021.1
ECOR11_PROKKA|ECOR11_00990:ydcW:ECOR11_00990|ECOR11_00990	NZ_QOYG01000021.1	95.579	1425	63	0	1	1425	21757	20333	0.0	2283	68134	NZ_QOYG01000021.1
ECOR14_PROKKA|ECOR14_01741:prr:ECOR14_01741|ECOR14_01741	NZ_QOYG01000021.1	95.649	1425	62	0	1	1425	21757	20333	0.0	2289	68134	NZ_QOYG01000021.1
ECOR16_PROKKA|ECOR16_01636:prr:ECOR16_01636|ECOR16_01636	NZ_QOYG01000021.1	95.649	1425	62	0	1	1425	21757	20333	0.0	2289	68134	NZ_QOYG01000021.1
ECOR23_PROKKA|ECOR23_01660:-:ECOR23_01660|ECOR23_01660	NZ_QOYG01000021.1	96.632	1425	48	0	1	1425	21757	20333	0.0	2366	68134	NZ_QOYG01000021.1
ECOR44_PROKKA|ECOR44_02259:-:ECOR44_02259|ECOR44_02259	NZ_QOYG01000021.1	99.930	1425	1	0	1	1425	21757	20333	0.0	2627	68134	NZ_QOYG01000021.1
ECOR48_PROKKA|ECOR48_02297:-:ECOR48_02297|ECOR48_02297	NZ_QOYG01000021.1	96.561	1425	49	0	1	1425	21757	20333	0.0	2361	68134	NZ_QOYG01000021.1
ECOR49_PROKKA|ECOR49_04831:-:ECOR49_04831|ECOR49_04831	NZ_QOYG01000021.1	96.351	1425	52	0	1	1425	21757	20333	0.0	2344	68134	NZ_QOYG01000021.1
ECOR4_PROKKA|ECOR4_02974:-:ECOR4_02974|ECOR4_02974	NZ_QOYG01000021.1	95.860	1425	59	0	1	1425	21757	20333	0.0	2305	68134	NZ_QOYG01000021.1
ECOR50_PROKKA|ECOR50_04372:-:ECOR50_04372|ECOR50_04372	NZ_QOYG01000021.1	96.351	1425	52	0	1	1425	21757	20333	0.0	2344	68134	NZ_QOYG01000021.1
ECOR52_PROKKA|ECOR52_01736:-:ECOR52_01736|ECOR52_01736	NZ_QOYG01000021.1	96.632	1425	48	0	1	1425	21757	20333	0.0	2366	68134	NZ_QOYG01000021.1
ECOR53_PROKKA|ECOR53_01898:-:ECOR53_01898|ECOR53_01898	NZ_QOYG01000021.1	96.632	1425	48	0	1	1425	21757	20333	0.0	2366	68134	NZ_QOYG01000021.1
ECOR54_PROKKA|ECOR54_01068:-:ECOR54_01068|ECOR54_01068	NZ_QOYG01000021.1	96.702	1425	47	0	1	1425	21757	20333	0.0	2372	68134	NZ_QOYG01000021.1
ECOR55_PROKKA|ECOR55_01803:-:ECOR55_01803|ECOR55_01803	NZ_QOYG01000021.1	96.702	1425	47	0	1	1425	21757	20333	0.0	2372	68134	NZ_QOYG01000021.1
ECOR56_PROKKA|ECOR56_02090:-:ECOR56_02090|ECOR56_02090	NZ_QOYG01000021.1	96.343	1039	37	1	1	1038	21757	20719	0.0	1707	68134	NZ_QOYG01000021.1
ECOR60_PROKKA|ECOR60_04370:-:ECOR60_04370|ECOR60_04370	NZ_QOYG01000021.1	96.632	1425	48	0	1	1425	21757	20333	0.0	2366	68134	NZ_QOYG01000021.1
ECOR61_PROKKA|ECOR61_01226:-:ECOR61_01226|ECOR61_01226	NZ_QOYG01000021.1	96.561	1425	49	0	1	1425	21757	20333	0.0	2361	68134	NZ_QOYG01000021.1
ECOR62_PROKKA|ECOR62_02247:-:ECOR62_02247|ECOR62_02247	NZ_QOYG01000021.1	96.561	1425	49	0	1	1425	21757	20333	0.0	2361	68134	NZ_QOYG01000021.1
ECOR64_PROKKA|ECOR64_02008:-:ECOR64_02008|ECOR64_02008	NZ_QOYG01000021.1	96.421	1425	51	0	1	1425	21757	20333	0.0	2350	68134	NZ_QOYG01000021.1
ECOR66_PROKKA|ECOR66_01899:-:ECOR66_01899|ECOR66_01899	NZ_QOYG01000021.1	96.772	1425	46	0	1	1425	21757	20333	0.0	2377	68134	NZ_QOYG01000021.1
ECOR6_PROKKA|ECOR6_01807:-:ECOR6_01807|ECOR6_01807	NZ_QOYG01000021.1	95.579	1425	63	0	1	1425	21757	20333	0.0	2283	68134	NZ_QOYG01000021.1
ECOR8_PROKKA|ECOR8_03965:-:ECOR8_03965|ECOR8_03965	NZ_QOYG01000021.1	95.649	1425	62	0	1	1425	21757	20333	0.0	2289	68134	NZ_QOYG01000021.1
KE21|HKKLMMAK_00161:prr:HKKLMMAK_00161|HKKLMMAK_00161	NZ_QOYG01000021.1	96.561	1425	49	0	1	1425	21757	20333	0.0	2361	68134	NZ_QOYG01000021.1
KE24|FLBELDDJ_04324:prr:FLBELDDJ_04324|FLBELDDJ_04324	NZ_QOYG01000021.1	96.632	1425	48	0	1	1425	21757	20333	0.0	2366	68134	NZ_QOYG01000021.1
KE25|NKLEEENC_04605:prr:NKLEEENC_04605|NKLEEENC_04605	NZ_QOYG01000021.1	96.632	1425	48	0	1	1425	21757	20333	0.0	2366	68134	NZ_QOYG01000021.1
KE26|AFHKKBMH_02215:prr:AFHKKBMH_02215|AFHKKBMH_02215	NZ_QOYG01000021.1	96.632	1425	48	0	1	1425	21757	20333	0.0	2366	68134	NZ_QOYG01000021.1
KE4|NBLHDMPF_02000:prr:NBLHDMPF_02000|NBLHDMPF_02000	NZ_QOYG01000021.1	96.632	1425	48	0	1	1425	21757	20333	0.0	2366	68134	NZ_QOYG01000021.1
KE40|EEHHMH_12035:patD:EEHHMH_12035|EEHHMH_12035	NZ_QOYG01000021.1	100.000	1425	0	0	1	1425	21757	20333	0.0	2632	68134	NZ_QOYG01000021.1
