position,gene,ID,type,start,end,strand,strain,central_gene
-9,bepA,9d38f563c3a26fdef9221ebcd767f53a_5358,CDS,2616094,2617557,+,MG1655,WP_000017553.1
-8,yfgD,9d38f563c3a26fdef9221ebcd767f53a_5360,CDS,2617578,2617937,+,MG1655,WP_000017553.1
-7,hda,9d38f563c3a26fdef9221ebcd767f53a_5362,CDS,2618075,2618776,-,MG1655,WP_000017553.1
-6,uraA,9d38f563c3a26fdef9221ebcd767f53a_5364,CDS,2618871,2620160,-,MG1655,WP_000017553.1
-5,upp,9d38f563c3a26fdef9221ebcd767f53a_5366,CDS,2620246,2620872,-,MG1655,WP_000017553.1
-4,purM,9d38f563c3a26fdef9221ebcd767f53a_5368,CDS,2621197,2622234,+,MG1655,WP_000017553.1
-3,purN,9d38f563c3a26fdef9221ebcd767f53a_5370,CDS,2622234,2622872,+,MG1655,WP_000017553.1
-2,ppk,9d38f563c3a26fdef9221ebcd767f53a_5372,CDS,2623044,2625110,+,MG1655,WP_000017553.1
-1,ppx,9d38f563c3a26fdef9221ebcd767f53a_5374,CDS,2625115,2626656,+,MG1655,WP_000017553.1
1,pdeF,9d38f563c3a26fdef9221ebcd767f53a_5376,CDS,2626695,2628938,-,MG1655,WP_000017553.1
2,yfgG,9d38f563c3a26fdef9221ebcd767f53a_5378,CDS,2629290,2629481,+,MG1655,WP_000017553.1
3,yfgH,9d38f563c3a26fdef9221ebcd767f53a_5380,CDS,2629792,2630310,+,MG1655,WP_000017553.1
4,yfgI,9d38f563c3a26fdef9221ebcd767f53a_5382,CDS,2630326,2630865,+,MG1655,WP_000017553.1
5,guaA,9d38f563c3a26fdef9221ebcd767f53a_5384,CDS,2630958,2632535,-,MG1655,WP_000017553.1
6,guaB,9d38f563c3a26fdef9221ebcd767f53a_5386,CDS,2632604,2634070,-,MG1655,WP_000017553.1
7,xseA,9d38f563c3a26fdef9221ebcd767f53a_5388,CDS,2634232,2635602,+,MG1655,WP_000017553.1
8,yfgJ,9d38f563c3a26fdef9221ebcd767f53a_5390,CDS,2635599,2635814,-,MG1655,WP_000017553.1
9,der,9d38f563c3a26fdef9221ebcd767f53a_5392,CDS,2635884,2637356,-,MG1655,WP_000017553.1
10,bamB,9d38f563c3a26fdef9221ebcd767f53a_5394,CDS,2637474,2638652,-,MG1655,WP_000017553.1
-9,sorM,ECOR47_00858,CDS,65087,65911,+,ECOR47_PROKKA,aceA
-8,yggP_1,ECOR47_00859,CDS,65963,67192,+,ECOR47_PROKKA,aceA
-7,pepE,ECOR47_00860,CDS,67574,68263,+,ECOR47_PROKKA,aceA
-6,nan,ECOR47_00861,CDS,68353,69984,-,ECOR47_PROKKA,aceA
-5,metH,ECOR47_00862,CDS,70204,73887,-,ECOR47_PROKKA,aceA
-4,iclR,ECOR47_00863,CDS,74087,74911,+,ECOR47_PROKKA,aceA
-3,nan,ECOR47_00864,CDS,75228,77414,+,ECOR47_PROKKA,aceA
-2,aceK,ECOR47_00865,CDS,77383,79119,-,ECOR47_PROKKA,aceA
-1,aceA,ECOR47_00866,CDS,79168,80472,-,ECOR47_PROKKA,aceA
1,aceB,ECOR47_00867,CDS,80502,82103,-,ECOR47_PROKKA,aceA
2,metAS,ECOR47_00868,CDS,82372,83301,-,ECOR47_PROKKA,aceA
3,yjaB,ECOR47_00869,CDS,83458,83901,+,ECOR47_PROKKA,aceA
4,hdfR_1,ECOR47_00873,CDS,380,1219,-,ECOR47_PROKKA,aceA
5,nan,ECOR47_00874,CDS,1338,1676,+,ECOR47_PROKKA,aceA
