qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_921:sbcD:HGG68_RS02255|2b84de5415a5ca9477dbe99a5510e5bf_921	NZ_QOYY01000013.1	98.836	1203	14	0	1	1203	4085	5287	0.0	2145	152269	NZ_QOYY01000013.1
ECOR11_PROKKA|ECOR11_04572:sbcD:ECOR11_04572|ECOR11_04572	NZ_QOYY01000013.1	97.672	1203	28	0	1	1203	4085	5287	0.0	2067	152269	NZ_QOYY01000013.1
ECOR14_PROKKA|ECOR14_03905:sbcD:ECOR14_03905|ECOR14_03905	NZ_QOYY01000013.1	97.506	1203	30	0	1	1203	4085	5287	0.0	2056	152269	NZ_QOYY01000013.1
ECOR16_PROKKA|ECOR16_01351:sbcD:ECOR16_01351|ECOR16_01351	NZ_QOYY01000013.1	97.506	1203	30	0	1	1203	4085	5287	0.0	2056	152269	NZ_QOYY01000013.1
ECOR23_PROKKA|ECOR23_03741:-:ECOR23_03741|ECOR23_03741	NZ_QOYY01000013.1	98.753	1203	15	0	1	1203	4085	5287	0.0	2139	152269	NZ_QOYY01000013.1
ECOR44_PROKKA|ECOR44_00562:-:ECOR44_00562|ECOR44_00562	NZ_QOYY01000013.1	97.922	1203	25	0	1	1203	4085	5287	0.0	2084	152269	NZ_QOYY01000013.1
ECOR48_PROKKA|ECOR48_04182:-:ECOR48_04182|ECOR48_04182	NZ_QOYY01000013.1	97.091	1203	35	0	1	1203	4085	5287	0.0	2028	152269	NZ_QOYY01000013.1
ECOR49_PROKKA|ECOR49_01577:-:ECOR49_01577|ECOR49_01577	NZ_QOYY01000013.1	97.756	1203	27	0	1	1203	4085	5287	0.0	2073	152269	NZ_QOYY01000013.1
ECOR4_PROKKA|ECOR4_03794:-:ECOR4_03794|ECOR4_03794	NZ_QOYY01000013.1	97.506	1203	30	0	1	1203	4085	5287	0.0	2056	152269	NZ_QOYY01000013.1
ECOR50_PROKKA|ECOR50_05102:-:ECOR50_05102|ECOR50_05102	NZ_QOYY01000013.1	97.756	1203	27	0	1	1203	4085	5287	0.0	2073	152269	NZ_QOYY01000013.1
ECOR51_PROKKA|ECOR51_00382:-:ECOR51_00382|ECOR51_00382	NZ_QOYY01000013.1	98.836	1203	14	0	1	1203	4085	5287	0.0	2145	152269	NZ_QOYY01000013.1
ECOR52_PROKKA|ECOR52_04057:-:ECOR52_04057|ECOR52_04057	NZ_QOYY01000013.1	98.753	1203	15	0	1	1203	4085	5287	0.0	2139	152269	NZ_QOYY01000013.1
ECOR53_PROKKA|ECOR53_03659:-:ECOR53_03659|ECOR53_03659	NZ_QOYY01000013.1	99.501	1203	6	0	1	1203	4085	5287	0.0	2189	152269	NZ_QOYY01000013.1
ECOR54_PROKKA|ECOR54_03302:-:ECOR54_03302|ECOR54_03302	NZ_QOYY01000013.1	98.836	1203	14	0	1	1203	4085	5287	0.0	2145	152269	NZ_QOYY01000013.1
ECOR55_PROKKA|ECOR55_03042:-:ECOR55_03042|ECOR55_03042	NZ_QOYY01000013.1	98.836	1203	14	0	1	1203	4085	5287	0.0	2145	152269	NZ_QOYY01000013.1
ECOR56_PROKKA|ECOR56_00511:-:ECOR56_00511|ECOR56_00511	NZ_QOYY01000013.1	98.836	1203	14	0	1	1203	4085	5287	0.0	2145	152269	NZ_QOYY01000013.1
ECOR60_PROKKA|ECOR60_00321:-:ECOR60_00321|ECOR60_00321	NZ_QOYY01000013.1	99.501	1203	6	0	1	1203	4085	5287	0.0	2189	152269	NZ_QOYY01000013.1
ECOR61_PROKKA|ECOR61_03076:-:ECOR61_03076|ECOR61_03076	NZ_QOYY01000013.1	99.225	774	6	0	1	774	4085	4858	0.0	1397	152269	NZ_QOYY01000013.1
