qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_3469:ortT:HGG68_RS08495|2b84de5415a5ca9477dbe99a5510e5bf_3469	NZ_QOYG01000021.1	98.851	174	2	0	1	174	18609	18436	1.41e-85	311	68134	NZ_QOYG01000021.1
ECOR11_PROKKA|ECOR11_00989:ydcX:ECOR11_00989|ECOR11_00989	NZ_QOYG01000021.1	100.000	174	0	0	1	174	18609	18436	6.50e-89	322	68134	NZ_QOYG01000021.1
ECOR16_PROKKA|ECOR16_01638:ortT:ECOR16_01638|ECOR16_01638	NZ_QOYG01000021.1	100.000	174	0	0	1	174	18609	18436	6.50e-89	322	68134	NZ_QOYG01000021.1
ECOR23_PROKKA|ECOR23_01661:-:ECOR23_01661|ECOR23_01661	NZ_QOYG01000021.1	98.851	174	2	0	1	174	18609	18436	1.41e-85	311	68134	NZ_QOYG01000021.1
ECOR44_PROKKA|ECOR44_02262:-:ECOR44_02262|ECOR44_02262	NZ_QOYG01000021.1	100.000	174	0	0	1	174	18609	18436	6.50e-89	322	68134	NZ_QOYG01000021.1
ECOR48_PROKKA|ECOR48_02298:-:ECOR48_02298|ECOR48_02298	NZ_QOYG01000021.1	100.000	174	0	0	1	174	18609	18436	6.50e-89	322	68134	NZ_QOYG01000021.1
ECOR49_PROKKA|ECOR49_04832:-:ECOR49_04832|ECOR49_04832	NZ_QOYG01000021.1	98.851	174	2	0	1	174	18609	18436	1.41e-85	311	68134	NZ_QOYG01000021.1
ECOR4_PROKKA|ECOR4_02975:-:ECOR4_02975|ECOR4_02975	NZ_QOYG01000021.1	100.000	174	0	0	1	174	18609	18436	6.50e-89	322	68134	NZ_QOYG01000021.1
ECOR50_PROKKA|ECOR50_04371:-:ECOR50_04371|ECOR50_04371	NZ_QOYG01000021.1	98.851	174	2	0	1	174	18609	18436	1.41e-85	311	68134	NZ_QOYG01000021.1
ECOR51_PROKKA|ECOR51_04698:-:ECOR51_04698|ECOR51_04698	NZ_QOYG01000021.1	98.851	174	2	0	1	174	18609	18436	1.41e-85	311	68134	NZ_QOYG01000021.1
ECOR52_PROKKA|ECOR52_01737:-:ECOR52_01737|ECOR52_01737	NZ_QOYG01000021.1	98.851	174	2	0	1	174	18609	18436	1.41e-85	311	68134	NZ_QOYG01000021.1
ECOR53_PROKKA|ECOR53_01897:-:ECOR53_01897|ECOR53_01897	NZ_QOYG01000021.1	98.276	174	3	0	1	174	18609	18436	6.55e-84	305	68134	NZ_QOYG01000021.1
