qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_7293:HGG68_RS17905:HGG68_RS17905|2b84de5415a5ca9477dbe99a5510e5bf_7293	NC_000913.3	97.606	376	9	0	1	376	3280701	3281076	0.0	645	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR11_PROKKA|ECOR11_03696:agaC_2:ECOR11_03696|ECOR11_03696	NC_000913.3	100.000	376	0	0	1	376	3280701	3281076	0.0	695	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR14_PROKKA|ECOR14_03054:agaC_2:ECOR14_03054|ECOR14_03054	NC_000913.3	100.000	376	0	0	1	376	3280701	3281076	0.0	695	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR16_PROKKA|ECOR16_03694:agaC_1:ECOR16_03694|ECOR16_03694	NC_000913.3	99.202	376	3	0	1	376	3280701	3281076	0.0	678	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR23_PROKKA|ECOR23_03281:-:ECOR23_03281|ECOR23_03281	NC_000913.3	97.606	376	9	0	1	376	3280701	3281076	0.0	645	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR44_PROKKA|ECOR44_03592:-:ECOR44_03592|ECOR44_03592	NC_000913.3	97.340	376	10	0	1	376	3280701	3281076	0.0	640	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR48_PROKKA|ECOR48_00286:-:ECOR48_00286|ECOR48_00286	NC_000913.3	97.606	376	9	0	1	376	3280701	3281076	0.0	645	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR49_PROKKA|ECOR49_01750:-:ECOR49_01750|ECOR49_01750	NC_000913.3	96.809	376	12	0	1	376	3280701	3281076	1.60e-180	628	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR4_PROKKA|ECOR4_01243:-:ECOR4_01243|ECOR4_01243	NC_000913.3	99.468	376	2	0	1	376	3280701	3281076	0.0	684	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR50_PROKKA|ECOR50_04331:-:ECOR50_04331|ECOR50_04331	NC_000913.3	97.074	376	11	0	1	376	3280701	3281076	0.0	634	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR51_PROKKA|ECOR51_03409:-:ECOR51_03409|ECOR51_03409	NC_000913.3	97.606	376	9	0	1	376	3280701	3281076	0.0	645	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR52_PROKKA|ECOR52_02939:-:ECOR52_02939|ECOR52_02939	NC_000913.3	97.606	376	9	0	1	376	3280701	3281076	0.0	645	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR53_PROKKA|ECOR53_03473:-:ECOR53_03473|ECOR53_03473	NC_000913.3	97.872	376	8	0	1	376	3280701	3281076	0.0	651	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR54_PROKKA|ECOR54_03114:-:ECOR54_03114|ECOR54_03114	NC_000913.3	97.606	376	9	0	1	376	3280701	3281076	0.0	645	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR55_PROKKA|ECOR55_02788:-:ECOR55_02788|ECOR55_02788	NC_000913.3	97.606	376	9	0	1	376	3280701	3281076	0.0	645	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR56_PROKKA|ECOR56_02983:-:ECOR56_02983|ECOR56_02983	NC_000913.3	97.606	376	9	0	1	376	3280701	3281076	0.0	645	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR60_PROKKA|ECOR60_04605:-:ECOR60_04605|ECOR60_04605	NC_000913.3	97.872	376	8	0	1	376	3280701	3281076	0.0	651	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR61_PROKKA|ECOR61_01687:-:ECOR61_01687|ECOR61_01687	NC_000913.3	97.340	376	10	0	1	376	3280701	3281076	0.0	640	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR62_PROKKA|ECOR62_00909:-:ECOR62_00909|ECOR62_00909	NC_000913.3	97.340	376	10	0	1	376	3280701	3281076	0.0	640	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR64_PROKKA|ECOR64_02338:-:ECOR64_02338|ECOR64_02338	NC_000913.3	97.340	376	10	0	1	376	3280701	3281076	0.0	640	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR66_PROKKA|ECOR66_04286:-:ECOR66_04286|ECOR66_04286	NC_000913.3	97.872	376	8	0	1	376	3280701	3281076	0.0	651	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR6_PROKKA|ECOR6_01788:-:ECOR6_01788|ECOR6_01788	NC_000913.3	99.468	376	2	0	1	376	3280701	3281076	0.0	684	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR8_PROKKA|ECOR8_00293:-:ECOR8_00293|ECOR8_00293	NC_000913.3	100.000	376	0	0	1	376	3280701	3281076	0.0	695	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
