qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_4167:cspE:HGG68_RS10210|2b84de5415a5ca9477dbe99a5510e5bf_4167	NZ_QOYG01000001.1	99.524	210	1	0	1	210	324788	324579	3.63e-107	383	782163	NZ_QOYG01000001.1
ECOR11_PROKKA|ECOR11_04860:cspC:ECOR11_04860|ECOR11_04860	NZ_QOYG01000001.1	99.048	210	2	0	1	210	324788	324579	1.69e-105	377	782163	NZ_QOYG01000001.1
ECOR14_PROKKA|ECOR14_00202:cspC:ECOR14_00202|ECOR14_00202	NZ_QOYG01000001.1	99.524	210	1	0	1	210	324788	324579	3.63e-107	383	782163	NZ_QOYG01000001.1
ECOR23_PROKKA|ECOR23_02242:-:ECOR23_02242|ECOR23_02242	NZ_QOYG01000001.1	99.524	210	1	0	1	210	324788	324579	3.63e-107	383	782163	NZ_QOYG01000001.1
ECOR44_PROKKA|ECOR44_02640:-:ECOR44_02640|ECOR44_02640	NZ_QOYG01000001.1	99.048	210	2	0	1	210	324788	324579	1.69e-105	377	782163	NZ_QOYG01000001.1
ECOR48_PROKKA|ECOR48_01122:-:ECOR48_01122|ECOR48_01122	NZ_QOYG01000001.1	99.048	210	2	0	1	210	324788	324579	1.69e-105	377	782163	NZ_QOYG01000001.1
ECOR49_PROKKA|ECOR49_00772:-:ECOR49_00772|ECOR49_00772	NZ_QOYG01000001.1	99.048	210	2	0	1	210	324788	324579	1.69e-105	377	782163	NZ_QOYG01000001.1
ECOR4_PROKKA|ECOR4_03133:-:ECOR4_03133|ECOR4_03133	NZ_QOYG01000001.1	99.524	210	1	0	1	210	324788	324579	3.63e-107	383	782163	NZ_QOYG01000001.1
ECOR50_PROKKA|ECOR50_01408:-:ECOR50_01408|ECOR50_01408	NZ_QOYG01000001.1	99.048	210	2	0	1	210	324788	324579	1.69e-105	377	782163	NZ_QOYG01000001.1
ECOR51_PROKKA|ECOR51_02495:-:ECOR51_02495|ECOR51_02495	NZ_QOYG01000001.1	99.524	210	1	0	1	210	324788	324579	3.63e-107	383	782163	NZ_QOYG01000001.1
ECOR52_PROKKA|ECOR52_01341:-:ECOR52_01341|ECOR52_01341	NZ_QOYG01000001.1	99.524	210	1	0	1	210	324788	324579	3.63e-107	383	782163	NZ_QOYG01000001.1
ECOR53_PROKKA|ECOR53_02532:-:ECOR53_02532|ECOR53_02532	NZ_QOYG01000001.1	99.048	210	2	0	1	210	324788	324579	1.69e-105	377	782163	NZ_QOYG01000001.1
ECOR54_PROKKA|ECOR54_02245:-:ECOR54_02245|ECOR54_02245	NZ_QOYG01000001.1	99.524	210	1	0	1	210	324788	324579	3.63e-107	383	782163	NZ_QOYG01000001.1
ECOR55_PROKKA|ECOR55_03792:-:ECOR55_03792|ECOR55_03792	NZ_QOYG01000001.1	99.524	210	1	0	1	210	324788	324579	3.63e-107	383	782163	NZ_QOYG01000001.1
ECOR56_PROKKA|ECOR56_03398:-:ECOR56_03398|ECOR56_03398	NZ_QOYG01000001.1	99.524	210	1	0	1	210	324788	324579	3.63e-107	383	782163	NZ_QOYG01000001.1
ECOR60_PROKKA|ECOR60_03405:-:ECOR60_03405|ECOR60_03405	NZ_QOYG01000001.1	99.048	210	2	0	1	210	324788	324579	1.69e-105	377	782163	NZ_QOYG01000001.1
ECOR61_PROKKA|ECOR61_01057:-:ECOR61_01057|ECOR61_01057	NZ_QOYG01000001.1	99.048	210	2	0	1	210	324788	324579	1.69e-105	377	782163	NZ_QOYG01000001.1
ECOR62_PROKKA|ECOR62_02996:-:ECOR62_02996|ECOR62_02996	NZ_QOYG01000001.1	99.048	210	2	0	1	210	324788	324579	1.69e-105	377	782163	NZ_QOYG01000001.1
ECOR64_PROKKA|ECOR64_01776:-:ECOR64_01776|ECOR64_01776	NZ_QOYG01000001.1	99.524	210	1	0	1	210	324788	324579	3.63e-107	383	782163	NZ_QOYG01000001.1
ECOR66_PROKKA|ECOR66_03507:-:ECOR66_03507|ECOR66_03507	NZ_QOYG01000001.1	99.048	210	2	0	1	210	324788	324579	1.69e-105	377	782163	NZ_QOYG01000001.1
ECOR6_PROKKA|ECOR6_02672:-:ECOR6_02672|ECOR6_02672	NZ_QOYG01000001.1	99.524	210	1	0	1	210	324788	324579	3.63e-107	383	782163	NZ_QOYG01000001.1
ECOR8_PROKKA|ECOR8_01267:-:ECOR8_01267|ECOR8_01267	NZ_QOYG01000001.1	99.048	210	2	0	1	210	324788	324579	1.69e-105	377	782163	NZ_QOYG01000001.1
KE21|HKKLMMAK_00480:cspC:HKKLMMAK_00480|HKKLMMAK_00480	NZ_QOYG01000001.1	99.048	210	2	0	1	210	324788	324579	1.69e-105	377	782163	NZ_QOYG01000001.1
KE24|FLBELDDJ_03921:cspC:FLBELDDJ_03921|FLBELDDJ_03921	NZ_QOYG01000001.1	99.048	210	2	0	1	210	324788	324579	1.69e-105	377	782163	NZ_QOYG01000001.1
KE25|NKLEEENC_04923:cspC:NKLEEENC_04923|NKLEEENC_04923	NZ_QOYG01000001.1	99.048	210	2	0	1	210	324788	324579	1.69e-105	377	782163	NZ_QOYG01000001.1
KE26|AFHKKBMH_02534:cspC:AFHKKBMH_02534|AFHKKBMH_02534	NZ_QOYG01000001.1	99.048	210	2	0	1	210	324788	324579	1.69e-105	377	782163	NZ_QOYG01000001.1
KE4|NBLHDMPF_01670:cspC:NBLHDMPF_01670|NBLHDMPF_01670	NZ_QOYG01000001.1	99.048	210	2	0	1	210	324788	324579	1.69e-105	377	782163	NZ_QOYG01000001.1
KE40|EEHHMH_14235:cspE:EEHHMH_14235|EEHHMH_14235	NZ_QOYG01000001.1	100.000	210	0	0	1	210	324788	324579	7.81e-109	388	782163	NZ_QOYG01000001.1
KE41|PNKGMM_14900:cspE:PNKGMM_14900|PNKGMM_14900	NZ_QOYG01000001.1	99.524	210	1	0	1	210	324788	324579	3.63e-107	383	782163	NZ_QOYG01000001.1
KE46|DADKIG_10025:cspE:DADKIG_10025|DADKIG_10025	NZ_QOYG01000001.1	99.524	210	1	0	1	210	324788	324579	3.63e-107	383	782163	NZ_QOYG01000001.1
KE47|NHFOKF_22320:cspE:NHFOKF_22320|NHFOKF_22320	NZ_QOYG01000001.1	100.000	210	0	0	1	210	324788	324579	7.81e-109	388	782163	NZ_QOYG01000001.1
KE48_PROKKA|KE48_04008:cspC:KE48_04008|KE48_04008	NZ_QOYG01000001.1	99.524	210	1	0	1	210	324788	324579	3.63e-107	383	782163	NZ_QOYG01000001.1
KE50|OOFCCB_16675:cspE:OOFCCB_16675|OOFCCB_16675	NZ_QOYG01000001.1	99.048	210	2	0	1	210	324788	324579	1.69e-105	377	782163	NZ_QOYG01000001.1
KE51|BHDFJC_15820:cspE:BHDFJC_15820|BHDFJC_15820	NZ_QOYG01000001.1	99.524	210	1	0	1	210	324788	324579	3.63e-107	383	782163	NZ_QOYG01000001.1
KE54|NBPOCE_04475:cspE:NBPOCE_04475|NBPOCE_04475	NZ_QOYG01000001.1	99.048	210	2	0	1	210	324788	324579	1.69e-105	377	782163	NZ_QOYG01000001.1
KE55|HDLJKA_10125:cspE:HDLJKA_10125|HDLJKA_10125	NZ_QOYG01000001.1	99.048	210	2	0	1	210	324788	324579	1.69e-105	377	782163	NZ_QOYG01000001.1
KE58|FKGHDH_10330:cspE:FKGHDH_10330|FKGHDH_10330	NZ_QOYG01000001.1	99.048	210	2	0	1	210	324788	324579	1.69e-105	377	782163	NZ_QOYG01000001.1
LRPF007|PGOAJBJE_02052:cspC:PGOAJBJE_02052|PGOAJBJE_02052	NZ_QOYG01000001.1	99.048	210	2	0	1	210	324788	324579	1.69e-105	377	782163	NZ_QOYG01000001.1
LRPF62|CPONALDP_02393:cspC:CPONALDP_02393|CPONALDP_02393	NZ_QOYG01000001.1	99.048	210	2	0	1	210	324788	324579	1.69e-105	377	782163	NZ_QOYG01000001.1
