qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_7024:yqhD:HGG68_RS17245|2b84de5415a5ca9477dbe99a5510e5bf_7024	NZ_QOYG01000002.1	98.368	1164	19	0	1	1164	258520	257357	0.0	2045	724032	NZ_QOYG01000002.1
ECOR11_PROKKA|ECOR11_03810:yqhD:ECOR11_03810|ECOR11_03810	NZ_QOYG01000002.1	98.883	1164	13	0	1	1164	258520	257357	0.0	2078	724032	NZ_QOYG01000002.1
ECOR14_PROKKA|ECOR14_02072:yqhD:ECOR14_02072|ECOR14_02072	NZ_QOYG01000002.1	98.282	1164	20	0	1	1164	258520	257357	0.0	2039	724032	NZ_QOYG01000002.1
ECOR16_PROKKA|ECOR16_02042:yqhD:ECOR16_02042|ECOR16_02042	NZ_QOYG01000002.1	98.368	1164	19	0	1	1164	258520	257357	0.0	2045	724032	NZ_QOYG01000002.1
ECOR23_PROKKA|ECOR23_03151:-:ECOR23_03151|ECOR23_03151	NZ_QOYG01000002.1	98.368	1164	19	0	1	1164	258520	257357	0.0	2045	724032	NZ_QOYG01000002.1
ECOR44_PROKKA|ECOR44_03714:-:ECOR44_03714|ECOR44_03714	NZ_QOYG01000002.1	99.656	1164	4	0	1	1164	258520	257357	0.0	2128	724032	NZ_QOYG01000002.1
ECOR48_PROKKA|ECOR48_01299:-:ECOR48_01299|ECOR48_01299	NZ_QOYG01000002.1	99.313	1164	8	0	1	1164	258520	257357	0.0	2106	724032	NZ_QOYG01000002.1
ECOR49_PROKKA|ECOR49_03787:-:ECOR49_03787|ECOR49_03787	NZ_QOYG01000002.1	99.485	1164	6	0	1	1164	258520	257357	0.0	2117	724032	NZ_QOYG01000002.1
ECOR4_PROKKA|ECOR4_01125:-:ECOR4_01125|ECOR4_01125	NZ_QOYG01000002.1	98.368	1164	19	0	1	1164	258520	257357	0.0	2045	724032	NZ_QOYG01000002.1
ECOR50_PROKKA|ECOR50_04112:-:ECOR50_04112|ECOR50_04112	NZ_QOYG01000002.1	99.485	1164	6	0	1	1164	258520	257357	0.0	2117	724032	NZ_QOYG01000002.1
ECOR51_PROKKA|ECOR51_03539:-:ECOR51_03539|ECOR51_03539	NZ_QOYG01000002.1	98.368	1164	19	0	1	1164	258520	257357	0.0	2045	724032	NZ_QOYG01000002.1
ECOR52_PROKKA|ECOR52_02809:-:ECOR52_02809|ECOR52_02809	NZ_QOYG01000002.1	98.368	1164	19	0	1	1164	258520	257357	0.0	2045	724032	NZ_QOYG01000002.1
ECOR53_PROKKA|ECOR53_03346:-:ECOR53_03346|ECOR53_03346	NZ_QOYG01000002.1	98.454	1164	18	0	1	1164	258520	257357	0.0	2050	724032	NZ_QOYG01000002.1
ECOR54_PROKKA|ECOR54_02984:-:ECOR54_02984|ECOR54_02984	NZ_QOYG01000002.1	98.368	1164	19	0	1	1164	258520	257357	0.0	2045	724032	NZ_QOYG01000002.1
ECOR55_PROKKA|ECOR55_02659:-:ECOR55_02659|ECOR55_02659	NZ_QOYG01000002.1	98.368	1164	19	0	1	1164	258520	257357	0.0	2045	724032	NZ_QOYG01000002.1
ECOR56_PROKKA|ECOR56_02854:-:ECOR56_02854|ECOR56_02854	NZ_QOYG01000002.1	98.368	1164	19	0	1	1164	258520	257357	0.0	2045	724032	NZ_QOYG01000002.1
ECOR60_PROKKA|ECOR60_04732:-:ECOR60_04732|ECOR60_04732	NZ_QOYG01000002.1	98.454	1164	18	0	1	1164	258520	257357	0.0	2050	724032	NZ_QOYG01000002.1
ECOR61_PROKKA|ECOR61_00743:-:ECOR61_00743|ECOR61_00743	NZ_QOYG01000002.1	98.454	1164	18	0	1	1164	258520	257357	0.0	2050	724032	NZ_QOYG01000002.1
