qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
ECOR11_PROKKA|ECOR11_01671:yohF:ECOR11_01671|ECOR11_01671	NZ_CP051263.1	95.669	762	33	0	1	762	2529877	2529116	0.0	1225	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR14_PROKKA|ECOR14_01884:yohF:ECOR14_01884|ECOR14_01884	NZ_CP051263.1	95.801	762	32	0	1	762	2529877	2529116	0.0	1230	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR16_PROKKA|ECOR16_00078:yohF:ECOR16_00078|ECOR16_00078	NZ_CP051263.1	95.276	762	36	0	1	762	2529877	2529116	0.0	1208	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR23_PROKKA|ECOR23_01524:-:ECOR23_01524|ECOR23_01524	NZ_CP051263.1	99.869	762	1	0	1	762	2529877	2529116	0.0	1402	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR44_PROKKA|ECOR44_04715:-:ECOR44_04715|ECOR44_04715	NZ_CP051263.1	95.801	762	32	0	1	762	2529877	2529116	0.0	1230	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR48_PROKKA|ECOR48_00007:-:ECOR48_00007|ECOR48_00007	NZ_CP051263.1	95.801	762	32	0	1	762	2529877	2529116	0.0	1230	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR49_PROKKA|ECOR49_03051:-:ECOR49_03051|ECOR49_03051	NZ_CP051263.1	95.801	762	32	0	1	762	2529877	2529116	0.0	1230	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR4_PROKKA|ECOR4_01989:-:ECOR4_01989|ECOR4_01989	NZ_CP051263.1	95.801	762	32	0	1	762	2529877	2529116	0.0	1230	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR50_PROKKA|ECOR50_02849:-:ECOR50_02849|ECOR50_02849	NZ_CP051263.1	95.801	762	32	0	1	762	2529877	2529116	0.0	1230	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR51_PROKKA|ECOR51_01432:-:ECOR51_01432|ECOR51_01432	NZ_CP051263.1	99.869	762	1	0	1	762	2529877	2529116	0.0	1402	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR52_PROKKA|ECOR52_02442:-:ECOR52_02442|ECOR52_02442	NZ_CP051263.1	99.869	762	1	0	1	762	2529877	2529116	0.0	1402	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR53_PROKKA|ECOR53_01652:-:ECOR53_01652|ECOR53_01652	NZ_CP051263.1	98.819	762	9	0	1	762	2529877	2529116	0.0	1358	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR54_PROKKA|ECOR54_01256:-:ECOR54_01256|ECOR54_01256	NZ_CP051263.1	99.869	762	1	0	1	762	2529877	2529116	0.0	1402	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR55_PROKKA|ECOR55_01501:-:ECOR55_01501|ECOR55_01501	NZ_CP051263.1	99.869	762	1	0	1	762	2529877	2529116	0.0	1402	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR56_PROKKA|ECOR56_01488:-:ECOR56_01488|ECOR56_01488	NZ_CP051263.1	100.000	387	0	0	1	387	2529502	2529116	0.0	715	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR60_PROKKA|ECOR60_01961:-:ECOR60_01961|ECOR60_01961	NZ_CP051263.1	98.819	762	9	0	1	762	2529877	2529116	0.0	1358	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR61_PROKKA|ECOR61_01396:-:ECOR61_01396|ECOR61_01396	NZ_CP051263.1	96.982	762	23	0	1	762	2529877	2529116	0.0	1280	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR62_PROKKA|ECOR62_00565:-:ECOR62_00565|ECOR62_00565	NZ_CP051263.1	96.982	762	23	0	1	762	2529877	2529116	0.0	1280	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR64_PROKKA|ECOR64_01522:-:ECOR64_01522|ECOR64_01522	NZ_CP051263.1	99.475	762	4	0	1	762	2529877	2529116	0.0	1386	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR66_PROKKA|ECOR66_01524:-:ECOR66_01524|ECOR66_01524	NZ_CP051263.1	98.556	762	11	0	1	762	2529877	2529116	0.0	1347	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
