qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_3739:ydgA:HGG68_RS09155|2b84de5415a5ca9477dbe99a5510e5bf_3739	NZ_QOYG01000001.1	97.482	1509	38	0	1	1509	108732	110240	0.0	2577	782163	NZ_QOYG01000001.1
ECOR11_PROKKA|ECOR11_03531:-:ECOR11_03531|ECOR11_03531	NZ_QOYG01000001.1	97.416	1509	39	0	1	1509	108732	110240	0.0	2571	782163	NZ_QOYG01000001.1
ECOR14_PROKKA|ECOR14_04542:ydgA_2:ECOR14_04542|ECOR14_04542	NZ_QOYG01000001.1	97.416	1509	39	0	1	1509	108732	110240	0.0	2571	782163	NZ_QOYG01000001.1
ECOR16_PROKKA|ECOR16_04296:ydgA_2:ECOR16_04296|ECOR16_04296	NZ_QOYG01000001.1	98.542	1509	22	0	1	1509	108732	110240	0.0	2665	782163	NZ_QOYG01000001.1
ECOR23_PROKKA|ECOR23_02447:-:ECOR23_02447|ECOR23_02447	NZ_QOYG01000001.1	97.548	1509	37	0	1	1509	108732	110240	0.0	2582	782163	NZ_QOYG01000001.1
ECOR44_PROKKA|ECOR44_04499:-:ECOR44_04499|ECOR44_04499	NZ_QOYG01000001.1	99.072	1509	14	0	1	1509	108732	110240	0.0	2710	782163	NZ_QOYG01000001.1
ECOR48_PROKKA|ECOR48_03772:-:ECOR48_03772|ECOR48_03772	NZ_QOYG01000001.1	98.144	1509	28	0	1	1509	108732	110240	0.0	2632	782163	NZ_QOYG01000001.1
ECOR49_PROKKA|ECOR49_01907:-:ECOR49_01907|ECOR49_01907	NZ_QOYG01000001.1	98.807	1509	18	0	1	1509	108732	110240	0.0	2687	782163	NZ_QOYG01000001.1
ECOR4_PROKKA|ECOR4_03892:-:ECOR4_03892|ECOR4_03892	NZ_QOYG01000001.1	97.416	1509	39	0	1	1509	108732	110240	0.0	2571	782163	NZ_QOYG01000001.1
ECOR50_PROKKA|ECOR50_01619:-:ECOR50_01619|ECOR50_01619	NZ_QOYG01000001.1	98.807	1509	18	0	1	1509	108732	110240	0.0	2687	782163	NZ_QOYG01000001.1
ECOR51_PROKKA|ECOR51_02291:-:ECOR51_02291|ECOR51_02291	NZ_QOYG01000001.1	97.548	1509	37	0	1	1509	108732	110240	0.0	2582	782163	NZ_QOYG01000001.1
ECOR52_PROKKA|ECOR52_01546:-:ECOR52_01546|ECOR52_01546	NZ_QOYG01000001.1	97.548	1509	37	0	1	1509	108732	110240	0.0	2582	782163	NZ_QOYG01000001.1
ECOR53_PROKKA|ECOR53_02329:-:ECOR53_02329|ECOR53_02329	NZ_QOYG01000001.1	97.482	1509	38	0	1	1509	108732	110240	0.0	2577	782163	NZ_QOYG01000001.1
ECOR54_PROKKA|ECOR54_02041:-:ECOR54_02041|ECOR54_02041	NZ_QOYG01000001.1	97.548	1509	37	0	1	1509	108732	110240	0.0	2582	782163	NZ_QOYG01000001.1
ECOR55_PROKKA|ECOR55_01676:-:ECOR55_01676|ECOR55_01676	NZ_QOYG01000001.1	97.548	1509	37	0	1	1509	108732	110240	0.0	2582	782163	NZ_QOYG01000001.1
ECOR56_PROKKA|ECOR56_01955:-:ECOR56_01955|ECOR56_01955	NZ_QOYG01000001.1	97.548	1509	37	0	1	1509	108732	110240	0.0	2582	782163	NZ_QOYG01000001.1
ECOR60_PROKKA|ECOR60_03607:-:ECOR60_03607|ECOR60_03607	NZ_QOYG01000001.1	97.482	1509	38	0	1	1509	108732	110240	0.0	2577	782163	NZ_QOYG01000001.1
ECOR61_PROKKA|ECOR61_00538:-:ECOR61_00538|ECOR61_00538	NZ_QOYG01000001.1	97.548	1509	37	0	1	1509	108732	110240	0.0	2582	782163	NZ_QOYG01000001.1
ECOR62_PROKKA|ECOR62_00023:-:ECOR62_00023|ECOR62_00023	NZ_QOYG01000001.1	97.548	1509	37	0	1	1509	108732	110240	0.0	2582	782163	NZ_QOYG01000001.1
ECOR64_PROKKA|ECOR64_04400:-:ECOR64_04400|ECOR64_04400	NZ_QOYG01000001.1	97.813	1509	33	0	1	1509	108732	110240	0.0	2604	782163	NZ_QOYG01000001.1
ECOR66_PROKKA|ECOR66_03305:-:ECOR66_03305|ECOR66_03305	NZ_QOYG01000001.1	97.482	1509	38	0	1	1509	108732	110240	0.0	2577	782163	NZ_QOYG01000001.1
ECOR8_PROKKA|ECOR8_01480:-:ECOR8_01480|ECOR8_01480	NZ_QOYG01000001.1	97.349	1509	40	0	1	1509	108732	110240	0.0	2566	782163	NZ_QOYG01000001.1
KE21|HKKLMMAK_00270:ydgA_1:HKKLMMAK_00270|HKKLMMAK_00270	NZ_QOYG01000001.1	97.548	1509	37	0	1	1509	108732	110240	0.0	2582	782163	NZ_QOYG01000001.1
KE24|FLBELDDJ_04180:ydgA_2:FLBELDDJ_04180|FLBELDDJ_04180	NZ_QOYG01000001.1	97.482	1509	38	0	1	1509	108732	110240	0.0	2577	782163	NZ_QOYG01000001.1
KE25|NKLEEENC_04714:ydgA_2:NKLEEENC_04714|NKLEEENC_04714	NZ_QOYG01000001.1	97.548	1509	37	0	1	1509	108732	110240	0.0	2582	782163	NZ_QOYG01000001.1
KE26|AFHKKBMH_02324:ydgA_1:AFHKKBMH_02324|AFHKKBMH_02324	NZ_QOYG01000001.1	97.548	1509	37	0	1	1509	108732	110240	0.0	2582	782163	NZ_QOYG01000001.1
KE4|NBLHDMPF_01878:ydgA_1:NBLHDMPF_01878|NBLHDMPF_01878	NZ_QOYG01000001.1	97.482	1509	38	0	1	1509	108732	110240	0.0	2577	782163	NZ_QOYG01000001.1
KE40|EEHHMH_13125:ydgA:EEHHMH_13125|EEHHMH_13125	NZ_QOYG01000001.1	100.000	1509	0	0	1	1509	108732	110240	0.0	2787	782163	NZ_QOYG01000001.1
KE41|PNKGMM_15980:ydgA:PNKGMM_15980|PNKGMM_15980	NZ_QOYG01000001.1	97.813	1509	33	0	1	1509	108732	110240	0.0	2604	782163	NZ_QOYG01000001.1
