qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_9326:metH:HGG68_RS22860|2b84de5415a5ca9477dbe99a5510e5bf_9326	NZ_QOYG01000018.1	95.870	3680	152	0	1	3680	73887	70208	0.0	5954	84413	NZ_QOYG01000018.1
ECOR11_PROKKA|ECOR11_00151:metH:ECOR11_00151|ECOR11_00151	NZ_QOYG01000018.1	97.286	3684	100	0	1	3684	73887	70204	0.0	6250	84413	NZ_QOYG01000018.1
ECOR14_PROKKA|ECOR14_00454:metH:ECOR14_00454|ECOR14_00454	NZ_QOYG01000018.1	97.341	3685	96	2	1	3684	73887	70204	0.0	6261	84413	NZ_QOYG01000018.1
ECOR16_PROKKA|ECOR16_01209:metH:ECOR16_01209|ECOR16_01209	NZ_QOYG01000018.1	97.259	3685	99	2	1	3684	73887	70204	0.0	6244	84413	NZ_QOYG01000018.1
ECOR23_PROKKA|ECOR23_00816:-:ECOR23_00816|ECOR23_00816	NZ_QOYG01000018.1	95.870	3680	152	0	1	3680	73887	70208	0.0	5954	84413	NZ_QOYG01000018.1
ECOR44_PROKKA|ECOR44_02772:-:ECOR44_02772|ECOR44_02772	NZ_QOYG01000018.1	98.670	3684	49	0	1	3684	73887	70204	0.0	6532	84413	NZ_QOYG01000018.1
ECOR48_PROKKA|ECOR48_04248:-:ECOR48_04248|ECOR48_04248	NZ_QOYG01000018.1	99.023	3684	36	0	1	3684	73887	70204	0.0	6604	84413	NZ_QOYG01000018.1
ECOR4_PROKKA|ECOR4_02832:-:ECOR4_02832|ECOR4_02832	NZ_QOYG01000018.1	97.231	3684	102	0	1	3684	73887	70204	0.0	6239	84413	NZ_QOYG01000018.1
ECOR50_PROKKA|ECOR50_04649:-:ECOR50_04649|ECOR50_04649	NZ_QOYG01000018.1	99.620	3684	14	0	1	3684	73887	70204	0.0	6726	84413	NZ_QOYG01000018.1
ECOR51_PROKKA|ECOR51_01248:-:ECOR51_01248|ECOR51_01248	NZ_QOYG01000018.1	95.870	3680	152	0	1	3680	73887	70208	0.0	5954	84413	NZ_QOYG01000018.1
ECOR52_PROKKA|ECOR52_00868:-:ECOR52_00868|ECOR52_00868	NZ_QOYG01000018.1	95.870	3680	152	0	1	3680	73887	70208	0.0	5954	84413	NZ_QOYG01000018.1
ECOR53_PROKKA|ECOR53_01854:-:ECOR53_01854|ECOR53_01854	NZ_QOYG01000018.1	96.277	3680	137	0	1	3680	73887	70208	0.0	6037	84413	NZ_QOYG01000018.1
ECOR54_PROKKA|ECOR54_03607:-:ECOR54_03607|ECOR54_03607	NZ_QOYG01000018.1	95.870	3680	152	0	1	3680	73887	70208	0.0	5954	84413	NZ_QOYG01000018.1
ECOR55_PROKKA|ECOR55_01041:-:ECOR55_01041|ECOR55_01041	NZ_QOYG01000018.1	95.870	3680	152	0	1	3680	73887	70208	0.0	5954	84413	NZ_QOYG01000018.1
ECOR56_PROKKA|ECOR56_01214:-:ECOR56_01214|ECOR56_01214	NZ_QOYG01000018.1	95.870	3680	152	0	1	3680	73887	70208	0.0	5954	84413	NZ_QOYG01000018.1
ECOR60_PROKKA|ECOR60_00560:-:ECOR60_00560|ECOR60_00560	NZ_QOYG01000018.1	96.277	3680	137	0	1	3680	73887	70208	0.0	6037	84413	NZ_QOYG01000018.1
ECOR61_PROKKA|ECOR61_02511:-:ECOR61_02511|ECOR61_02511	NZ_QOYG01000018.1	96.141	3680	142	0	1	3680	73887	70208	0.0	6010	84413	NZ_QOYG01000018.1
ECOR62_PROKKA|ECOR62_01346:-:ECOR62_01346|ECOR62_01346	NZ_QOYG01000018.1	96.141	3680	142	0	1	3680	73887	70208	0.0	6010	84413	NZ_QOYG01000018.1
ECOR64_PROKKA|ECOR64_01012:-:ECOR64_01012|ECOR64_01012	NZ_QOYG01000018.1	96.087	3680	144	0	1	3680	73887	70208	0.0	5999	84413	NZ_QOYG01000018.1
ECOR66_PROKKA|ECOR66_04199:-:ECOR66_04199|ECOR66_04199	NZ_QOYG01000018.1	96.033	3680	146	0	1	3680	73887	70208	0.0	5987	84413	NZ_QOYG01000018.1
ECOR6_PROKKA|ECOR6_00132:-:ECOR6_00132|ECOR6_00132	NZ_QOYG01000018.1	97.204	3684	103	0	1	3684	73887	70204	0.0	6233	84413	NZ_QOYG01000018.1
ECOR8_PROKKA|ECOR8_04603:-:ECOR8_04603|ECOR8_04603	NZ_QOYG01000018.1	97.258	3684	101	0	1	3684	73887	70204	0.0	6244	84413	NZ_QOYG01000018.1
KE21|HKKLMMAK_02982:metH:HKKLMMAK_02982|HKKLMMAK_02982	NZ_QOYG01000018.1	95.815	3680	154	0	1	3680	73887	70208	0.0	5943	84413	NZ_QOYG01000018.1
KE24|FLBELDDJ_01543:metH:FLBELDDJ_01543|FLBELDDJ_01543	NZ_QOYG01000018.1	95.978	3680	148	0	1	3680	73887	70208	0.0	5976	84413	NZ_QOYG01000018.1
KE25|NKLEEENC_02831:metH:NKLEEENC_02831|NKLEEENC_02831	NZ_QOYG01000018.1	95.788	3680	155	0	1	3680	73887	70208	0.0	5938	84413	NZ_QOYG01000018.1
KE26|AFHKKBMH_00148:metH:AFHKKBMH_00148|AFHKKBMH_00148	NZ_QOYG01000018.1	95.815	3680	154	0	1	3680	73887	70208	0.0	5943	84413	NZ_QOYG01000018.1
KE4|NBLHDMPF_04373:metH:NBLHDMPF_04373|NBLHDMPF_04373	NZ_QOYG01000018.1	96.277	3680	137	0	1	3680	73887	70208	0.0	6037	84413	NZ_QOYG01000018.1
KE40|EEHHMH_00935:metH:EEHHMH_00935|EEHHMH_00935	NZ_QOYG01000018.1	98.426	3684	58	0	1	3684	73887	70204	0.0	6482	84413	NZ_QOYG01000018.1
KE41|PNKGMM_01885:metH:PNKGMM_01885|PNKGMM_01885	NZ_QOYG01000018.1	96.087	3680	144	0	1	3680	73887	70208	0.0	5999	84413	NZ_QOYG01000018.1
KE46|DADKIG_21875:metH:DADKIG_21875|DADKIG_21875	NZ_QOYG01000018.1	97.476	3684	93	0	1	3684	73887	70204	0.0	6288	84413	NZ_QOYG01000018.1
KE47|NHFOKF_10390:metH:NHFOKF_10390|NHFOKF_10390	NZ_QOYG01000018.1	98.426	3684	58	0	1	3684	73887	70204	0.0	6482	84413	NZ_QOYG01000018.1
KE48_PROKKA|KE48_03061:metH:KE48_03061|KE48_03061	NZ_QOYG01000018.1	95.870	3680	152	0	1	3680	73887	70208	0.0	5954	84413	NZ_QOYG01000018.1
