qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_277:gcd:HGG68_RS00680|2b84de5415a5ca9477dbe99a5510e5bf_277	NZ_QOYG01000004.1	96.194	2391	91	0	1	2391	81000	83390	0.0	3912	256634	NZ_QOYG01000004.1
ECOR11_PROKKA|ECOR11_02343:gcd:ECOR11_02343|ECOR11_02343	NZ_QOYG01000004.1	96.445	2391	85	0	1	2391	81000	83390	0.0	3945	256634	NZ_QOYG01000004.1
ECOR14_PROKKA|ECOR14_03531:gcd:ECOR14_03531|ECOR14_03531	NZ_QOYG01000004.1	96.445	2391	85	0	1	2391	81000	83390	0.0	3945	256634	NZ_QOYG01000004.1
ECOR16_PROKKA|ECOR16_02572:gcd:ECOR16_02572|ECOR16_02572	NZ_QOYG01000004.1	96.570	2391	82	0	1	2391	81000	83390	0.0	3962	256634	NZ_QOYG01000004.1
ECOR23_PROKKA|ECOR23_00705:-:ECOR23_00705|ECOR23_00705	NZ_QOYG01000004.1	96.194	2391	91	0	1	2391	81000	83390	0.0	3912	256634	NZ_QOYG01000004.1
ECOR44_PROKKA|ECOR44_03159:-:ECOR44_03159|ECOR44_03159	NZ_QOYG01000004.1	97.198	2391	67	0	1	2391	81000	83390	0.0	4045	256634	NZ_QOYG01000004.1
ECOR48_PROKKA|ECOR48_02613:-:ECOR48_02613|ECOR48_02613	NZ_QOYG01000004.1	100.000	2391	0	0	1	2391	81000	83390	0.0	4416	256634	NZ_QOYG01000004.1
ECOR49_PROKKA|ECOR49_04469:-:ECOR49_04469|ECOR49_04469	NZ_QOYG01000004.1	97.031	2391	65	1	1	2385	81000	83390	0.0	4017	256634	NZ_QOYG01000004.1
ECOR4_PROKKA|ECOR4_00479:-:ECOR4_00479|ECOR4_00479	NZ_QOYG01000004.1	96.110	2391	93	0	1	2391	81000	83390	0.0	3901	256634	NZ_QOYG01000004.1
ECOR50_PROKKA|ECOR50_03105:-:ECOR50_03105|ECOR50_03105	NZ_QOYG01000004.1	96.989	2391	66	1	1	2385	81000	83390	0.0	4012	256634	NZ_QOYG01000004.1
ECOR51_PROKKA|ECOR51_01171:-:ECOR51_01171|ECOR51_01171	NZ_QOYG01000004.1	96.194	2391	91	0	1	2391	81000	83390	0.0	3912	256634	NZ_QOYG01000004.1
ECOR52_PROKKA|ECOR52_00757:-:ECOR52_00757|ECOR52_00757	NZ_QOYG01000004.1	96.194	2391	91	0	1	2391	81000	83390	0.0	3912	256634	NZ_QOYG01000004.1
ECOR53_PROKKA|ECOR53_02997:-:ECOR53_02997|ECOR53_02997	NZ_QOYG01000004.1	95.985	2391	96	0	1	2391	81000	83390	0.0	3884	256634	NZ_QOYG01000004.1
ECOR54_PROKKA|ECOR54_00952:-:ECOR54_00952|ECOR54_00952	NZ_QOYG01000004.1	96.194	2391	91	0	1	2391	81000	83390	0.0	3912	256634	NZ_QOYG01000004.1
ECOR55_PROKKA|ECOR55_00844:-:ECOR55_00844|ECOR55_00844	NZ_QOYG01000004.1	96.152	2391	92	0	1	2391	81000	83390	0.0	3906	256634	NZ_QOYG01000004.1
ECOR56_PROKKA|ECOR56_01104:-:ECOR56_01104|ECOR56_01104	NZ_QOYG01000004.1	96.194	2391	91	0	1	2391	81000	83390	0.0	3912	256634	NZ_QOYG01000004.1
ECOR60_PROKKA|ECOR60_01073:-:ECOR60_01073|ECOR60_01073	NZ_QOYG01000004.1	95.985	2391	96	0	1	2391	81000	83390	0.0	3884	256634	NZ_QOYG01000004.1
ECOR61_PROKKA|ECOR61_02312:-:ECOR61_02312|ECOR61_02312	NZ_QOYG01000004.1	96.236	2391	90	0	1	2391	81000	83390	0.0	3917	256634	NZ_QOYG01000004.1
ECOR62_PROKKA|ECOR62_01585:-:ECOR62_01585|ECOR62_01585	NZ_QOYG01000004.1	96.236	2391	90	0	1	2391	81000	83390	0.0	3917	256634	NZ_QOYG01000004.1
ECOR64_PROKKA|ECOR64_03284:-:ECOR64_03284|ECOR64_03284	NZ_QOYG01000004.1	96.361	2391	87	0	1	2391	81000	83390	0.0	3934	256634	NZ_QOYG01000004.1
ECOR66_PROKKA|ECOR66_02454:-:ECOR66_02454|ECOR66_02454	NZ_QOYG01000004.1	96.403	2391	86	0	1	2391	81000	83390	0.0	3940	256634	NZ_QOYG01000004.1
ECOR6_PROKKA|ECOR6_00451:-:ECOR6_00451|ECOR6_00451	NZ_QOYG01000004.1	96.445	2391	85	0	1	2391	81000	83390	0.0	3945	256634	NZ_QOYG01000004.1
ECOR8_PROKKA|ECOR8_00826:-:ECOR8_00826|ECOR8_00826	NZ_QOYG01000004.1	96.445	2391	85	0	1	2391	81000	83390	0.0	3945	256634	NZ_QOYG01000004.1
KE21|HKKLMMAK_03657:gcd:HKKLMMAK_03657|HKKLMMAK_03657	NZ_QOYG01000004.1	95.818	2391	100	0	1	2391	81000	83390	0.0	3862	256634	NZ_QOYG01000004.1
KE24|FLBELDDJ_00807:gcd:FLBELDDJ_00807|FLBELDDJ_00807	NZ_QOYG01000004.1	95.776	2391	101	0	1	2391	81000	83390	0.0	3856	256634	NZ_QOYG01000004.1
KE25|NKLEEENC_01176:gcd:NKLEEENC_01176|NKLEEENC_01176	NZ_QOYG01000004.1	96.445	2391	85	0	1	2391	81000	83390	0.0	3945	256634	NZ_QOYG01000004.1
KE26|AFHKKBMH_00790:gcd:AFHKKBMH_00790|AFHKKBMH_00790	NZ_QOYG01000004.1	95.818	2391	100	0	1	2391	81000	83390	0.0	3862	256634	NZ_QOYG01000004.1
KE4|NBLHDMPF_03585:gcd:NBLHDMPF_03585|NBLHDMPF_03585	NZ_QOYG01000004.1	95.985	2391	96	0	1	2391	81000	83390	0.0	3884	256634	NZ_QOYG01000004.1
KE40|EEHHMH_03955:gcd:EEHHMH_03955|EEHHMH_03955	NZ_QOYG01000004.1	100.000	2391	0	0	1	2391	81000	83390	0.0	4416	256634	NZ_QOYG01000004.1
KE41|PNKGMM_23960:gcd:PNKGMM_23960|PNKGMM_23960	NZ_QOYG01000004.1	96.403	2391	86	0	1	2391	81000	83390	0.0	3940	256634	NZ_QOYG01000004.1
KE47|NHFOKF_07410:gcd:NHFOKF_07410|NHFOKF_07410	NZ_QOYG01000004.1	100.000	2391	0	0	1	2391	81000	83390	0.0	4416	256634	NZ_QOYG01000004.1
KE48_PROKKA|KE48_03627:gcd:KE48_03627|KE48_03627	NZ_QOYG01000004.1	96.194	2391	91	0	1	2391	81000	83390	0.0	3912	256634	NZ_QOYG01000004.1
KE50|OOFCCB_25280:gcd:OOFCCB_25280|OOFCCB_25280	NZ_QOYG01000004.1	95.818	2391	100	0	1	2391	81000	83390	0.0	3862	256634	NZ_QOYG01000004.1
KE51|BHDFJC_22025:gcd:BHDFJC_22025|BHDFJC_22025	NZ_QOYG01000004.1	96.194	2391	91	0	1	2391	81000	83390	0.0	3912	256634	NZ_QOYG01000004.1
KE54|NBPOCE_21720:gcd:NBPOCE_21720|NBPOCE_21720	NZ_QOYG01000004.1	95.818	2391	100	0	1	2391	81000	83390	0.0	3862	256634	NZ_QOYG01000004.1
KE55|HDLJKA_19045:gcd:HDLJKA_19045|HDLJKA_19045	NZ_QOYG01000004.1	97.323	2391	64	0	1	2391	81000	83390	0.0	4061	256634	NZ_QOYG01000004.1
KE58|FKGHDH_19210:gcd:FKGHDH_19210|FKGHDH_19210	NZ_QOYG01000004.1	96.445	2391	85	0	1	2391	81000	83390	0.0	3945	256634	NZ_QOYG01000004.1
LRPF007|PGOAJBJE_03886:gcd:PGOAJBJE_03886|PGOAJBJE_03886	NZ_QOYG01000004.1	96.194	2391	91	0	1	2391	81000	83390	0.0	3912	256634	NZ_QOYG01000004.1
LRPF62|CPONALDP_04069:gcd_2:CPONALDP_04069|CPONALDP_04069	NZ_QOYG01000004.1	96.127	2014	78	0	33	2046	81377	83390	0.0	3288	256634	NZ_QOYG01000004.1
MG1655|9d38f563c3a26fdef9221ebcd767f53a_260:gcd:b0124|9d38f563c3a26fdef9221ebcd767f53a_260	NZ_QOYG01000004.1	96.445	2391	85	0	1	2391	81000	83390	0.0	3945	256634	NZ_QOYG01000004.1
UTI89|a370e86af943a50f23d4c066bcb16592_269:gcd:IFE20_RS00665|a370e86af943a50f23d4c066bcb16592_269	NZ_QOYG01000004.1	96.278	2391	89	0	1	2391	81000	83390	0.0	3923	256634	NZ_QOYG01000004.1
W3110|a99aee7d8774ee1318b35b64abeb3eab_251:gcd:Y75_RS00630|a99aee7d8774ee1318b35b64abeb3eab_251	NZ_QOYG01000004.1	96.445	2391	85	0	1	2391	81000	83390	0.0	3945	256634	NZ_QOYG01000004.1
