qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_5049:psuT:HGG68_RS12395|2b84de5415a5ca9477dbe99a5510e5bf_5049	NZ_QOYG01000001.1	89.928	1251	126	0	1	1251	677602	676352	0.0	1613	782163	NZ_QOYG01000001.1
ECOR11_PROKKA|ECOR11_01644:yeiM:ECOR11_01644|ECOR11_01644	NZ_QOYG01000001.1	97.343	1242	33	0	1	1242	677602	676361	0.0	2111	782163	NZ_QOYG01000001.1
ECOR14_PROKKA|ECOR14_02726:psuT:ECOR14_02726|ECOR14_02726	NZ_QOYG01000001.1	98.229	1242	22	0	1	1242	677602	676361	0.0	2172	782163	NZ_QOYG01000001.1
ECOR16_PROKKA|ECOR16_00052:psuT:ECOR16_00052|ECOR16_00052	NZ_QOYG01000001.1	97.182	1242	35	0	1	1242	677602	676361	0.0	2100	782163	NZ_QOYG01000001.1
ECOR23_PROKKA|ECOR23_01498:-:ECOR23_01498|ECOR23_01498	NZ_QOYG01000001.1	89.928	1251	126	0	1	1251	677602	676352	0.0	1613	782163	NZ_QOYG01000001.1
ECOR44_PROKKA|ECOR44_04689:-:ECOR44_04689|ECOR44_04689	NZ_QOYG01000001.1	97.122	1251	36	0	1	1251	677602	676352	0.0	2111	782163	NZ_QOYG01000001.1
ECOR48_PROKKA|ECOR48_04816:-:ECOR48_04816|ECOR48_04816	NZ_QOYG01000001.1	96.403	1251	45	0	1	1251	677602	676352	0.0	2061	782163	NZ_QOYG01000001.1
ECOR49_PROKKA|ECOR49_03024:-:ECOR49_03024|ECOR49_03024	NZ_QOYG01000001.1	96.483	1251	44	0	1	1251	677602	676352	0.0	2067	782163	NZ_QOYG01000001.1
ECOR4_PROKKA|ECOR4_02015:-:ECOR4_02015|ECOR4_02015	NZ_QOYG01000001.1	97.262	1242	34	0	1	1242	677602	676361	0.0	2106	782163	NZ_QOYG01000001.1
ECOR50_PROKKA|ECOR50_02573:-:ECOR50_02573|ECOR50_02573	NZ_QOYG01000001.1	96.483	1251	44	0	1	1251	677602	676352	0.0	2067	782163	NZ_QOYG01000001.1
ECOR51_PROKKA|ECOR51_01457:-:ECOR51_01457|ECOR51_01457	NZ_QOYG01000001.1	89.928	1251	126	0	1	1251	677602	676352	0.0	1613	782163	NZ_QOYG01000001.1
ECOR52_PROKKA|ECOR52_02416:-:ECOR52_02416|ECOR52_02416	NZ_QOYG01000001.1	89.928	1251	126	0	1	1251	677602	676352	0.0	1613	782163	NZ_QOYG01000001.1
ECOR53_PROKKA|ECOR53_01627:-:ECOR53_01627|ECOR53_01627	NZ_QOYG01000001.1	90.088	1251	124	0	1	1251	677602	676352	0.0	1624	782163	NZ_QOYG01000001.1
ECOR54_PROKKA|ECOR54_01281:-:ECOR54_01281|ECOR54_01281	NZ_QOYG01000001.1	89.928	1251	126	0	1	1251	677602	676352	0.0	1613	782163	NZ_QOYG01000001.1
ECOR55_PROKKA|ECOR55_01476:-:ECOR55_01476|ECOR55_01476	NZ_QOYG01000001.1	89.928	1251	126	0	1	1251	677602	676352	0.0	1613	782163	NZ_QOYG01000001.1
ECOR56_PROKKA|ECOR56_01462:-:ECOR56_01462|ECOR56_01462	NZ_QOYG01000001.1	89.928	1251	126	0	1	1251	677602	676352	0.0	1613	782163	NZ_QOYG01000001.1
ECOR60_PROKKA|ECOR60_01986:-:ECOR60_01986|ECOR60_01986	NZ_QOYG01000001.1	90.008	1251	125	0	1	1251	677602	676352	0.0	1618	782163	NZ_QOYG01000001.1
