qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_1155:fdrA:HGG68_RS02835|2b84de5415a5ca9477dbe99a5510e5bf_1155	NZ_QOYG01000010.1	97.362	1668	44	0	1	1668	93930	95597	0.0	2837	122006	NZ_QOYG01000010.1
ECOR11_PROKKA|ECOR11_01954:fdrA:ECOR11_01954|ECOR11_01954	NZ_QOYG01000010.1	97.062	1668	49	0	1	1668	93930	95597	0.0	2809	122006	NZ_QOYG01000010.1
ECOR14_PROKKA|ECOR14_02750:fdrA_2:ECOR14_02750|ECOR14_02750	NZ_QOYG01000010.1	96.163	1668	64	0	1	1668	93930	95597	0.0	2726	122006	NZ_QOYG01000010.1
ECOR16_PROKKA|ECOR16_01451:fdrA:ECOR16_01451|ECOR16_01451	NZ_QOYG01000010.1	96.223	1668	63	0	1	1668	93930	95597	0.0	2732	122006	NZ_QOYG01000010.1
ECOR23_PROKKA|ECOR23_03628:-:ECOR23_03628|ECOR23_03628	NZ_QOYG01000010.1	97.362	1668	44	0	1	1668	93930	95597	0.0	2837	122006	NZ_QOYG01000010.1
ECOR44_PROKKA|ECOR44_04091:-:ECOR44_04091|ECOR44_04091	NZ_QOYG01000010.1	98.801	1668	20	0	1	1668	93930	95597	0.0	2970	122006	NZ_QOYG01000010.1
ECOR48_PROKKA|ECOR48_02868:-:ECOR48_02868|ECOR48_02868	NZ_QOYG01000010.1	96.763	1668	54	0	1	1668	93930	95597	0.0	2782	122006	NZ_QOYG01000010.1
ECOR49_PROKKA|ECOR49_04330:-:ECOR49_04330|ECOR49_04330	NZ_QOYG01000010.1	98.441	1668	26	0	1	1668	93930	95597	0.0	2937	122006	NZ_QOYG01000010.1
ECOR4_PROKKA|ECOR4_03682:-:ECOR4_03682|ECOR4_03682	NZ_QOYG01000010.1	96.343	1668	61	0	1	1668	93930	95597	0.0	2743	122006	NZ_QOYG01000010.1
ECOR50_PROKKA|ECOR50_02235:-:ECOR50_02235|ECOR50_02235	NZ_QOYG01000010.1	98.441	1668	26	0	1	1668	93930	95597	0.0	2937	122006	NZ_QOYG01000010.1
ECOR51_PROKKA|ECOR51_00495:-:ECOR51_00495|ECOR51_00495	NZ_QOYG01000010.1	97.362	1668	44	0	1	1668	93930	95597	0.0	2837	122006	NZ_QOYG01000010.1
ECOR52_PROKKA|ECOR52_03944:-:ECOR52_03944|ECOR52_03944	NZ_QOYG01000010.1	97.362	1668	44	0	1	1668	93930	95597	0.0	2837	122006	NZ_QOYG01000010.1
ECOR53_PROKKA|ECOR53_03774:-:ECOR53_03774|ECOR53_03774	NZ_QOYG01000010.1	97.062	1668	49	0	1	1668	93930	95597	0.0	2809	122006	NZ_QOYG01000010.1
ECOR54_PROKKA|ECOR54_03415:-:ECOR54_03415|ECOR54_03415	NZ_QOYG01000010.1	97.362	1668	44	0	1	1668	93930	95597	0.0	2837	122006	NZ_QOYG01000010.1
