qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_1902:hcp:HGG68_RS04650|2b84de5415a5ca9477dbe99a5510e5bf_1902	NZ_QOYG01000008.1	97.641	1653	39	0	1	1653	124407	122755	0.0	2837	196976	NZ_QOYG01000008.1
ECOR11_PROKKA|ECOR11_03003:hcp:ECOR11_03003|ECOR11_03003	NZ_QOYG01000008.1	97.036	1653	49	0	1	1653	124407	122755	0.0	2782	196976	NZ_QOYG01000008.1
ECOR14_PROKKA|ECOR14_02290:hcp:ECOR14_02290|ECOR14_02290	NZ_QOYG01000008.1	97.036	1653	49	0	1	1653	124407	122755	0.0	2782	196976	NZ_QOYG01000008.1
ECOR16_PROKKA|ECOR16_01948:hcp:ECOR16_01948|ECOR16_01948	NZ_QOYG01000008.1	96.794	1653	53	0	1	1653	124407	122755	0.0	2760	196976	NZ_QOYG01000008.1
ECOR23_PROKKA|ECOR23_03961:-:ECOR23_03961|ECOR23_03961	NZ_QOYG01000008.1	97.641	1653	39	0	1	1653	124407	122755	0.0	2837	196976	NZ_QOYG01000008.1
ECOR44_PROKKA|ECOR44_01486:-:ECOR44_01486|ECOR44_01486	NZ_QOYG01000008.1	99.879	1653	2	0	1	1653	124407	122755	0.0	3042	196976	NZ_QOYG01000008.1
ECOR48_PROKKA|ECOR48_03401:-:ECOR48_03401|ECOR48_03401	NZ_QOYG01000008.1	98.669	1653	22	0	1	1653	124407	122755	0.0	2931	196976	NZ_QOYG01000008.1
ECOR49_PROKKA|ECOR49_03532:-:ECOR49_03532|ECOR49_03532	NZ_QOYG01000008.1	98.730	1653	21	0	1	1653	124407	122755	0.0	2937	196976	NZ_QOYG01000008.1
ECOR4_PROKKA|ECOR4_00258:-:ECOR4_00258|ECOR4_00258	NZ_QOYG01000008.1	96.915	1653	51	0	1	1653	124407	122755	0.0	2771	196976	NZ_QOYG01000008.1
ECOR50_PROKKA|ECOR50_05226:-:ECOR50_05226|ECOR50_05226	NZ_QOYG01000008.1	98.669	1653	22	0	1	1653	124407	122755	0.0	2931	196976	NZ_QOYG01000008.1
