qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_4063:ydjE:HGG68_RS09950|2b84de5415a5ca9477dbe99a5510e5bf_4063	NZ_QOYG01000001.1	95.806	1359	57	0	1	1359	271104	269746	0.0	2194	782163	NZ_QOYG01000001.1
ECOR11_PROKKA|ECOR11_03372:ydjE:ECOR11_03372|ECOR11_03372	NZ_QOYG01000001.1	95.732	1359	58	0	1	1359	271104	269746	0.0	2189	782163	NZ_QOYG01000001.1
ECOR14_PROKKA|ECOR14_02599:ydjE_2:ECOR14_02599|ECOR14_02599	NZ_QOYG01000001.1	96.247	1359	51	0	1	1359	271104	269746	0.0	2228	782163	NZ_QOYG01000001.1
ECOR16_PROKKA|ECOR16_01219:ydjE_1:ECOR16_01219|ECOR16_01219	NZ_QOYG01000001.1	95.692	882	38	0	1	882	270627	269746	0.0	1419	782163	NZ_QOYG01000001.1
ECOR23_PROKKA|ECOR23_02290:-:ECOR23_02290|ECOR23_02290	NZ_QOYG01000001.1	95.806	1359	57	0	1	1359	271104	269746	0.0	2194	782163	NZ_QOYG01000001.1
ECOR44_PROKKA|ECOR44_02694:-:ECOR44_02694|ECOR44_02694	NZ_QOYG01000001.1	99.043	1359	13	0	1	1359	271104	269746	0.0	2438	782163	NZ_QOYG01000001.1
ECOR48_PROKKA|ECOR48_01177:-:ECOR48_01177|ECOR48_01177	NZ_QOYG01000001.1	98.160	1359	25	0	1	1359	271104	269746	0.0	2372	782163	NZ_QOYG01000001.1
ECOR49_PROKKA|ECOR49_00717:-:ECOR49_00717|ECOR49_00717	NZ_QOYG01000001.1	99.191	1359	11	0	1	1359	271104	269746	0.0	2449	782163	NZ_QOYG01000001.1
ECOR4_PROKKA|ECOR4_03078:-:ECOR4_03078|ECOR4_03078	NZ_QOYG01000001.1	95.511	1359	61	0	1	1359	271104	269746	0.0	2172	782163	NZ_QOYG01000001.1
ECOR50_PROKKA|ECOR50_01464:-:ECOR50_01464|ECOR50_01464	NZ_QOYG01000001.1	99.264	1359	10	0	1	1359	271104	269746	0.0	2455	782163	NZ_QOYG01000001.1
ECOR51_PROKKA|ECOR51_02447:-:ECOR51_02447|ECOR51_02447	NZ_QOYG01000001.1	95.806	1359	57	0	1	1359	271104	269746	0.0	2194	782163	NZ_QOYG01000001.1
ECOR52_PROKKA|ECOR52_01389:-:ECOR52_01389|ECOR52_01389	NZ_QOYG01000001.1	95.806	1359	57	0	1	1359	271104	269746	0.0	2194	782163	NZ_QOYG01000001.1
ECOR53_PROKKA|ECOR53_02484:-:ECOR53_02484|ECOR53_02484	NZ_QOYG01000001.1	95.879	1359	56	0	1	1359	271104	269746	0.0	2200	782163	NZ_QOYG01000001.1
ECOR54_PROKKA|ECOR54_02197:-:ECOR54_02197|ECOR54_02197	NZ_QOYG01000001.1	95.806	1359	57	0	1	1359	271104	269746	0.0	2194	782163	NZ_QOYG01000001.1
ECOR55_PROKKA|ECOR55_03840:-:ECOR55_03840|ECOR55_03840	NZ_QOYG01000001.1	95.806	1359	57	0	1	1359	271104	269746	0.0	2194	782163	NZ_QOYG01000001.1
