qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_3749:hdhA:HGG68_RS09180|2b84de5415a5ca9477dbe99a5510e5bf_3749	NZ_QOYG01000001.1	97.135	768	22	0	1	768	116739	115972	0.0	1297	782163	NZ_QOYG01000001.1
ECOR11_PROKKA|ECOR11_03525:hdhA:ECOR11_03525|ECOR11_03525	NZ_QOYG01000001.1	97.526	768	19	0	1	768	116739	115972	0.0	1314	782163	NZ_QOYG01000001.1
ECOR14_PROKKA|ECOR14_04548:hdhA:ECOR14_04548|ECOR14_04548	NZ_QOYG01000001.1	97.526	768	19	0	1	768	116739	115972	0.0	1314	782163	NZ_QOYG01000001.1
ECOR16_PROKKA|ECOR16_04291:hdhA:ECOR16_04291|ECOR16_04291	NZ_QOYG01000001.1	97.396	768	20	0	1	768	116739	115972	0.0	1308	782163	NZ_QOYG01000001.1
ECOR23_PROKKA|ECOR23_02442:-:ECOR23_02442|ECOR23_02442	NZ_QOYG01000001.1	97.135	768	22	0	1	768	116739	115972	0.0	1297	782163	NZ_QOYG01000001.1
ECOR44_PROKKA|ECOR44_04494:-:ECOR44_04494|ECOR44_04494	NZ_QOYG01000001.1	98.828	768	9	0	1	768	116739	115972	0.0	1369	782163	NZ_QOYG01000001.1
ECOR48_PROKKA|ECOR48_03777:-:ECOR48_03777|ECOR48_03777	NZ_QOYG01000001.1	98.568	768	11	0	1	768	116739	115972	0.0	1358	782163	NZ_QOYG01000001.1
ECOR49_PROKKA|ECOR49_01902:-:ECOR49_01902|ECOR49_01902	NZ_QOYG01000001.1	99.089	768	7	0	1	768	116739	115972	0.0	1380	782163	NZ_QOYG01000001.1
ECOR4_PROKKA|ECOR4_03899:-:ECOR4_03899|ECOR4_03899	NZ_QOYG01000001.1	97.526	768	19	0	1	768	116739	115972	0.0	1314	782163	NZ_QOYG01000001.1
ECOR50_PROKKA|ECOR50_01614:-:ECOR50_01614|ECOR50_01614	NZ_QOYG01000001.1	99.089	768	7	0	1	768	116739	115972	0.0	1380	782163	NZ_QOYG01000001.1
ECOR51_PROKKA|ECOR51_02296:-:ECOR51_02296|ECOR51_02296	NZ_QOYG01000001.1	97.135	768	22	0	1	768	116739	115972	0.0	1297	782163	NZ_QOYG01000001.1
ECOR52_PROKKA|ECOR52_01541:-:ECOR52_01541|ECOR52_01541	NZ_QOYG01000001.1	97.135	768	22	0	1	768	116739	115972	0.0	1297	782163	NZ_QOYG01000001.1
ECOR53_PROKKA|ECOR53_02334:-:ECOR53_02334|ECOR53_02334	NZ_QOYG01000001.1	97.005	768	23	0	1	768	116739	115972	0.0	1291	782163	NZ_QOYG01000001.1
ECOR54_PROKKA|ECOR54_02046:-:ECOR54_02046|ECOR54_02046	NZ_QOYG01000001.1	97.135	768	22	0	1	768	116739	115972	0.0	1297	782163	NZ_QOYG01000001.1
ECOR55_PROKKA|ECOR55_01671:-:ECOR55_01671|ECOR55_01671	NZ_QOYG01000001.1	97.135	768	22	0	1	768	116739	115972	0.0	1297	782163	NZ_QOYG01000001.1
ECOR56_PROKKA|ECOR56_01960:-:ECOR56_01960|ECOR56_01960	NZ_QOYG01000001.1	97.135	768	22	0	1	768	116739	115972	0.0	1297	782163	NZ_QOYG01000001.1
ECOR60_PROKKA|ECOR60_03602:-:ECOR60_03602|ECOR60_03602	NZ_QOYG01000001.1	97.005	768	23	0	1	768	116739	115972	0.0	1291	782163	NZ_QOYG01000001.1
ECOR61_PROKKA|ECOR61_00543:-:ECOR61_00543|ECOR61_00543	NZ_QOYG01000001.1	97.005	768	23	0	1	768	116739	115972	0.0	1291	782163	NZ_QOYG01000001.1
ECOR62_PROKKA|ECOR62_00018:-:ECOR62_00018|ECOR62_00018	NZ_QOYG01000001.1	97.005	768	23	0	1	768	116739	115972	0.0	1291	782163	NZ_QOYG01000001.1
ECOR64_PROKKA|ECOR64_04395:-:ECOR64_04395|ECOR64_04395	NZ_QOYG01000001.1	97.396	768	20	0	1	768	116739	115972	0.0	1308	782163	NZ_QOYG01000001.1
ECOR66_PROKKA|ECOR66_03310:-:ECOR66_03310|ECOR66_03310	NZ_QOYG01000001.1	97.135	768	22	0	1	768	116739	115972	0.0	1297	782163	NZ_QOYG01000001.1
ECOR8_PROKKA|ECOR8_01474:-:ECOR8_01474|ECOR8_01474	NZ_QOYG01000001.1	97.526	768	19	0	1	768	116739	115972	0.0	1314	782163	NZ_QOYG01000001.1
KE21|HKKLMMAK_00276:hdhA:HKKLMMAK_00276|HKKLMMAK_00276	NZ_QOYG01000001.1	96.875	768	24	0	1	768	116739	115972	0.0	1286	782163	NZ_QOYG01000001.1
KE24|FLBELDDJ_04174:hdhA:FLBELDDJ_04174|FLBELDDJ_04174	NZ_QOYG01000001.1	97.135	768	22	0	1	768	116739	115972	0.0	1297	782163	NZ_QOYG01000001.1
KE25|NKLEEENC_04719:hdhA:NKLEEENC_04719|NKLEEENC_04719	NZ_QOYG01000001.1	96.875	768	24	0	1	768	116739	115972	0.0	1286	782163	NZ_QOYG01000001.1
KE26|AFHKKBMH_02330:hdhA:AFHKKBMH_02330|AFHKKBMH_02330	NZ_QOYG01000001.1	96.875	768	24	0	1	768	116739	115972	0.0	1286	782163	NZ_QOYG01000001.1
KE4|NBLHDMPF_01873:hdhA:NBLHDMPF_01873|NBLHDMPF_01873	NZ_QOYG01000001.1	97.005	768	23	0	1	768	116739	115972	0.0	1291	782163	NZ_QOYG01000001.1
KE40|EEHHMH_13150:hdhA:EEHHMH_13150|EEHHMH_13150	NZ_QOYG01000001.1	100.000	768	0	0	1	768	116739	115972	0.0	1419	782163	NZ_QOYG01000001.1
KE41|PNKGMM_15955:hdhA:PNKGMM_15955|PNKGMM_15955	NZ_QOYG01000001.1	97.396	768	20	0	1	768	116739	115972	0.0	1308	782163	NZ_QOYG01000001.1
KE46|DADKIG_11085:hdhA:DADKIG_11085|DADKIG_11085	NZ_QOYG01000001.1	98.568	768	11	0	1	768	116739	115972	0.0	1358	782163	NZ_QOYG01000001.1
KE47|NHFOKF_23395:hdhA:NHFOKF_23395|NHFOKF_23395	NZ_QOYG01000001.1	100.000	768	0	0	1	768	116739	115972	0.0	1419	782163	NZ_QOYG01000001.1
KE48_PROKKA|KE48_04207:hdhA:KE48_04207|KE48_04207	NZ_QOYG01000001.1	97.135	768	22	0	1	768	116739	115972	0.0	1297	782163	NZ_QOYG01000001.1
KE50|OOFCCB_17705:hdhA:OOFCCB_17705|OOFCCB_17705	NZ_QOYG01000001.1	96.875	768	24	0	1	768	116739	115972	0.0	1286	782163	NZ_QOYG01000001.1
