qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_1874:rlmC:HGG68_RS04580|2b84de5415a5ca9477dbe99a5510e5bf_1874	NZ_QOYG01000008.1	94.991	1118	56	0	1	1118	103362	104479	0.0	1755	196976	NZ_QOYG01000008.1
ECOR11_PROKKA|ECOR11_03017:rlmC:ECOR11_03017|ECOR11_03017	NZ_QOYG01000008.1	94.817	1119	56	2	1	1118	103362	104479	0.0	1744	196976	NZ_QOYG01000008.1
ECOR14_PROKKA|ECOR14_02276:rlmC:ECOR14_02276|ECOR14_02276	NZ_QOYG01000008.1	94.996	1119	54	2	1	1118	103362	104479	0.0	1755	196976	NZ_QOYG01000008.1
ECOR16_PROKKA|ECOR16_01934:rlmC:ECOR16_01934|ECOR16_01934	NZ_QOYG01000008.1	95.617	1118	49	0	1	1118	103362	104479	0.0	1794	196976	NZ_QOYG01000008.1
ECOR23_PROKKA|ECOR23_03975:-:ECOR23_03975|ECOR23_03975	NZ_QOYG01000008.1	94.991	1118	56	0	1	1118	103362	104479	0.0	1755	196976	NZ_QOYG01000008.1
ECOR44_PROKKA|ECOR44_01501:-:ECOR44_01501|ECOR44_01501	NZ_QOYG01000008.1	95.528	1118	50	0	1	1118	103362	104479	0.0	1788	196976	NZ_QOYG01000008.1
ECOR48_PROKKA|ECOR48_03386:-:ECOR48_03386|ECOR48_03386	NZ_QOYG01000008.1	96.691	1118	37	0	1	1118	103362	104479	0.0	1860	196976	NZ_QOYG01000008.1
ECOR49_PROKKA|ECOR49_03517:-:ECOR49_03517|ECOR49_03517	NZ_QOYG01000008.1	96.691	1118	37	0	1	1118	103362	104479	0.0	1860	196976	NZ_QOYG01000008.1
ECOR4_PROKKA|ECOR4_00272:-:ECOR4_00272|ECOR4_00272	NZ_QOYG01000008.1	94.996	1119	54	2	1	1118	103362	104479	0.0	1755	196976	NZ_QOYG01000008.1
ECOR50_PROKKA|ECOR50_05211:-:ECOR50_05211|ECOR50_05211	NZ_QOYG01000008.1	96.691	1118	37	0	1	1118	103362	104479	0.0	1860	196976	NZ_QOYG01000008.1
