qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_827:prpD:HGG68_RS02020|2b84de5415a5ca9477dbe99a5510e5bf_827	QOWW01000008.1	96.763	1452	47	0	1	1452	127095	125644	0.0	2422	175315	QOWW01000008.1
ECOR14_PROKKA|ECOR14_03960:prpD:ECOR14_03960|ECOR14_03960	QOWW01000008.1	99.931	1452	1	0	1	1452	127095	125644	0.0	2676	175315	QOWW01000008.1
ECOR16_PROKKA|ECOR16_02226:prpD:ECOR16_02226|ECOR16_02226	QOWW01000008.1	99.862	1452	2	0	1	1452	127095	125644	0.0	2671	175315	QOWW01000008.1
ECOR23_PROKKA|ECOR23_00278:-:ECOR23_00278|ECOR23_00278	QOWW01000008.1	96.763	1452	47	0	1	1452	127095	125644	0.0	2422	175315	QOWW01000008.1
ECOR44_PROKKA|ECOR44_02941:-:ECOR44_02941|ECOR44_02941	QOWW01000008.1	98.209	1452	26	0	1	1452	127095	125644	0.0	2538	175315	QOWW01000008.1
ECOR48_PROKKA|ECOR48_04126:-:ECOR48_04126|ECOR48_04126	QOWW01000008.1	98.140	1452	27	0	1	1452	127095	125644	0.0	2532	175315	QOWW01000008.1
ECOR49_PROKKA|ECOR49_00947:-:ECOR49_00947|ECOR49_00947	QOWW01000008.1	98.416	1452	23	0	1	1452	127095	125644	0.0	2555	175315	QOWW01000008.1
ECOR4_PROKKA|ECOR4_01763:-:ECOR4_01763|ECOR4_01763	QOWW01000008.1	99.862	1452	2	0	1	1452	127095	125644	0.0	2671	175315	QOWW01000008.1
ECOR50_PROKKA|ECOR50_00154:-:ECOR50_00154|ECOR50_00154	QOWW01000008.1	98.416	1452	23	0	1	1452	127095	125644	0.0	2555	175315	QOWW01000008.1
ECOR51_PROKKA|ECOR51_00522:-:ECOR51_00522|ECOR51_00522	QOWW01000008.1	96.763	1452	47	0	1	1452	127095	125644	0.0	2422	175315	QOWW01000008.1
ECOR52_PROKKA|ECOR52_00324:-:ECOR52_00324|ECOR52_00324	QOWW01000008.1	96.763	1452	47	0	1	1452	127095	125644	0.0	2422	175315	QOWW01000008.1
ECOR53_PROKKA|ECOR53_00014:-:ECOR53_00014|ECOR53_00014	QOWW01000008.1	97.314	1452	39	0	1	1452	127095	125644	0.0	2466	175315	QOWW01000008.1
ECOR54_PROKKA|ECOR54_00397:-:ECOR54_00397|ECOR54_00397	QOWW01000008.1	96.694	1452	48	0	1	1452	127095	125644	0.0	2416	175315	QOWW01000008.1
ECOR55_PROKKA|ECOR55_00383:-:ECOR55_00383|ECOR55_00383	QOWW01000008.1	96.763	1452	47	0	1	1452	127095	125644	0.0	2422	175315	QOWW01000008.1
