qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_3745:uidA:HGG68_RS09170|2b84de5415a5ca9477dbe99a5510e5bf_3745	NZ_QOYG01000001.1	98.068	1812	35	0	1	1812	114770	112959	0.0	3153	782163	NZ_QOYG01000001.1
ECOR11_PROKKA|ECOR11_03527:uidA:ECOR11_03527|ECOR11_03527	NZ_QOYG01000001.1	98.467	1826	23	1	1	1821	114784	112959	0.0	3212	782163	NZ_QOYG01000001.1
ECOR14_PROKKA|ECOR14_04546:uidA:ECOR14_04546|ECOR14_04546	NZ_QOYG01000001.1	98.510	1812	27	0	1	1812	114770	112959	0.0	3197	782163	NZ_QOYG01000001.1
ECOR16_PROKKA|ECOR16_04293:uidA:ECOR16_04293|ECOR16_04293	NZ_QOYG01000001.1	98.289	1812	31	0	1	1812	114770	112959	0.0	3175	782163	NZ_QOYG01000001.1
ECOR23_PROKKA|ECOR23_02444:-:ECOR23_02444|ECOR23_02444	NZ_QOYG01000001.1	98.068	1812	35	0	1	1812	114770	112959	0.0	3153	782163	NZ_QOYG01000001.1
ECOR44_PROKKA|ECOR44_04496:-:ECOR44_04496|ECOR44_04496	NZ_QOYG01000001.1	99.062	1812	17	0	1	1812	114770	112959	0.0	3253	782163	NZ_QOYG01000001.1
ECOR48_PROKKA|ECOR48_03775:-:ECOR48_03775|ECOR48_03775	NZ_QOYG01000001.1	98.896	1812	20	0	1	1812	114770	112959	0.0	3236	782163	NZ_QOYG01000001.1
ECOR49_PROKKA|ECOR49_01904:-:ECOR49_01904|ECOR49_01904	NZ_QOYG01000001.1	98.675	1812	24	0	1	1812	114770	112959	0.0	3214	782163	NZ_QOYG01000001.1
ECOR4_PROKKA|ECOR4_03897:-:ECOR4_03897|ECOR4_03897	NZ_QOYG01000001.1	98.510	1812	27	0	1	1812	114770	112959	0.0	3197	782163	NZ_QOYG01000001.1
ECOR50_PROKKA|ECOR50_01616:-:ECOR50_01616|ECOR50_01616	NZ_QOYG01000001.1	98.675	1812	24	0	1	1812	114770	112959	0.0	3214	782163	NZ_QOYG01000001.1
ECOR51_PROKKA|ECOR51_02294:-:ECOR51_02294|ECOR51_02294	NZ_QOYG01000001.1	98.068	1812	35	0	1	1812	114770	112959	0.0	3153	782163	NZ_QOYG01000001.1
ECOR52_PROKKA|ECOR52_01543:-:ECOR52_01543|ECOR52_01543	NZ_QOYG01000001.1	98.068	1812	35	0	1	1812	114770	112959	0.0	3153	782163	NZ_QOYG01000001.1
ECOR53_PROKKA|ECOR53_02332:-:ECOR53_02332|ECOR53_02332	NZ_QOYG01000001.1	98.124	1812	34	0	1	1812	114770	112959	0.0	3158	782163	NZ_QOYG01000001.1
ECOR54_PROKKA|ECOR54_02044:-:ECOR54_02044|ECOR54_02044	NZ_QOYG01000001.1	98.068	1812	35	0	1	1812	114770	112959	0.0	3153	782163	NZ_QOYG01000001.1
ECOR55_PROKKA|ECOR55_01673:-:ECOR55_01673|ECOR55_01673	NZ_QOYG01000001.1	98.068	1812	35	0	1	1812	114770	112959	0.0	3153	782163	NZ_QOYG01000001.1
