qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_2027:ssuE:HGG68_RS04955|2b84de5415a5ca9477dbe99a5510e5bf_2027	NZ_QOYG01000006.1	95.660	576	25	0	1	576	4898	4323	0.0	926	214558	NZ_QOYG01000006.1
ECOR11_PROKKA|ECOR11_02939:ssuE:ECOR11_02939|ECOR11_02939	NZ_QOYG01000006.1	96.007	576	23	0	1	576	4898	4323	0.0	937	214558	NZ_QOYG01000006.1
ECOR14_PROKKA|ECOR14_02354:ssuE:ECOR14_02354|ECOR14_02354	NZ_QOYG01000006.1	96.007	576	23	0	1	576	4898	4323	0.0	937	214558	NZ_QOYG01000006.1
ECOR23_PROKKA|ECOR23_03900:-:ECOR23_03900|ECOR23_03900	NZ_QOYG01000006.1	95.660	576	25	0	1	576	4898	4323	0.0	926	214558	NZ_QOYG01000006.1
ECOR44_PROKKA|ECOR44_01424:-:ECOR44_01424|ECOR44_01424	NZ_QOYG01000006.1	99.826	576	1	0	1	576	4898	4323	0.0	1059	214558	NZ_QOYG01000006.1
ECOR48_PROKKA|ECOR48_03463:-:ECOR48_03463|ECOR48_03463	NZ_QOYG01000006.1	96.354	576	21	0	1	576	4898	4323	0.0	948	214558	NZ_QOYG01000006.1
ECOR49_PROKKA|ECOR49_02848:-:ECOR49_02848|ECOR49_02848	NZ_QOYG01000006.1	97.917	576	12	0	1	576	4898	4323	0.0	998	214558	NZ_QOYG01000006.1
ECOR4_PROKKA|ECOR4_00038:-:ECOR4_00038|ECOR4_00038	NZ_QOYG01000006.1	96.007	576	23	0	1	576	4898	4323	0.0	937	214558	NZ_QOYG01000006.1
ECOR50_PROKKA|ECOR50_00683:-:ECOR50_00683|ECOR50_00683	NZ_QOYG01000006.1	98.090	576	11	0	1	576	4898	4323	0.0	1003	214558	NZ_QOYG01000006.1
ECOR51_PROKKA|ECOR51_03749:-:ECOR51_03749|ECOR51_03749	NZ_QOYG01000006.1	95.660	576	25	0	1	576	4898	4323	0.0	926	214558	NZ_QOYG01000006.1
ECOR52_PROKKA|ECOR52_03286:-:ECOR52_03286|ECOR52_03286	NZ_QOYG01000006.1	95.660	576	25	0	1	576	4898	4323	0.0	926	214558	NZ_QOYG01000006.1
ECOR53_PROKKA|ECOR53_04055:-:ECOR53_04055|ECOR53_04055	NZ_QOYG01000006.1	95.833	576	24	0	1	576	4898	4323	0.0	931	214558	NZ_QOYG01000006.1
ECOR54_PROKKA|ECOR54_04018:-:ECOR54_04018|ECOR54_04018	NZ_QOYG01000006.1	95.660	576	25	0	1	576	4898	4323	0.0	926	214558	NZ_QOYG01000006.1
