qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_2959:ycgZ:HGG68_RS07245|2b84de5415a5ca9477dbe99a5510e5bf_2959	NZ_QOYG01000003.1	98.312	237	4	0	1	237	259422	259186	4.09e-117	416	276119	NZ_QOYG01000003.1
ECOR11_PROKKA|ECOR11_04391:ycgZ:ECOR11_04391|ECOR11_04391	NZ_QOYG01000003.1	98.312	237	4	0	1	237	259422	259186	4.09e-117	416	276119	NZ_QOYG01000003.1
ECOR14_PROKKA|ECOR14_03171:ycgZ:ECOR14_03171|ECOR14_03171	NZ_QOYG01000003.1	98.312	237	4	0	1	237	259422	259186	4.09e-117	416	276119	NZ_QOYG01000003.1
ECOR16_PROKKA|ECOR16_00367:ycgZ:ECOR16_00367|ECOR16_00367	NZ_QOYG01000003.1	98.734	237	3	0	1	237	259422	259186	8.80e-119	422	276119	NZ_QOYG01000003.1
ECOR23_PROKKA|ECOR23_04554:-:ECOR23_04554|ECOR23_04554	NZ_QOYG01000003.1	98.312	237	4	0	1	237	259422	259186	4.09e-117	416	276119	NZ_QOYG01000003.1
ECOR44_PROKKA|ECOR44_02962:-:ECOR44_02962|ECOR44_02962	NZ_QOYG01000003.1	100.000	237	0	0	1	237	259422	259186	8.73e-124	438	276119	NZ_QOYG01000003.1
ECOR48_PROKKA|ECOR48_00540:-:ECOR48_00540|ECOR48_00540	NZ_QOYG01000003.1	100.000	237	0	0	1	237	259422	259186	8.73e-124	438	276119	NZ_QOYG01000003.1
ECOR49_PROKKA|ECOR49_03883:-:ECOR49_03883|ECOR49_03883	NZ_QOYG01000003.1	100.000	237	0	0	1	237	259422	259186	8.73e-124	438	276119	NZ_QOYG01000003.1
ECOR4_PROKKA|ECOR4_03837:-:ECOR4_03837|ECOR4_03837	NZ_QOYG01000003.1	99.156	237	2	0	1	237	259422	259186	1.89e-120	427	276119	NZ_QOYG01000003.1
ECOR50_PROKKA|ECOR50_04710:-:ECOR50_04710|ECOR50_04710	NZ_QOYG01000003.1	100.000	237	0	0	1	237	259422	259186	8.73e-124	438	276119	NZ_QOYG01000003.1
ECOR51_PROKKA|ECOR51_00923:-:ECOR51_00923|ECOR51_00923	NZ_QOYG01000003.1	98.312	237	4	0	1	237	259422	259186	4.09e-117	416	276119	NZ_QOYG01000003.1
ECOR52_PROKKA|ECOR52_04564:-:ECOR52_04564|ECOR52_04564	NZ_QOYG01000003.1	98.312	237	4	0	1	237	259422	259186	4.09e-117	416	276119	NZ_QOYG01000003.1
ECOR53_PROKKA|ECOR53_01226:-:ECOR53_01226|ECOR53_01226	NZ_QOYG01000003.1	98.312	237	4	0	1	237	259422	259186	4.09e-117	416	276119	NZ_QOYG01000003.1
ECOR54_PROKKA|ECOR54_04702:-:ECOR54_04702|ECOR54_04702	NZ_QOYG01000003.1	98.312	237	4	0	1	237	259422	259186	4.09e-117	416	276119	NZ_QOYG01000003.1
ECOR55_PROKKA|ECOR55_04008:-:ECOR55_04008|ECOR55_04008	NZ_QOYG01000003.1	98.312	237	4	0	1	237	259422	259186	4.09e-117	416	276119	NZ_QOYG01000003.1
ECOR56_PROKKA|ECOR56_03623:-:ECOR56_03623|ECOR56_03623	NZ_QOYG01000003.1	98.312	237	4	0	1	237	259422	259186	4.09e-117	416	276119	NZ_QOYG01000003.1
ECOR60_PROKKA|ECOR60_04140:-:ECOR60_04140|ECOR60_04140	NZ_QOYG01000003.1	98.312	237	4	0	1	237	259422	259186	4.09e-117	416	276119	NZ_QOYG01000003.1
ECOR61_PROKKA|ECOR61_03844:-:ECOR61_03844|ECOR61_03844	NZ_QOYG01000003.1	97.890	237	5	0	1	237	259422	259186	1.90e-115	411	276119	NZ_QOYG01000003.1
ECOR62_PROKKA|ECOR62_01114:-:ECOR62_01114|ECOR62_01114	NZ_QOYG01000003.1	97.890	237	5	0	1	237	259422	259186	1.90e-115	411	276119	NZ_QOYG01000003.1
ECOR64_PROKKA|ECOR64_01199:-:ECOR64_01199|ECOR64_01199	NZ_QOYG01000003.1	98.734	237	3	0	1	237	259422	259186	8.80e-119	422	276119	NZ_QOYG01000003.1
ECOR66_PROKKA|ECOR66_03087:-:ECOR66_03087|ECOR66_03087	NZ_QOYG01000003.1	98.734	237	3	0	1	237	259422	259186	8.80e-119	422	276119	NZ_QOYG01000003.1
ECOR6_PROKKA|ECOR6_01543:-:ECOR6_01543|ECOR6_01543	NZ_QOYG01000003.1	98.312	237	4	0	1	237	259422	259186	4.09e-117	416	276119	NZ_QOYG01000003.1
ECOR8_PROKKA|ECOR8_03517:-:ECOR8_03517|ECOR8_03517	NZ_QOYG01000003.1	98.312	237	4	0	1	237	259422	259186	4.09e-117	416	276119	NZ_QOYG01000003.1
KE21|HKKLMMAK_04817:ycgZ:HKKLMMAK_04817|HKKLMMAK_04817	NZ_QOYG01000003.1	98.734	237	3	0	1	237	259422	259186	8.80e-119	422	276119	NZ_QOYG01000003.1
KE24|FLBELDDJ_04563:ycgZ:FLBELDDJ_04563|FLBELDDJ_04563	NZ_QOYG01000003.1	98.312	237	4	0	1	237	259422	259186	4.09e-117	416	276119	NZ_QOYG01000003.1
KE25|NKLEEENC_04306:ycgZ:NKLEEENC_04306|NKLEEENC_04306	NZ_QOYG01000003.1	98.734	237	3	0	1	237	259422	259186	8.80e-119	422	276119	NZ_QOYG01000003.1
KE26|AFHKKBMH_01861:ycgZ:AFHKKBMH_01861|AFHKKBMH_01861	NZ_QOYG01000003.1	98.734	237	3	0	1	237	259422	259186	8.80e-119	422	276119	NZ_QOYG01000003.1
KE4|NBLHDMPF_02240:ycgZ:NBLHDMPF_02240|NBLHDMPF_02240	NZ_QOYG01000003.1	98.312	237	4	0	1	237	259422	259186	4.09e-117	416	276119	NZ_QOYG01000003.1
KE40|EEHHMH_10445:ycgZ:EEHHMH_10445|EEHHMH_10445	NZ_QOYG01000003.1	100.000	237	0	0	1	237	259422	259186	8.73e-124	438	276119	NZ_QOYG01000003.1
KE41|PNKGMM_18360:ycgZ:PNKGMM_18360|PNKGMM_18360	NZ_QOYG01000003.1	98.734	237	3	0	1	237	259422	259186	8.80e-119	422	276119	NZ_QOYG01000003.1
KE46|DADKIG_13480:ycgZ:DADKIG_13480|DADKIG_13480	NZ_QOYG01000003.1	98.734	237	3	0	1	237	259422	259186	8.80e-119	422	276119	NZ_QOYG01000003.1
KE47|NHFOKF_25740:ycgZ:NHFOKF_25740|NHFOKF_25740	NZ_QOYG01000003.1	100.000	237	0	0	1	237	259422	259186	8.73e-124	438	276119	NZ_QOYG01000003.1
KE48_PROKKA|KE48_04349:ycgZ:KE48_04349|KE48_04349	NZ_QOYG01000003.1	98.312	237	4	0	1	237	259422	259186	4.09e-117	416	276119	NZ_QOYG01000003.1
