qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_3333:HGG68_RS08160:HGG68_RS08160|2b84de5415a5ca9477dbe99a5510e5bf_3333	NZ_QOYG01000003.1	98.592	639	9	0	1	639	93043	93681	0.0	1131	276119	NZ_QOYG01000003.1
ECOR11_PROKKA|ECOR11_00826:ymjC:ECOR11_00826|ECOR11_00826	NZ_QOYG01000003.1	99.281	139	1	0	1	139	93043	93181	9.16e-68	252	276119	NZ_QOYG01000003.1
ECOR14_PROKKA|ECOR14_04260:-:ECOR14_04260|ECOR14_04260	NZ_QOYG01000003.1	99.281	139	1	0	1	139	93043	93181	9.16e-68	252	276119	NZ_QOYG01000003.1
ECOR16_PROKKA|ECOR16_00416:-:ECOR16_00416|ECOR16_00416	NZ_QOYG01000003.1	98.561	139	2	0	1	139	93043	93181	4.26e-66	246	276119	NZ_QOYG01000003.1
ECOR23_PROKKA|ECOR23_04382:-:ECOR23_04382|ECOR23_04382	NZ_QOYG01000003.1	98.592	639	9	0	1	639	93043	93681	0.0	1131	276119	NZ_QOYG01000003.1
ECOR44_PROKKA|ECOR44_01234:-:ECOR44_01234|ECOR44_01234	NZ_QOYG01000003.1	99.531	639	3	0	1	639	93043	93681	0.0	1164	276119	NZ_QOYG01000003.1
ECOR48_PROKKA|ECOR48_04998:-:ECOR48_04998|ECOR48_04998	NZ_QOYG01000003.1	99.061	639	6	0	1	639	93043	93681	0.0	1147	276119	NZ_QOYG01000003.1
ECOR49_PROKKA|ECOR49_04750:-:ECOR49_04750|ECOR49_04750	NZ_QOYG01000003.1	99.531	639	3	0	1	639	93043	93681	0.0	1164	276119	NZ_QOYG01000003.1
ECOR4_PROKKA|ECOR4_01418:-:ECOR4_01418|ECOR4_01418	NZ_QOYG01000003.1	99.281	139	1	0	1	139	93043	93181	9.16e-68	252	276119	NZ_QOYG01000003.1
ECOR50_PROKKA|ECOR50_00302:-:ECOR50_00302|ECOR50_00302	NZ_QOYG01000003.1	99.687	639	2	0	1	639	93043	93681	0.0	1170	276119	NZ_QOYG01000003.1
ECOR51_PROKKA|ECOR51_04533:-:ECOR51_04533|ECOR51_04533	NZ_QOYG01000003.1	98.592	639	9	0	1	639	93043	93681	0.0	1131	276119	NZ_QOYG01000003.1
ECOR52_PROKKA|ECOR52_04390:-:ECOR52_04390|ECOR52_04390	NZ_QOYG01000003.1	98.592	639	9	0	1	639	93043	93681	0.0	1131	276119	NZ_QOYG01000003.1
