qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_94:kefF:HGG68_RS00230|2b84de5415a5ca9477dbe99a5510e5bf_94	NZ_QOYG01000004.1	97.552	531	13	0	1	531	174940	174410	0.0	909	256634	NZ_QOYG01000004.1
ECOR11_PROKKA|ECOR11_02417:kefF:ECOR11_02417|ECOR11_02417	NZ_QOYG01000004.1	98.117	531	10	0	1	531	174940	174410	0.0	926	256634	NZ_QOYG01000004.1
ECOR14_PROKKA|ECOR14_03604:kefF:ECOR14_03604|ECOR14_03604	NZ_QOYG01000004.1	98.117	531	10	0	1	531	174940	174410	0.0	926	256634	NZ_QOYG01000004.1
ECOR16_PROKKA|ECOR16_02499:kefF:ECOR16_02499|ECOR16_02499	NZ_QOYG01000004.1	97.740	531	12	0	1	531	174940	174410	0.0	915	256634	NZ_QOYG01000004.1
ECOR23_PROKKA|ECOR23_00086:-:ECOR23_00086|ECOR23_00086	NZ_QOYG01000004.1	97.552	531	13	0	1	531	174940	174410	0.0	909	256634	NZ_QOYG01000004.1
ECOR44_PROKKA|ECOR44_03235:-:ECOR44_03235|ECOR44_03235	NZ_QOYG01000004.1	99.435	531	3	0	1	531	174940	174410	0.0	965	256634	NZ_QOYG01000004.1
ECOR48_PROKKA|ECOR48_02689:-:ECOR48_02689|ECOR48_02689	NZ_QOYG01000004.1	98.117	531	10	0	1	531	174940	174410	0.0	926	256634	NZ_QOYG01000004.1
ECOR49_PROKKA|ECOR49_04547:-:ECOR49_04547|ECOR49_04547	NZ_QOYG01000004.1	97.928	531	11	0	1	531	174940	174410	0.0	920	256634	NZ_QOYG01000004.1
ECOR50_PROKKA|ECOR50_03179:-:ECOR50_03179|ECOR50_03179	NZ_QOYG01000004.1	98.117	531	10	0	1	531	174940	174410	0.0	926	256634	NZ_QOYG01000004.1
ECOR51_PROKKA|ECOR51_04846:-:ECOR51_04846|ECOR51_04846	NZ_QOYG01000004.1	97.552	531	13	0	1	531	174940	174410	0.0	909	256634	NZ_QOYG01000004.1
ECOR52_PROKKA|ECOR52_00255:-:ECOR52_00255|ECOR52_00255	NZ_QOYG01000004.1	97.552	531	13	0	1	531	174940	174410	0.0	909	256634	NZ_QOYG01000004.1
ECOR53_PROKKA|ECOR53_03075:-:ECOR53_03075|ECOR53_03075	NZ_QOYG01000004.1	97.740	531	12	0	1	531	174940	174410	0.0	915	256634	NZ_QOYG01000004.1
ECOR54_PROKKA|ECOR54_00054:-:ECOR54_00054|ECOR54_00054	NZ_QOYG01000004.1	97.552	531	13	0	1	531	174940	174410	0.0	909	256634	NZ_QOYG01000004.1
ECOR55_PROKKA|ECOR55_04729:-:ECOR55_04729|ECOR55_04729	NZ_QOYG01000004.1	97.552	531	13	0	1	531	174940	174410	0.0	909	256634	NZ_QOYG01000004.1
ECOR56_PROKKA|ECOR56_04104:-:ECOR56_04104|ECOR56_04104	NZ_QOYG01000004.1	97.552	531	13	0	1	531	174940	174410	0.0	909	256634	NZ_QOYG01000004.1
ECOR60_PROKKA|ECOR60_00995:-:ECOR60_00995|ECOR60_00995	NZ_QOYG01000004.1	97.740	531	12	0	1	531	174940	174410	0.0	915	256634	NZ_QOYG01000004.1
