qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_10067:fimF:HGG68_RS24685|2b84de5415a5ca9477dbe99a5510e5bf_10067	NZ_QOYG01000011.1	98.117	531	10	0	1	531	38023	38553	0.0	926	120506	NZ_QOYG01000011.1
ECOR11_PROKKA|ECOR11_03138:fimF:ECOR11_03138|ECOR11_03138	NZ_QOYG01000011.1	98.117	531	10	0	1	531	38023	38553	0.0	926	120506	NZ_QOYG01000011.1
ECOR14_PROKKA|ECOR14_02464:fimF_1:ECOR14_02464|ECOR14_02464	NZ_QOYG01000011.1	98.117	531	10	0	1	531	38023	38553	0.0	926	120506	NZ_QOYG01000011.1
ECOR16_PROKKA|ECOR16_03183:fimF_2:ECOR16_03183|ECOR16_03183	NZ_QOYG01000011.1	99.247	531	4	0	1	531	38023	38553	0.0	959	120506	NZ_QOYG01000011.1
ECOR23_PROKKA|ECOR23_00932:-:ECOR23_00932|ECOR23_00932	NZ_QOYG01000011.1	97.928	531	11	0	1	531	38023	38553	0.0	920	120506	NZ_QOYG01000011.1
ECOR44_PROKKA|ECOR44_00288:-:ECOR44_00288|ECOR44_00288	NZ_QOYG01000011.1	100.000	531	0	0	1	531	38023	38553	0.0	981	120506	NZ_QOYG01000011.1
ECOR48_PROKKA|ECOR48_02831:-:ECOR48_02831|ECOR48_02831	NZ_QOYG01000011.1	99.058	531	5	0	1	531	38023	38553	0.0	953	120506	NZ_QOYG01000011.1
ECOR49_PROKKA|ECOR49_02276:-:ECOR49_02276|ECOR49_02276	NZ_QOYG01000011.1	99.058	531	5	0	1	531	38023	38553	0.0	953	120506	NZ_QOYG01000011.1
ECOR50_PROKKA|ECOR50_02927:-:ECOR50_02927|ECOR50_02927	NZ_QOYG01000011.1	99.812	531	1	0	1	531	38023	38553	0.0	976	120506	NZ_QOYG01000011.1
ECOR51_PROKKA|ECOR51_04717:-:ECOR51_04717|ECOR51_04717	NZ_QOYG01000011.1	98.117	531	10	0	1	531	38023	38553	0.0	926	120506	NZ_QOYG01000011.1
ECOR52_PROKKA|ECOR52_00988:-:ECOR52_00988|ECOR52_00988	NZ_QOYG01000011.1	97.928	531	11	0	1	531	38023	38553	0.0	920	120506	NZ_QOYG01000011.1
ECOR53_PROKKA|ECOR53_03210:-:ECOR53_03210|ECOR53_03210	NZ_QOYG01000011.1	98.117	531	10	0	1	531	38023	38553	0.0	926	120506	NZ_QOYG01000011.1
ECOR54_PROKKA|ECOR54_00183:-:ECOR54_00183|ECOR54_00183	NZ_QOYG01000011.1	98.117	531	10	0	1	531	38023	38553	0.0	926	120506	NZ_QOYG01000011.1
ECOR55_PROKKA|ECOR55_04600:-:ECOR55_04600|ECOR55_04600	NZ_QOYG01000011.1	98.117	531	10	0	1	531	38023	38553	0.0	926	120506	NZ_QOYG01000011.1
ECOR56_PROKKA|ECOR56_04231:-:ECOR56_04231|ECOR56_04231	NZ_QOYG01000011.1	98.117	531	10	0	1	531	38023	38553	0.0	926	120506	NZ_QOYG01000011.1
ECOR60_PROKKA|ECOR60_00831:-:ECOR60_00831|ECOR60_00831	NZ_QOYG01000011.1	98.305	531	9	0	1	531	38023	38553	0.0	931	120506	NZ_QOYG01000011.1
ECOR61_PROKKA|ECOR61_00844:-:ECOR61_00844|ECOR61_00844	NZ_QOYG01000011.1	98.117	531	10	0	1	531	38023	38553	0.0	926	120506	NZ_QOYG01000011.1
ECOR62_PROKKA|ECOR62_04278:-:ECOR62_04278|ECOR62_04278	NZ_QOYG01000011.1	98.117	531	10	0	1	531	38023	38553	0.0	926	120506	NZ_QOYG01000011.1
ECOR64_PROKKA|ECOR64_03494:-:ECOR64_03494|ECOR64_03494	NZ_QOYG01000011.1	98.117	531	10	0	1	531	38023	38553	0.0	926	120506	NZ_QOYG01000011.1
ECOR66_PROKKA|ECOR66_02231:-:ECOR66_02231|ECOR66_02231	NZ_QOYG01000011.1	98.493	531	8	0	1	531	38023	38553	0.0	937	120506	NZ_QOYG01000011.1
ECOR6_PROKKA|ECOR6_04190:-:ECOR6_04190|ECOR6_04190	NZ_QOYG01000011.1	98.493	531	8	0	1	531	38023	38553	0.0	937	120506	NZ_QOYG01000011.1
ECOR8_PROKKA|ECOR8_02823:-:ECOR8_02823|ECOR8_02823	NZ_QOYG01000011.1	99.435	531	3	0	1	531	38023	38553	0.0	965	120506	NZ_QOYG01000011.1
KE21|HKKLMMAK_03424:fimF_2:HKKLMMAK_03424|HKKLMMAK_03424	NZ_QOYG01000011.1	98.117	531	10	0	1	531	38023	38553	0.0	926	120506	NZ_QOYG01000011.1
KE24|FLBELDDJ_01046:fimF_1:FLBELDDJ_01046|FLBELDDJ_01046	NZ_QOYG01000011.1	98.117	531	10	0	1	531	38023	38553	0.0	926	120506	NZ_QOYG01000011.1
KE25|NKLEEENC_01403:fimF_1:NKLEEENC_01403|NKLEEENC_01403	NZ_QOYG01000011.1	99.058	531	5	0	1	531	38023	38553	0.0	953	120506	NZ_QOYG01000011.1
