qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_9950:cybC:HGG68_RS24400|2b84de5415a5ca9477dbe99a5510e5bf_9950	NZ_QOYG01000026.1	97.933	387	8	0	1	387	34242	34628	0.0	671	59746	NZ_QOYG01000026.1
ECOR11_PROKKA|ECOR11_00437:cybC:ECOR11_00437|ECOR11_00437	NZ_QOYG01000026.1	96.899	387	12	0	1	387	34242	34628	0.0	649	59746	NZ_QOYG01000026.1
ECOR14_PROKKA|ECOR14_04174:cybC:ECOR14_04174|ECOR14_04174	NZ_QOYG01000026.1	96.382	387	14	0	1	387	34242	34628	0.0	638	59746	NZ_QOYG01000026.1
ECOR16_PROKKA|ECOR16_00979:cybC:ECOR16_00979|ECOR16_00979	NZ_QOYG01000026.1	96.382	387	14	0	1	387	34242	34628	0.0	638	59746	NZ_QOYG01000026.1
ECOR23_PROKKA|ECOR23_04274:-:ECOR23_04274|ECOR23_04274	NZ_QOYG01000026.1	97.933	387	8	0	1	387	34242	34628	0.0	671	59746	NZ_QOYG01000026.1
ECOR44_PROKKA|ECOR44_00236:-:ECOR44_00236|ECOR44_00236	NZ_QOYG01000026.1	100.000	387	0	0	1	387	34242	34628	0.0	715	59746	NZ_QOYG01000026.1
ECOR48_PROKKA|ECOR48_00818:-:ECOR48_00818|ECOR48_00818	NZ_QOYG01000026.1	96.899	387	12	0	1	387	34242	34628	0.0	649	59746	NZ_QOYG01000026.1
ECOR49_PROKKA|ECOR49_02045:-:ECOR49_02045|ECOR49_02045	NZ_QOYG01000026.1	98.966	387	4	0	1	387	34242	34628	0.0	693	59746	NZ_QOYG01000026.1
ECOR4_PROKKA|ECOR4_01954:-:ECOR4_01954|ECOR4_01954	NZ_QOYG01000026.1	98.450	387	6	0	1	387	34242	34628	0.0	682	59746	NZ_QOYG01000026.1
ECOR50_PROKKA|ECOR50_03259:-:ECOR50_03259|ECOR50_03259	NZ_QOYG01000026.1	98.966	387	4	0	1	387	34242	34628	0.0	693	59746	NZ_QOYG01000026.1
ECOR51_PROKKA|ECOR51_04287:-:ECOR51_04287|ECOR51_04287	NZ_QOYG01000026.1	97.933	387	8	0	1	387	34242	34628	0.0	671	59746	NZ_QOYG01000026.1
ECOR52_PROKKA|ECOR52_04282:-:ECOR52_04282|ECOR52_04282	NZ_QOYG01000026.1	97.933	387	8	0	1	387	34242	34628	0.0	671	59746	NZ_QOYG01000026.1
ECOR53_PROKKA|ECOR53_00582:-:ECOR53_00582|ECOR53_00582	NZ_QOYG01000026.1	92.506	387	29	0	1	387	34242	34628	1.40e-158	555	59746	NZ_QOYG01000026.1
ECOR54_PROKKA|ECOR54_03861:-:ECOR54_03861|ECOR54_03861	NZ_QOYG01000026.1	97.933	387	8	0	1	387	34242	34628	0.0	671	59746	NZ_QOYG01000026.1
ECOR55_PROKKA|ECOR55_04531:-:ECOR55_04531|ECOR55_04531	NZ_QOYG01000026.1	97.416	387	10	0	1	387	34242	34628	0.0	660	59746	NZ_QOYG01000026.1
ECOR56_PROKKA|ECOR56_04004:-:ECOR56_04004|ECOR56_04004	NZ_QOYG01000026.1	97.933	387	8	0	1	387	34242	34628	0.0	671	59746	NZ_QOYG01000026.1
ECOR60_PROKKA|ECOR60_03810:-:ECOR60_03810|ECOR60_03810	NZ_QOYG01000026.1	97.674	387	9	0	1	387	34242	34628	0.0	665	59746	NZ_QOYG01000026.1
ECOR61_PROKKA|ECOR61_00283:-:ECOR61_00283|ECOR61_00283	NZ_QOYG01000026.1	96.382	387	14	0	1	387	34242	34628	0.0	638	59746	NZ_QOYG01000026.1
ECOR62_PROKKA|ECOR62_01740:-:ECOR62_01740|ECOR62_01740	NZ_QOYG01000026.1	96.382	387	14	0	1	387	34242	34628	0.0	638	59746	NZ_QOYG01000026.1
