qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_2967:-:HGG68_RS07265|2b84de5415a5ca9477dbe99a5510e5bf_2967	NZ_QOYG01000003.1	97.875	894	19	0	1	894	257249	256356	0.0	1546	276119	NZ_QOYG01000003.1
ECOR11_PROKKA|ECOR11_04394:-:ECOR11_04394|ECOR11_04394	NZ_QOYG01000003.1	96.850	1524	48	0	1	1524	257879	256356	0.0	2549	276119	NZ_QOYG01000003.1
ECOR14_PROKKA|ECOR14_03168:pdeG:ECOR14_03168|ECOR14_03168	NZ_QOYG01000003.1	96.916	1524	47	0	1	1524	257879	256356	0.0	2555	276119	NZ_QOYG01000003.1
ECOR16_PROKKA|ECOR16_02691:pdeG:ECOR16_02691|ECOR16_02691	NZ_QOYG01000003.1	96.982	1491	45	0	28	1518	257846	256356	0.0	2505	276119	NZ_QOYG01000003.1
ECOR23_PROKKA|ECOR23_04551:-:ECOR23_04551|ECOR23_04551	NZ_QOYG01000003.1	97.770	852	19	0	1	852	257207	256356	0.0	1469	276119	NZ_QOYG01000003.1
ECOR44_PROKKA|ECOR44_02965:-:ECOR44_02965|ECOR44_02965	NZ_QOYG01000003.1	98.556	1524	22	0	1	1524	257879	256356	0.0	2693	276119	NZ_QOYG01000003.1
ECOR48_PROKKA|ECOR48_00537:-:ECOR48_00537|ECOR48_00537	NZ_QOYG01000003.1	99.475	1524	8	0	1	1524	257879	256356	0.0	2771	276119	NZ_QOYG01000003.1
ECOR49_PROKKA|ECOR49_01402:-:ECOR49_01402|ECOR49_01402	NZ_QOYG01000003.1	99.738	1524	4	0	1	1524	257879	256356	0.0	2793	276119	NZ_QOYG01000003.1
ECOR4_PROKKA|ECOR4_00129:-:ECOR4_00129|ECOR4_00129	NZ_QOYG01000003.1	97.244	1524	42	0	1	1524	257879	256356	0.0	2582	276119	NZ_QOYG01000003.1
ECOR50_PROKKA|ECOR50_04707:-:ECOR50_04707|ECOR50_04707	NZ_QOYG01000003.1	99.738	1524	4	0	1	1524	257879	256356	0.0	2793	276119	NZ_QOYG01000003.1
ECOR51_PROKKA|ECOR51_00926:-:ECOR51_00926|ECOR51_00926	NZ_QOYG01000003.1	97.357	681	18	0	1	681	257036	256356	0.0	1158	276119	NZ_QOYG01000003.1
ECOR52_PROKKA|ECOR52_04561:-:ECOR52_04561|ECOR52_04561	NZ_QOYG01000003.1	97.770	852	19	0	1	852	257207	256356	0.0	1469	276119	NZ_QOYG01000003.1
ECOR53_PROKKA|ECOR53_01223:-:ECOR53_01223|ECOR53_01223	NZ_QOYG01000003.1	97.357	681	18	0	1	681	257036	256356	0.0	1158	276119	NZ_QOYG01000003.1
ECOR54_PROKKA|ECOR54_04699:-:ECOR54_04699|ECOR54_04699	NZ_QOYG01000003.1	97.770	852	19	0	1	852	257207	256356	0.0	1469	276119	NZ_QOYG01000003.1
ECOR55_PROKKA|ECOR55_04011:-:ECOR55_04011|ECOR55_04011	NZ_QOYG01000003.1	97.357	681	18	0	1	681	257036	256356	0.0	1158	276119	NZ_QOYG01000003.1
ECOR56_PROKKA|ECOR56_03626:-:ECOR56_03626|ECOR56_03626	NZ_QOYG01000003.1	97.770	852	19	0	1	852	257207	256356	0.0	1469	276119	NZ_QOYG01000003.1
ECOR60_PROKKA|ECOR60_04143:-:ECOR60_04143|ECOR60_04143	NZ_QOYG01000003.1	97.210	681	19	0	1	681	257036	256356	0.0	1153	276119	NZ_QOYG01000003.1
ECOR61_PROKKA|ECOR61_03847:-:ECOR61_03847|ECOR61_03847	NZ_QOYG01000003.1	97.210	681	19	0	1	681	257036	256356	0.0	1153	276119	NZ_QOYG01000003.1
ECOR62_PROKKA|ECOR62_01111:-:ECOR62_01111|ECOR62_01111	NZ_QOYG01000003.1	97.653	852	20	0	1	852	257207	256356	0.0	1463	276119	NZ_QOYG01000003.1
ECOR64_PROKKA|ECOR64_01202:-:ECOR64_01202|ECOR64_01202	NZ_QOYG01000003.1	97.733	794	18	0	65	858	257149	256356	0.0	1367	276119	NZ_QOYG01000003.1
ECOR66_PROKKA|ECOR66_03090:-:ECOR66_03090|ECOR66_03090	NZ_QOYG01000003.1	97.210	681	19	0	1	681	257036	256356	0.0	1153	276119	NZ_QOYG01000003.1
ECOR6_PROKKA|ECOR6_01540:-:ECOR6_01540|ECOR6_01540	NZ_QOYG01000003.1	96.916	1524	47	0	1	1524	257879	256356	0.0	2555	276119	NZ_QOYG01000003.1
ECOR8_PROKKA|ECOR8_03520:-:ECOR8_03520|ECOR8_03520	NZ_QOYG01000003.1	96.916	1524	47	0	1	1524	257879	256356	0.0	2555	276119	NZ_QOYG01000003.1
KE21|HKKLMMAK_04820:pdeG:HKKLMMAK_04820|HKKLMMAK_04820	NZ_QOYG01000003.1	97.210	681	19	0	1	681	257036	256356	0.0	1153	276119	NZ_QOYG01000003.1
KE24|FLBELDDJ_04560:pdeG:FLBELDDJ_04560|FLBELDDJ_04560	NZ_QOYG01000003.1	97.836	647	14	0	65	711	257149	256503	0.0	1118	276119	NZ_QOYG01000003.1
KE25|NKLEEENC_04309:pdeG:NKLEEENC_04309|NKLEEENC_04309	NZ_QOYG01000003.1	97.210	681	19	0	1	681	257036	256356	0.0	1153	276119	NZ_QOYG01000003.1
KE26|AFHKKBMH_01864:pdeG:AFHKKBMH_01864|AFHKKBMH_01864	NZ_QOYG01000003.1	97.210	681	19	0	1	681	257036	256356	0.0	1153	276119	NZ_QOYG01000003.1
KE4|NBLHDMPF_02237:pdeG:NBLHDMPF_02237|NBLHDMPF_02237	NZ_QOYG01000003.1	97.357	681	18	0	1	681	257036	256356	0.0	1158	276119	NZ_QOYG01000003.1
KE40|EEHHMH_10460:EEHHMH_10460:EEHHMH_10460|EEHHMH_10460	NZ_QOYG01000003.1	100.000	1014	0	0	1	1014	257369	256356	0.0	1873	276119	NZ_QOYG01000003.1
KE41|PNKGMM_18345:PNKGMM_18345:PNKGMM_18345|PNKGMM_18345	NZ_QOYG01000003.1	97.607	794	19	0	65	858	257149	256356	0.0	1362	276119	NZ_QOYG01000003.1
KE46|DADKIG_13465:pdeG:DADKIG_13465|DADKIG_13465	NZ_QOYG01000003.1	97.047	1524	45	0	1	1524	257879	256356	0.0	2566	276119	NZ_QOYG01000003.1
KE47|NHFOKF_25725:pdeG:NHFOKF_25725|NHFOKF_25725	NZ_QOYG01000003.1	100.000	1524	0	0	1	1524	257879	256356	0.0	2815	276119	NZ_QOYG01000003.1
KE48_PROKKA|KE48_04352:pdeG:KE48_04352|KE48_04352	NZ_QOYG01000003.1	97.357	681	18	0	1	681	257036	256356	0.0	1158	276119	NZ_QOYG01000003.1
KE50|OOFCCB_19660:OOFCCB_19660:OOFCCB_19660|OOFCCB_19660	NZ_QOYG01000003.1	97.210	681	19	0	1	681	257036	256356	0.0	1153	276119	NZ_QOYG01000003.1
KE51|BHDFJC_12840:BHDFJC_12840:BHDFJC_12840|BHDFJC_12840	NZ_QOYG01000003.1	97.653	852	20	0	1	852	257207	256356	0.0	1463	276119	NZ_QOYG01000003.1
KE54|NBPOCE_01080:NBPOCE_01080:NBPOCE_01080|NBPOCE_01080	NZ_QOYG01000003.1	97.210	681	19	0	1	681	257036	256356	0.0	1153	276119	NZ_QOYG01000003.1
KE55|HDLJKA_13970:pdeG:HDLJKA_13970|HDLJKA_13970	NZ_QOYG01000003.1	99.869	1522	2	0	1	1522	257879	256358	0.0	2800	276119	NZ_QOYG01000003.1
KE58|FKGHDH_13780:pdeG:FKGHDH_13780|FKGHDH_13780	NZ_QOYG01000003.1	96.850	1524	48	0	1	1524	257879	256356	0.0	2549	276119	NZ_QOYG01000003.1
LRPF007|PGOAJBJE_01467:pdeG:PGOAJBJE_01467|PGOAJBJE_01467	NZ_QOYG01000003.1	97.653	852	20	0	1	852	257207	256356	0.0	1463	276119	NZ_QOYG01000003.1
LRPF62|CPONALDP_02949:pdeG:CPONALDP_02949|CPONALDP_02949	NZ_QOYG01000003.1	97.210	681	19	0	1	681	257036	256356	0.0	1153	276119	NZ_QOYG01000003.1
MG1655|9d38f563c3a26fdef9221ebcd767f53a_2482:pdeG:b1168|9d38f563c3a26fdef9221ebcd767f53a_2482	NZ_QOYG01000003.1	96.850	1524	48	0	1	1524	257879	256356	0.0	2549	276119	NZ_QOYG01000003.1
W3110|a99aee7d8774ee1318b35b64abeb3eab_2424:pdeG:Y75_RS06095|a99aee7d8774ee1318b35b64abeb3eab_2424	NZ_QOYG01000003.1	96.850	1524	48	0	1	1524	257879	256356	0.0	2549	276119	NZ_QOYG01000003.1
