qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_78:caiB:HGG68_RS00190|2b84de5415a5ca9477dbe99a5510e5bf_78	NZ_QOYG01000004.1	96.962	1218	37	0	1	1218	183074	184291	0.0	2045	256634	NZ_QOYG01000004.1
ECOR11_PROKKA|ECOR11_02425:caiB:ECOR11_02425|ECOR11_02425	NZ_QOYG01000004.1	97.619	1218	29	0	1	1218	183074	184291	0.0	2089	256634	NZ_QOYG01000004.1
ECOR14_PROKKA|ECOR14_03612:caiB:ECOR14_03612|ECOR14_03612	NZ_QOYG01000004.1	97.455	1218	31	0	1	1218	183074	184291	0.0	2078	256634	NZ_QOYG01000004.1
ECOR16_PROKKA|ECOR16_02491:caiB:ECOR16_02491|ECOR16_02491	NZ_QOYG01000004.1	97.455	1218	31	0	1	1218	183074	184291	0.0	2078	256634	NZ_QOYG01000004.1
ECOR23_PROKKA|ECOR23_00078:-:ECOR23_00078|ECOR23_00078	NZ_QOYG01000004.1	96.962	1218	37	0	1	1218	183074	184291	0.0	2045	256634	NZ_QOYG01000004.1
ECOR44_PROKKA|ECOR44_03243:-:ECOR44_03243|ECOR44_03243	NZ_QOYG01000004.1	97.783	1218	27	0	1	1218	183074	184291	0.0	2100	256634	NZ_QOYG01000004.1
ECOR48_PROKKA|ECOR48_02697:-:ECOR48_02697|ECOR48_02697	NZ_QOYG01000004.1	98.030	1218	24	0	1	1218	183074	184291	0.0	2117	256634	NZ_QOYG01000004.1
ECOR49_PROKKA|ECOR49_04555:-:ECOR49_04555|ECOR49_04555	NZ_QOYG01000004.1	97.947	1218	25	0	1	1218	183074	184291	0.0	2111	256634	NZ_QOYG01000004.1
ECOR50_PROKKA|ECOR50_03187:-:ECOR50_03187|ECOR50_03187	NZ_QOYG01000004.1	97.701	1218	28	0	1	1218	183074	184291	0.0	2095	256634	NZ_QOYG01000004.1
ECOR51_PROKKA|ECOR51_04838:-:ECOR51_04838|ECOR51_04838	NZ_QOYG01000004.1	96.962	1218	37	0	1	1218	183074	184291	0.0	2045	256634	NZ_QOYG01000004.1
ECOR52_PROKKA|ECOR52_00247:-:ECOR52_00247|ECOR52_00247	NZ_QOYG01000004.1	96.962	1218	37	0	1	1218	183074	184291	0.0	2045	256634	NZ_QOYG01000004.1
ECOR53_PROKKA|ECOR53_03083:-:ECOR53_03083|ECOR53_03083	NZ_QOYG01000004.1	97.373	1218	32	0	1	1218	183074	184291	0.0	2073	256634	NZ_QOYG01000004.1
ECOR54_PROKKA|ECOR54_00062:-:ECOR54_00062|ECOR54_00062	NZ_QOYG01000004.1	96.962	1218	37	0	1	1218	183074	184291	0.0	2045	256634	NZ_QOYG01000004.1
ECOR55_PROKKA|ECOR55_04721:-:ECOR55_04721|ECOR55_04721	NZ_QOYG01000004.1	96.962	1218	37	0	1	1218	183074	184291	0.0	2045	256634	NZ_QOYG01000004.1
ECOR56_PROKKA|ECOR56_04112:-:ECOR56_04112|ECOR56_04112	NZ_QOYG01000004.1	96.962	1218	37	0	1	1218	183074	184291	0.0	2045	256634	NZ_QOYG01000004.1
