qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_3142:tdk:HGG68_RS07695|2b84de5415a5ca9477dbe99a5510e5bf_3142	NZ_QOYG01000003.1	99.191	618	5	0	1	618	174750	174133	0.0	1114	276119	NZ_QOYG01000003.1
ECOR11_PROKKA|ECOR11_03111:tdk:ECOR11_03111|ECOR11_03111	NZ_QOYG01000003.1	98.706	618	8	0	1	618	174750	174133	0.0	1098	276119	NZ_QOYG01000003.1
ECOR14_PROKKA|ECOR14_04353:tdk:ECOR14_04353|ECOR14_04353	NZ_QOYG01000003.1	98.706	618	8	0	1	618	174750	174133	0.0	1098	276119	NZ_QOYG01000003.1
ECOR16_PROKKA|ECOR16_01602:tdk:ECOR16_01602|ECOR16_01602	NZ_QOYG01000003.1	98.867	618	7	0	1	618	174750	174133	0.0	1103	276119	NZ_QOYG01000003.1
ECOR23_PROKKA|ECOR23_04471:-:ECOR23_04471|ECOR23_04471	NZ_QOYG01000003.1	99.191	618	5	0	1	618	174750	174133	0.0	1114	276119	NZ_QOYG01000003.1
ECOR44_PROKKA|ECOR44_01036:-:ECOR44_01036|ECOR44_01036	NZ_QOYG01000003.1	99.191	618	5	0	1	618	174750	174133	0.0	1114	276119	NZ_QOYG01000003.1
ECOR48_PROKKA|ECOR48_04912:-:ECOR48_04912|ECOR48_04912	NZ_QOYG01000003.1	99.838	618	1	0	1	618	174750	174133	0.0	1136	276119	NZ_QOYG01000003.1
ECOR49_PROKKA|ECOR49_03320:-:ECOR49_03320|ECOR49_03320	NZ_QOYG01000003.1	99.676	618	2	0	1	618	174750	174133	0.0	1131	276119	NZ_QOYG01000003.1
ECOR4_PROKKA|ECOR4_00204:-:ECOR4_00204|ECOR4_00204	NZ_QOYG01000003.1	98.706	618	8	0	1	618	174750	174133	0.0	1098	276119	NZ_QOYG01000003.1
ECOR50_PROKKA|ECOR50_00013:-:ECOR50_00013|ECOR50_00013	NZ_QOYG01000003.1	99.676	618	2	0	1	618	174750	174133	0.0	1131	276119	NZ_QOYG01000003.1
ECOR51_PROKKA|ECOR51_01006:-:ECOR51_01006|ECOR51_01006	NZ_QOYG01000003.1	99.191	618	5	0	1	618	174750	174133	0.0	1114	276119	NZ_QOYG01000003.1
ECOR52_PROKKA|ECOR52_04479:-:ECOR52_04479|ECOR52_04479	NZ_QOYG01000003.1	99.191	618	5	0	1	618	174750	174133	0.0	1114	276119	NZ_QOYG01000003.1
ECOR53_PROKKA|ECOR53_01143:-:ECOR53_01143|ECOR53_01143	NZ_QOYG01000003.1	99.191	618	5	0	1	618	174750	174133	0.0	1114	276119	NZ_QOYG01000003.1
