qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_9743:dcuA:HGG68_RS23890|2b84de5415a5ca9477dbe99a5510e5bf_9743	NC_007779.1	99.310	1304	7	1	1	1302	4371453	4370150	0.0	2357	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR11_PROKKA|ECOR11_00336:dcuA:ECOR11_00336|ECOR11_00336	NC_007779.1	99.847	1304	0	1	1	1302	4371453	4370150	0.0	2396	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR14_PROKKA|ECOR14_04073:dcuA:ECOR14_04073|ECOR14_04073	NC_007779.1	99.847	1304	0	1	1	1302	4371453	4370150	0.0	2396	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR16_PROKKA|ECOR16_01083:dcuA:ECOR16_01083|ECOR16_01083	NC_007779.1	99.847	1304	0	1	1	1302	4371453	4370150	0.0	2396	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR23_PROKKA|ECOR23_04173:-:ECOR23_04173|ECOR23_04173	NC_007779.1	99.310	1304	7	1	1	1302	4371453	4370150	0.0	2357	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR44_PROKKA|ECOR44_01707:-:ECOR44_01707|ECOR44_01707	NC_007779.1	99.003	1304	11	1	1	1302	4371453	4370150	0.0	2335	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR48_PROKKA|ECOR48_04380:-:ECOR48_04380|ECOR48_04380	NC_007779.1	99.156	1304	9	1	1	1302	4371453	4370150	0.0	2346	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR49_PROKKA|ECOR49_00228:-:ECOR49_00228|ECOR49_00228	NC_007779.1	99.310	1304	7	1	1	1302	4371453	4370150	0.0	2357	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR4_PROKKA|ECOR4_02706:-:ECOR4_02706|ECOR4_02706	NC_007779.1	99.847	1304	0	1	1	1302	4371453	4370150	0.0	2396	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR50_PROKKA|ECOR50_00216:-:ECOR50_00216|ECOR50_00216	NC_007779.1	99.310	1304	7	1	1	1302	4371453	4370150	0.0	2357	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR51_PROKKA|ECOR51_04388:-:ECOR51_04388|ECOR51_04388	NC_007779.1	99.310	1304	7	1	1	1302	4371453	4370150	0.0	2357	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR52_PROKKA|ECOR52_04181:-:ECOR52_04181|ECOR52_04181	NC_007779.1	99.310	1304	7	1	1	1302	4371453	4370150	0.0	2357	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR53_PROKKA|ECOR53_00478:-:ECOR53_00478|ECOR53_00478	NC_007779.1	99.387	1304	6	1	1	1302	4371453	4370150	0.0	2362	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR54_PROKKA|ECOR54_03760:-:ECOR54_03760|ECOR54_03760	NC_007779.1	99.310	1304	7	1	1	1302	4371453	4370150	0.0	2357	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR55_PROKKA|ECOR55_04435:-:ECOR55_04435|ECOR55_04435	NC_007779.1	99.310	1304	7	1	1	1302	4371453	4370150	0.0	2357	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR56_PROKKA|ECOR56_03903:-:ECOR56_03903|ECOR56_03903	NC_007779.1	99.262	1219	7	1	53	1269	4371368	4370150	0.0	2200	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR60_PROKKA|ECOR60_03910:-:ECOR60_03910|ECOR60_03910	NC_007779.1	99.387	1304	6	1	1	1302	4371453	4370150	0.0	2362	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR61_PROKKA|ECOR61_00181:-:ECOR61_00181|ECOR61_00181	NC_007779.1	99.310	1304	7	1	1	1302	4371453	4370150	0.0	2357	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR62_PROKKA|ECOR62_01840:-:ECOR62_01840|ECOR62_01840	NC_007779.1	99.310	1304	7	1	1	1302	4371453	4370150	0.0	2357	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR64_PROKKA|ECOR64_00560:-:ECOR64_00560|ECOR64_00560	NC_007779.1	99.310	1304	7	1	1	1302	4371453	4370150	0.0	2357	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR66_PROKKA|ECOR66_04045:-:ECOR66_04045|ECOR66_04045	NC_007779.1	99.387	1304	6	1	1	1302	4371453	4370150	0.0	2362	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR6_PROKKA|ECOR6_03811:-:ECOR6_03811|ECOR6_03811	NC_007779.1	99.540	1304	4	1	1	1302	4371453	4370150	0.0	2374	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR8_PROKKA|ECOR8_00299:-:ECOR8_00299|ECOR8_00299	NC_007779.1	99.847	1304	0	1	1	1302	4371453	4370150	0.0	2396	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
KE21|HKKLMMAK_03184:dcuA:HKKLMMAK_03184|HKKLMMAK_03184	NC_007779.1	99.463	1304	5	1	1	1302	4371453	4370150	0.0	2368	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
KE24|FLBELDDJ_01269:dcuA:FLBELDDJ_01269|FLBELDDJ_01269	NC_007779.1	99.463	1304	5	1	1	1302	4371453	4370150	0.0	2368	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
KE25|NKLEEENC_03106:dcuA:NKLEEENC_03106|NKLEEENC_03106	NC_007779.1	99.387	1304	6	1	1	1302	4371453	4370150	0.0	2362	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
KE26|AFHKKBMH_00312:dcuA:AFHKKBMH_00312|AFHKKBMH_00312	NC_007779.1	99.387	1304	6	1	1	1302	4371453	4370150	0.0	2362	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
KE4|NBLHDMPF_04088:dcuA:NBLHDMPF_04088|NBLHDMPF_04088	NC_007779.1	99.387	1304	6	1	1	1302	4371453	4370150	0.0	2362	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
KE40|EEHHMH_01600:dcuA:EEHHMH_01600|EEHHMH_01600	NC_007779.1	99.003	1304	11	1	1	1302	4371453	4370150	0.0	2335	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
KE41|PNKGMM_00735:dcuA:PNKGMM_00735|PNKGMM_00735	NC_007779.1	99.310	1304	7	1	1	1302	4371453	4370150	0.0	2357	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
KE46|DADKIG_21165:dcuA:DADKIG_21165|DADKIG_21165	NC_007779.1	99.463	1304	5	1	1	1302	4371453	4370150	0.0	2368	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
KE47|NHFOKF_09710:dcuA:NHFOKF_09710|NHFOKF_09710	NC_007779.1	99.003	1304	11	1	1	1302	4371453	4370150	0.0	2335	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
KE48_PROKKA|KE48_03258:dcuA:KE48_03258|KE48_03258	NC_007779.1	99.310	1304	7	1	1	1302	4371453	4370150	0.0	2357	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
KE50|OOFCCB_02665:dcuA:OOFCCB_02665|OOFCCB_02665	NC_007779.1	99.387	1304	6	1	1	1302	4371453	4370150	0.0	2362	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
