qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_731:ecpR:HGG68_RS01780|2b84de5415a5ca9477dbe99a5510e5bf_731	NZ_QOYG01000023.1	99.263	543	4	0	1	543	57866	58408	0.0	981	66849	NZ_QOYG01000023.1
ECOR11_PROKKA|ECOR11_02781:ecpR:ECOR11_02781|ECOR11_02781	NZ_QOYG01000023.1	97.422	543	14	0	1	543	57866	58408	0.0	926	66849	NZ_QOYG01000023.1
ECOR14_PROKKA|ECOR14_01575:ecpR:ECOR14_01575|ECOR14_01575	NZ_QOYG01000023.1	97.790	543	12	0	1	543	57866	58408	0.0	937	66849	NZ_QOYG01000023.1
ECOR23_PROKKA|ECOR23_00324:-:ECOR23_00324|ECOR23_00324	NZ_QOYG01000023.1	99.263	543	4	0	1	543	57866	58408	0.0	981	66849	NZ_QOYG01000023.1
ECOR44_PROKKA|ECOR44_02989:-:ECOR44_02989|ECOR44_02989	NZ_QOYG01000023.1	100.000	543	0	0	1	543	57866	58408	0.0	1003	66849	NZ_QOYG01000023.1
ECOR48_PROKKA|ECOR48_04079:-:ECOR48_04079|ECOR48_04079	NZ_QOYG01000023.1	100.000	543	0	0	1	543	57866	58408	0.0	1003	66849	NZ_QOYG01000023.1
ECOR49_PROKKA|ECOR49_00901:-:ECOR49_00901|ECOR49_00901	NZ_QOYG01000023.1	100.000	543	0	0	1	543	57866	58408	0.0	1003	66849	NZ_QOYG01000023.1
ECOR4_PROKKA|ECOR4_02932:-:ECOR4_02932|ECOR4_02932	NZ_QOYG01000023.1	97.790	543	12	0	1	543	57866	58408	0.0	937	66849	NZ_QOYG01000023.1
ECOR50_PROKKA|ECOR50_00108:-:ECOR50_00108|ECOR50_00108	NZ_QOYG01000023.1	100.000	543	0	0	1	543	57866	58408	0.0	1003	66849	NZ_QOYG01000023.1
ECOR51_PROKKA|ECOR51_00569:-:ECOR51_00569|ECOR51_00569	NZ_QOYG01000023.1	99.079	543	5	0	1	543	57866	58408	0.0	976	66849	NZ_QOYG01000023.1
ECOR52_PROKKA|ECOR52_00371:-:ECOR52_00371|ECOR52_00371	NZ_QOYG01000023.1	99.263	543	4	0	1	543	57866	58408	0.0	981	66849	NZ_QOYG01000023.1
ECOR53_PROKKA|ECOR53_00060:-:ECOR53_00060|ECOR53_00060	NZ_QOYG01000023.1	99.263	543	4	0	1	543	57866	58408	0.0	981	66849	NZ_QOYG01000023.1
ECOR54_PROKKA|ECOR54_00444:-:ECOR54_00444|ECOR54_00444	NZ_QOYG01000023.1	99.079	543	5	0	1	543	57866	58408	0.0	976	66849	NZ_QOYG01000023.1
ECOR55_PROKKA|ECOR55_00429:-:ECOR55_00429|ECOR55_00429	NZ_QOYG01000023.1	99.079	543	5	0	1	543	57866	58408	0.0	976	66849	NZ_QOYG01000023.1
ECOR56_PROKKA|ECOR56_00819:-:ECOR56_00819|ECOR56_00819	NZ_QOYG01000023.1	99.263	543	4	0	1	543	57866	58408	0.0	981	66849	NZ_QOYG01000023.1
ECOR60_PROKKA|ECOR60_04028:-:ECOR60_04028|ECOR60_04028	NZ_QOYG01000023.1	99.263	543	4	0	1	543	57866	58408	0.0	981	66849	NZ_QOYG01000023.1
