qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_2955:bluR:HGG68_RS07235|2b84de5415a5ca9477dbe99a5510e5bf_2955	NZ_QOYG01000003.1	98.497	732	11	0	1	732	261152	261883	0.0	1291	276119	NZ_QOYG01000003.1
ECOR11_PROKKA|ECOR11_04389:bluR:ECOR11_04389|ECOR11_04389	NZ_QOYG01000003.1	99.317	732	5	0	1	732	261152	261883	0.0	1325	276119	NZ_QOYG01000003.1
ECOR14_PROKKA|ECOR14_00465:bluR:ECOR14_00465|ECOR14_00465	NZ_QOYG01000003.1	99.317	732	5	0	1	732	261152	261883	0.0	1325	276119	NZ_QOYG01000003.1
ECOR16_PROKKA|ECOR16_00365:bluR:ECOR16_00365|ECOR16_00365	NZ_QOYG01000003.1	99.317	732	5	0	1	732	261152	261883	0.0	1325	276119	NZ_QOYG01000003.1
ECOR23_PROKKA|ECOR23_04556:-:ECOR23_04556|ECOR23_04556	NZ_QOYG01000003.1	98.497	732	11	0	1	732	261152	261883	0.0	1291	276119	NZ_QOYG01000003.1
ECOR44_PROKKA|ECOR44_02960:-:ECOR44_02960|ECOR44_02960	NZ_QOYG01000003.1	100.000	732	0	0	1	732	261152	261883	0.0	1352	276119	NZ_QOYG01000003.1
ECOR48_PROKKA|ECOR48_00542:-:ECOR48_00542|ECOR48_00542	NZ_QOYG01000003.1	99.590	732	3	0	1	732	261152	261883	0.0	1336	276119	NZ_QOYG01000003.1
ECOR49_PROKKA|ECOR49_03881:-:ECOR49_03881|ECOR49_03881	NZ_QOYG01000003.1	99.863	732	1	0	1	732	261152	261883	0.0	1347	276119	NZ_QOYG01000003.1
ECOR4_PROKKA|ECOR4_00363:-:ECOR4_00363|ECOR4_00363	NZ_QOYG01000003.1	99.317	732	5	0	1	732	261152	261883	0.0	1325	276119	NZ_QOYG01000003.1
ECOR50_PROKKA|ECOR50_04712:-:ECOR50_04712|ECOR50_04712	NZ_QOYG01000003.1	99.863	732	1	0	1	732	261152	261883	0.0	1347	276119	NZ_QOYG01000003.1
ECOR51_PROKKA|ECOR51_00921:-:ECOR51_00921|ECOR51_00921	NZ_QOYG01000003.1	98.497	732	11	0	1	732	261152	261883	0.0	1291	276119	NZ_QOYG01000003.1
ECOR52_PROKKA|ECOR52_04566:-:ECOR52_04566|ECOR52_04566	NZ_QOYG01000003.1	98.497	732	11	0	1	732	261152	261883	0.0	1291	276119	NZ_QOYG01000003.1
