qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_1884:artP:HGG68_RS04605|2b84de5415a5ca9477dbe99a5510e5bf_1884	NZ_QOYG01000008.1	99.314	729	5	0	1	729	111825	111097	0.0	1319	196976	NZ_QOYG01000008.1
ECOR11_PROKKA|ECOR11_03012:artP:ECOR11_03012|ECOR11_03012	NZ_QOYG01000008.1	99.588	729	3	0	1	729	111825	111097	0.0	1330	196976	NZ_QOYG01000008.1
ECOR14_PROKKA|ECOR14_02281:artP:ECOR14_02281|ECOR14_02281	NZ_QOYG01000008.1	99.588	729	3	0	1	729	111825	111097	0.0	1330	196976	NZ_QOYG01000008.1
ECOR16_PROKKA|ECOR16_01939:artP:ECOR16_01939|ECOR16_01939	NZ_QOYG01000008.1	99.451	729	4	0	1	729	111825	111097	0.0	1325	196976	NZ_QOYG01000008.1
ECOR23_PROKKA|ECOR23_03970:-:ECOR23_03970|ECOR23_03970	NZ_QOYG01000008.1	99.314	729	5	0	1	729	111825	111097	0.0	1319	196976	NZ_QOYG01000008.1
ECOR44_PROKKA|ECOR44_01496:-:ECOR44_01496|ECOR44_01496	NZ_QOYG01000008.1	100.000	729	0	0	1	729	111825	111097	0.0	1347	196976	NZ_QOYG01000008.1
ECOR48_PROKKA|ECOR48_03391:-:ECOR48_03391|ECOR48_03391	NZ_QOYG01000008.1	99.451	729	4	0	1	729	111825	111097	0.0	1325	196976	NZ_QOYG01000008.1
ECOR49_PROKKA|ECOR49_03522:-:ECOR49_03522|ECOR49_03522	NZ_QOYG01000008.1	99.588	729	3	0	1	729	111825	111097	0.0	1330	196976	NZ_QOYG01000008.1
ECOR4_PROKKA|ECOR4_00267:-:ECOR4_00267|ECOR4_00267	NZ_QOYG01000008.1	99.588	729	3	0	1	729	111825	111097	0.0	1330	196976	NZ_QOYG01000008.1
ECOR50_PROKKA|ECOR50_05216:-:ECOR50_05216|ECOR50_05216	NZ_QOYG01000008.1	99.588	729	3	0	1	729	111825	111097	0.0	1330	196976	NZ_QOYG01000008.1
ECOR51_PROKKA|ECOR51_03819:-:ECOR51_03819|ECOR51_03819	NZ_QOYG01000008.1	99.314	729	5	0	1	729	111825	111097	0.0	1319	196976	NZ_QOYG01000008.1
ECOR52_PROKKA|ECOR52_03356:-:ECOR52_03356|ECOR52_03356	NZ_QOYG01000008.1	99.314	729	5	0	1	729	111825	111097	0.0	1319	196976	NZ_QOYG01000008.1
ECOR53_PROKKA|ECOR53_04125:-:ECOR53_04125|ECOR53_04125	NZ_QOYG01000008.1	99.177	729	6	0	1	729	111825	111097	0.0	1314	196976	NZ_QOYG01000008.1
