qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_1868:potH:HGG68_RS04565|2b84de5415a5ca9477dbe99a5510e5bf_1868	NZ_QOYG01000008.1	95.661	945	41	0	1	945	100987	101931	0.0	1519	196976	NZ_QOYG01000008.1
ECOR11_PROKKA|ECOR11_03020:potH:ECOR11_03020|ECOR11_03020	NZ_QOYG01000008.1	95.692	882	38	0	1	882	101050	101931	0.0	1419	196976	NZ_QOYG01000008.1
ECOR14_PROKKA|ECOR14_02273:potH:ECOR14_02273|ECOR14_02273	NZ_QOYG01000008.1	94.654	954	42	4	1	954	100987	101931	0.0	1471	196976	NZ_QOYG01000008.1
ECOR16_PROKKA|ECOR16_01931:potH:ECOR16_01931|ECOR16_01931	NZ_QOYG01000008.1	95.073	954	38	4	1	954	100987	101931	0.0	1493	196976	NZ_QOYG01000008.1
ECOR23_PROKKA|ECOR23_03978:-:ECOR23_03978|ECOR23_03978	NZ_QOYG01000008.1	95.661	945	41	0	1	945	100987	101931	0.0	1519	196976	NZ_QOYG01000008.1
ECOR44_PROKKA|ECOR44_01504:-:ECOR44_01504|ECOR44_01504	NZ_QOYG01000008.1	96.226	954	27	4	1	954	100987	101931	0.0	1554	196976	NZ_QOYG01000008.1
ECOR48_PROKKA|ECOR48_03383:-:ECOR48_03383|ECOR48_03383	NZ_QOYG01000008.1	97.672	945	22	0	1	945	100987	101931	0.0	1624	196976	NZ_QOYG01000008.1
ECOR49_PROKKA|ECOR49_03514:-:ECOR49_03514|ECOR49_03514	NZ_QOYG01000008.1	98.836	945	11	0	1	945	100987	101931	0.0	1685	196976	NZ_QOYG01000008.1
ECOR4_PROKKA|ECOR4_00275:-:ECOR4_00275|ECOR4_00275	NZ_QOYG01000008.1	94.340	954	45	4	1	954	100987	101931	0.0	1454	196976	NZ_QOYG01000008.1
ECOR50_PROKKA|ECOR50_05208:-:ECOR50_05208|ECOR50_05208	NZ_QOYG01000008.1	98.730	945	12	0	1	945	100987	101931	0.0	1679	196976	NZ_QOYG01000008.1
ECOR51_PROKKA|ECOR51_03827:-:ECOR51_03827|ECOR51_03827	NZ_QOYG01000008.1	95.661	945	41	0	1	945	100987	101931	0.0	1519	196976	NZ_QOYG01000008.1
ECOR52_PROKKA|ECOR52_03364:-:ECOR52_03364|ECOR52_03364	NZ_QOYG01000008.1	95.661	945	41	0	1	945	100987	101931	0.0	1519	196976	NZ_QOYG01000008.1
ECOR53_PROKKA|ECOR53_04133:-:ECOR53_04133|ECOR53_04133	NZ_QOYG01000008.1	94.549	954	43	4	1	954	100987	101931	0.0	1465	196976	NZ_QOYG01000008.1
ECOR54_PROKKA|ECOR54_04097:-:ECOR54_04097|ECOR54_04097	NZ_QOYG01000008.1	95.661	945	41	0	1	945	100987	101931	0.0	1519	196976	NZ_QOYG01000008.1
ECOR55_PROKKA|ECOR55_02138:-:ECOR55_02138|ECOR55_02138	NZ_QOYG01000008.1	95.661	945	41	0	1	945	100987	101931	0.0	1519	196976	NZ_QOYG01000008.1
ECOR56_PROKKA|ECOR56_02300:-:ECOR56_02300|ECOR56_02300	NZ_QOYG01000008.1	95.661	945	41	0	1	945	100987	101931	0.0	1519	196976	NZ_QOYG01000008.1
ECOR60_PROKKA|ECOR60_01319:-:ECOR60_01319|ECOR60_01319	NZ_QOYG01000008.1	94.549	954	43	4	1	954	100987	101931	0.0	1465	196976	NZ_QOYG01000008.1
ECOR61_PROKKA|ECOR61_02834:-:ECOR61_02834|ECOR61_02834	NZ_QOYG01000008.1	94.235	954	46	4	1	954	100987	101931	0.0	1448	196976	NZ_QOYG01000008.1
ECOR62_PROKKA|ECOR62_03931:-:ECOR62_03931|ECOR62_03931	NZ_QOYG01000008.1	94.235	954	46	4	1	954	100987	101931	0.0	1448	196976	NZ_QOYG01000008.1
ECOR64_PROKKA|ECOR64_02860:-:ECOR64_02860|ECOR64_02860	NZ_QOYG01000008.1	94.444	954	44	4	1	954	100987	101931	0.0	1459	196976	NZ_QOYG01000008.1
ECOR66_PROKKA|ECOR66_02705:-:ECOR66_02705|ECOR66_02705	NZ_QOYG01000008.1	95.556	945	42	0	1	945	100987	101931	0.0	1513	196976	NZ_QOYG01000008.1
ECOR6_PROKKA|ECOR6_00845:-:ECOR6_00845|ECOR6_00845	NZ_QOYG01000008.1	94.759	954	41	4	1	954	100987	101931	0.0	1476	196976	NZ_QOYG01000008.1
ECOR8_PROKKA|ECOR8_01734:-:ECOR8_01734|ECOR8_01734	NZ_QOYG01000008.1	94.759	954	41	4	1	954	100987	101931	0.0	1476	196976	NZ_QOYG01000008.1
KE21|HKKLMMAK_04402:potH:HKKLMMAK_04402|HKKLMMAK_04402	NZ_QOYG01000008.1	95.238	945	45	0	1	945	100987	101931	0.0	1496	196976	NZ_QOYG01000008.1
KE25|NKLEEENC_00474:potH:NKLEEENC_00474|NKLEEENC_00474	NZ_QOYG01000008.1	95.238	945	45	0	1	945	100987	101931	0.0	1496	196976	NZ_QOYG01000008.1
KE26|AFHKKBMH_01488:potH:AFHKKBMH_01488|AFHKKBMH_01488	NZ_QOYG01000008.1	95.238	945	45	0	1	945	100987	101931	0.0	1496	196976	NZ_QOYG01000008.1
KE4|NBLHDMPF_02787:potH:NBLHDMPF_02787|NBLHDMPF_02787	NZ_QOYG01000008.1	94.549	954	43	4	1	954	100987	101931	0.0	1465	196976	NZ_QOYG01000008.1
KE40|EEHHMH_08690:potH:EEHHMH_08690|EEHHMH_08690	NZ_QOYG01000008.1	100.000	945	0	0	1	945	100987	101931	0.0	1746	196976	NZ_QOYG01000008.1
KE41|PNKGMM_20180:potH:PNKGMM_20180|PNKGMM_20180	NZ_QOYG01000008.1	94.444	954	44	4	1	954	100987	101931	0.0	1459	196976	NZ_QOYG01000008.1
KE46|DADKIG_14935:potH:DADKIG_14935|DADKIG_14935	NZ_QOYG01000008.1	94.864	954	40	4	1	954	100987	101931	0.0	1482	196976	NZ_QOYG01000008.1
KE47|NHFOKF_02990:potH:NHFOKF_02990|NHFOKF_02990	NZ_QOYG01000008.1	100.000	945	0	0	1	945	100987	101931	0.0	1746	196976	NZ_QOYG01000008.1
KE48_PROKKA|KE48_00433:potH:KE48_00433|KE48_00433	NZ_QOYG01000008.1	95.661	945	41	0	1	945	100987	101931	0.0	1519	196976	NZ_QOYG01000008.1
KE50|OOFCCB_21530:potH:OOFCCB_21530|OOFCCB_21530	NZ_QOYG01000008.1	95.238	945	45	0	1	945	100987	101931	0.0	1496	196976	NZ_QOYG01000008.1
