qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_725:ecpC:HGG68_RS01765|2b84de5415a5ca9477dbe99a5510e5bf_725	NZ_QOYG01000023.1	98.535	2526	37	0	1	2526	59822	62347	0.0	4460	66849	NZ_QOYG01000023.1
ECOR11_PROKKA|ECOR11_02778:ecpC:ECOR11_02778|ECOR11_02778	NZ_QOYG01000023.1	98.021	2526	50	0	1	2526	59822	62347	0.0	4388	66849	NZ_QOYG01000023.1
ECOR14_PROKKA|ECOR14_01578:ecpC:ECOR14_01578|ECOR14_01578	NZ_QOYG01000023.1	98.021	2526	50	0	1	2526	59822	62347	0.0	4388	66849	NZ_QOYG01000023.1
ECOR23_PROKKA|ECOR23_00327:-:ECOR23_00327|ECOR23_00327	NZ_QOYG01000023.1	98.535	2526	37	0	1	2526	59822	62347	0.0	4460	66849	NZ_QOYG01000023.1
ECOR44_PROKKA|ECOR44_02992:-:ECOR44_02992|ECOR44_02992	NZ_QOYG01000023.1	100.000	2526	0	0	1	2526	59822	62347	0.0	4665	66849	NZ_QOYG01000023.1
ECOR48_PROKKA|ECOR48_04076:-:ECOR48_04076|ECOR48_04076	NZ_QOYG01000023.1	98.496	2526	38	0	1	2526	59822	62347	0.0	4455	66849	NZ_QOYG01000023.1
ECOR49_PROKKA|ECOR49_00898:-:ECOR49_00898|ECOR49_00898	NZ_QOYG01000023.1	98.971	2526	26	0	1	2526	59822	62347	0.0	4521	66849	NZ_QOYG01000023.1
ECOR4_PROKKA|ECOR4_02929:-:ECOR4_02929|ECOR4_02929	NZ_QOYG01000023.1	97.941	2526	52	0	1	2526	59822	62347	0.0	4377	66849	NZ_QOYG01000023.1
ECOR50_PROKKA|ECOR50_00105:-:ECOR50_00105|ECOR50_00105	NZ_QOYG01000023.1	98.478	1708	16	1	1	1698	59822	61529	0.0	3001	66849	NZ_QOYG01000023.1
ECOR51_PROKKA|ECOR51_00572:-:ECOR51_00572|ECOR51_00572	NZ_QOYG01000023.1	98.535	2526	37	0	1	2526	59822	62347	0.0	4460	66849	NZ_QOYG01000023.1
ECOR52_PROKKA|ECOR52_00374:-:ECOR52_00374|ECOR52_00374	NZ_QOYG01000023.1	98.535	2526	37	0	1	2526	59822	62347	0.0	4460	66849	NZ_QOYG01000023.1
ECOR53_PROKKA|ECOR53_00063:-:ECOR53_00063|ECOR53_00063	NZ_QOYG01000023.1	98.654	2526	34	0	1	2526	59822	62347	0.0	4477	66849	NZ_QOYG01000023.1
ECOR54_PROKKA|ECOR54_00447:-:ECOR54_00447|ECOR54_00447	NZ_QOYG01000023.1	98.535	2526	37	0	1	2526	59822	62347	0.0	4460	66849	NZ_QOYG01000023.1
ECOR55_PROKKA|ECOR55_00432:-:ECOR55_00432|ECOR55_00432	NZ_QOYG01000023.1	98.535	2526	37	0	1	2526	59822	62347	0.0	4460	66849	NZ_QOYG01000023.1
ECOR56_PROKKA|ECOR56_00822:-:ECOR56_00822|ECOR56_00822	NZ_QOYG01000023.1	98.535	2526	37	0	1	2526	59822	62347	0.0	4460	66849	NZ_QOYG01000023.1
ECOR60_PROKKA|ECOR60_04031:-:ECOR60_04031|ECOR60_04031	NZ_QOYG01000023.1	98.654	2526	34	0	1	2526	59822	62347	0.0	4477	66849	NZ_QOYG01000023.1
ECOR61_PROKKA|ECOR61_03269:-:ECOR61_03269|ECOR61_03269	NZ_QOYG01000023.1	98.614	2526	35	0	1	2526	59822	62347	0.0	4471	66849	NZ_QOYG01000023.1
ECOR62_PROKKA|ECOR62_03653:-:ECOR62_03653|ECOR62_03653	NZ_QOYG01000023.1	98.614	2526	35	0	1	2526	59822	62347	0.0	4471	66849	NZ_QOYG01000023.1
ECOR64_PROKKA|ECOR64_03659:-:ECOR64_03659|ECOR64_03659	NZ_QOYG01000023.1	98.535	2526	37	0	1	2526	59822	62347	0.0	4460	66849	NZ_QOYG01000023.1
ECOR66_PROKKA|ECOR66_00633:-:ECOR66_00633|ECOR66_00633	NZ_QOYG01000023.1	98.694	2526	33	0	1	2526	59822	62347	0.0	4482	66849	NZ_QOYG01000023.1
ECOR6_PROKKA|ECOR6_03406:-:ECOR6_03406|ECOR6_03406	NZ_QOYG01000023.1	98.368	1471	23	1	1	1470	59822	61292	0.0	2582	66849	NZ_QOYG01000023.1
ECOR8_PROKKA|ECOR8_00974:-:ECOR8_00974|ECOR8_00974	NZ_QOYG01000023.1	98.021	2526	50	0	1	2526	59822	62347	0.0	4388	66849	NZ_QOYG01000023.1
KE21|HKKLMMAK_03845:ecpC:HKKLMMAK_03845|HKKLMMAK_03845	NZ_QOYG01000023.1	98.614	2526	35	0	1	2526	59822	62347	0.0	4471	66849	NZ_QOYG01000023.1
KE24|FLBELDDJ_00589:ecpC:FLBELDDJ_00589|FLBELDDJ_00589	NZ_QOYG01000023.1	98.654	2526	34	0	1	2526	59822	62347	0.0	4477	66849	NZ_QOYG01000023.1
KE25|NKLEEENC_01036:ecpC:NKLEEENC_01036|NKLEEENC_01036	NZ_QOYG01000023.1	98.575	2526	36	0	1	2526	59822	62347	0.0	4466	66849	NZ_QOYG01000023.1
KE26|AFHKKBMH_00930:ecpC:AFHKKBMH_00930|AFHKKBMH_00930	NZ_QOYG01000023.1	98.614	2526	35	0	1	2526	59822	62347	0.0	4471	66849	NZ_QOYG01000023.1
KE4|NBLHDMPF_03416:ecpC:NBLHDMPF_03416|NBLHDMPF_03416	NZ_QOYG01000023.1	98.654	2526	34	0	1	2526	59822	62347	0.0	4477	66849	NZ_QOYG01000023.1
KE40|EEHHMH_05065:ecpC:EEHHMH_05065|EEHHMH_05065	NZ_QOYG01000023.1	99.960	2526	1	0	1	2526	59822	62347	0.0	4660	66849	NZ_QOYG01000023.1
KE41|PNKGMM_22890:ecpC:PNKGMM_22890|PNKGMM_22890	NZ_QOYG01000023.1	98.575	2526	36	0	1	2526	59822	62347	0.0	4466	66849	NZ_QOYG01000023.1
KE46|DADKIG_17825:ecpC:DADKIG_17825|DADKIG_17825	NZ_QOYG01000023.1	98.219	2526	45	0	1	2526	59822	62347	0.0	4416	66849	NZ_QOYG01000023.1
KE47|NHFOKF_06530:ecpC:NHFOKF_06530|NHFOKF_06530	NZ_QOYG01000023.1	99.960	2526	1	0	1	2526	59822	62347	0.0	4660	66849	NZ_QOYG01000023.1
