qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_4121:yoaG:HGG68_RS10095|2b84de5415a5ca9477dbe99a5510e5bf_4121	KBase_derived_KE46_PROKKA	100.000	147	0	0	1	147	2028039	2028185	6.77e-74	272	4736141	KBase_derived_KE46_PROKKA
ECOR11_PROKKA|ECOR11_04888:yoaG:ECOR11_04888|ECOR11_04888	KBase_derived_KE46_PROKKA	99.320	147	1	0	1	147	2028039	2028185	3.15e-72	267	4736141	KBase_derived_KE46_PROKKA
ECOR14_PROKKA|ECOR14_00230:yoaG:ECOR14_00230|ECOR14_00230	KBase_derived_KE46_PROKKA	99.320	147	1	0	1	147	2028039	2028185	3.15e-72	267	4736141	KBase_derived_KE46_PROKKA
ECOR16_PROKKA|ECOR16_02086:yoaG:ECOR16_02086|ECOR16_02086	KBase_derived_KE46_PROKKA	99.320	147	1	0	1	147	2028039	2028185	3.15e-72	267	4736141	KBase_derived_KE46_PROKKA
ECOR23_PROKKA|ECOR23_02264:-:ECOR23_02264|ECOR23_02264	KBase_derived_KE46_PROKKA	100.000	147	0	0	1	147	2028039	2028185	6.77e-74	272	4736141	KBase_derived_KE46_PROKKA
ECOR44_PROKKA|ECOR44_02668:-:ECOR44_02668|ECOR44_02668	KBase_derived_KE46_PROKKA	98.639	147	2	0	1	147	2028039	2028185	1.47e-70	261	4736141	KBase_derived_KE46_PROKKA
ECOR48_PROKKA|ECOR48_01150:-:ECOR48_01150|ECOR48_01150	KBase_derived_KE46_PROKKA	100.000	147	0	0	1	147	2028039	2028185	6.77e-74	272	4736141	KBase_derived_KE46_PROKKA
ECOR49_PROKKA|ECOR49_00744:-:ECOR49_00744|ECOR49_00744	KBase_derived_KE46_PROKKA	98.639	147	2	0	1	147	2028039	2028185	1.47e-70	261	4736141	KBase_derived_KE46_PROKKA
ECOR4_PROKKA|ECOR4_03106:-:ECOR4_03106|ECOR4_03106	KBase_derived_KE46_PROKKA	98.639	147	2	0	1	147	2028039	2028185	1.47e-70	261	4736141	KBase_derived_KE46_PROKKA
ECOR50_PROKKA|ECOR50_01436:-:ECOR50_01436|ECOR50_01436	KBase_derived_KE46_PROKKA	98.639	147	2	0	1	147	2028039	2028185	1.47e-70	261	4736141	KBase_derived_KE46_PROKKA
