qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_9534:phnP:HGG68_RS23380|2b84de5415a5ca9477dbe99a5510e5bf_9534	NZ_QOYG01000022.1	93.939	759	46	0	1	759	57172	56414	0.0	1147	67964	NZ_QOYG01000022.1
ECOR11_PROKKA|ECOR11_00072:phnP:ECOR11_00072|ECOR11_00072	NZ_QOYG01000022.1	94.993	759	38	0	1	759	57172	56414	0.0	1192	67964	NZ_QOYG01000022.1
ECOR14_PROKKA|ECOR14_00375:phnP:ECOR14_00375|ECOR14_00375	NZ_QOYG01000022.1	94.071	759	45	0	1	759	57172	56414	0.0	1153	67964	NZ_QOYG01000022.1
ECOR16_PROKKA|ECOR16_01130:phnP:ECOR16_01130|ECOR16_01130	NZ_QOYG01000022.1	95.125	759	37	0	1	759	57172	56414	0.0	1197	67964	NZ_QOYG01000022.1
ECOR23_PROKKA|ECOR23_04127:-:ECOR23_04127|ECOR23_04127	NZ_QOYG01000022.1	93.939	759	46	0	1	759	57172	56414	0.0	1147	67964	NZ_QOYG01000022.1
ECOR44_PROKKA|ECOR44_02393:-:ECOR44_02393|ECOR44_02393	NZ_QOYG01000022.1	97.365	759	20	0	1	759	57172	56414	0.0	1291	67964	NZ_QOYG01000022.1
ECOR48_PROKKA|ECOR48_04323:-:ECOR48_04323|ECOR48_04323	NZ_QOYG01000022.1	97.628	759	18	0	1	759	57172	56414	0.0	1303	67964	NZ_QOYG01000022.1
ECOR49_PROKKA|ECOR49_02706:-:ECOR49_02706|ECOR49_02706	NZ_QOYG01000022.1	96.574	759	26	0	1	759	57172	56414	0.0	1258	67964	NZ_QOYG01000022.1
ECOR4_PROKKA|ECOR4_02753:-:ECOR4_02753|ECOR4_02753	NZ_QOYG01000022.1	95.125	759	37	0	1	759	57172	56414	0.0	1197	67964	NZ_QOYG01000022.1
ECOR50_PROKKA|ECOR50_02040:-:ECOR50_02040|ECOR50_02040	NZ_QOYG01000022.1	96.574	759	26	0	1	759	57172	56414	0.0	1258	67964	NZ_QOYG01000022.1
ECOR51_PROKKA|ECOR51_04434:-:ECOR51_04434|ECOR51_04434	NZ_QOYG01000022.1	94.005	734	44	0	1	734	57172	56439	0.0	1112	67964	NZ_QOYG01000022.1
ECOR52_PROKKA|ECOR52_04135:-:ECOR52_04135|ECOR52_04135	NZ_QOYG01000022.1	93.939	759	46	0	1	759	57172	56414	0.0	1147	67964	NZ_QOYG01000022.1
ECOR53_PROKKA|ECOR53_00767:-:ECOR53_00767|ECOR53_00767	NZ_QOYG01000022.1	96.179	759	29	0	1	759	57172	56414	0.0	1242	67964	NZ_QOYG01000022.1
ECOR54_PROKKA|ECOR54_03714:-:ECOR54_03714|ECOR54_03714	NZ_QOYG01000022.1	94.071	759	45	0	1	759	57172	56414	0.0	1153	67964	NZ_QOYG01000022.1
ECOR55_PROKKA|ECOR55_04389:-:ECOR55_04389|ECOR55_04389	NZ_QOYG01000022.1	94.071	759	45	0	1	759	57172	56414	0.0	1153	67964	NZ_QOYG01000022.1
ECOR56_PROKKA|ECOR56_03856:-:ECOR56_03856|ECOR56_03856	NZ_QOYG01000022.1	94.071	759	45	0	1	759	57172	56414	0.0	1153	67964	NZ_QOYG01000022.1
ECOR60_PROKKA|ECOR60_00663:-:ECOR60_00663|ECOR60_00663	NZ_QOYG01000022.1	96.179	759	29	0	1	759	57172	56414	0.0	1242	67964	NZ_QOYG01000022.1
ECOR61_PROKKA|ECOR61_03424:-:ECOR61_03424|ECOR61_03424	NZ_QOYG01000022.1	93.676	759	48	0	1	759	57172	56414	0.0	1136	67964	NZ_QOYG01000022.1
ECOR62_PROKKA|ECOR62_01226:-:ECOR62_01226|ECOR62_01226	NZ_QOYG01000022.1	93.676	759	48	0	1	759	57172	56414	0.0	1136	67964	NZ_QOYG01000022.1
ECOR64_PROKKA|ECOR64_01721:-:ECOR64_01721|ECOR64_01721	NZ_QOYG01000022.1	96.179	759	29	0	1	759	57172	56414	0.0	1242	67964	NZ_QOYG01000022.1
ECOR66_PROKKA|ECOR66_04099:-:ECOR66_04099|ECOR66_04099	NZ_QOYG01000022.1	92.622	759	56	0	1	759	57172	56414	0.0	1092	67964	NZ_QOYG01000022.1
ECOR6_PROKKA|ECOR6_00055:-:ECOR6_00055|ECOR6_00055	NZ_QOYG01000022.1	94.993	759	38	0	1	759	57172	56414	0.0	1192	67964	NZ_QOYG01000022.1
ECOR8_PROKKA|ECOR8_04524:-:ECOR8_04524|ECOR8_04524	NZ_QOYG01000022.1	95.125	759	37	0	1	759	57172	56414	0.0	1197	67964	NZ_QOYG01000022.1
KE21|HKKLMMAK_03097:phnP:HKKLMMAK_03097|HKKLMMAK_03097	NZ_QOYG01000022.1	93.939	759	46	0	1	759	57172	56414	0.0	1147	67964	NZ_QOYG01000022.1
KE25|NKLEEENC_02946:phnP:NKLEEENC_02946|NKLEEENC_02946	NZ_QOYG01000022.1	93.939	759	46	0	1	759	57172	56414	0.0	1147	67964	NZ_QOYG01000022.1
KE26|AFHKKBMH_00263:phnP:AFHKKBMH_00263|AFHKKBMH_00263	NZ_QOYG01000022.1	93.939	759	46	0	1	759	57172	56414	0.0	1147	67964	NZ_QOYG01000022.1
KE4|NBLHDMPF_04261:phnP:NBLHDMPF_04261|NBLHDMPF_04261	NZ_QOYG01000022.1	96.179	759	29	0	1	759	57172	56414	0.0	1242	67964	NZ_QOYG01000022.1
KE40|EEHHMH_01355:phnP:EEHHMH_01355|EEHHMH_01355	NZ_QOYG01000022.1	100.000	759	0	0	1	759	57172	56414	0.0	1402	67964	NZ_QOYG01000022.1
KE41|PNKGMM_01310:phnP:PNKGMM_01310|PNKGMM_01310	NZ_QOYG01000022.1	96.179	759	29	0	1	759	57172	56414	0.0	1242	67964	NZ_QOYG01000022.1
KE46|DADKIG_21465:phnP:DADKIG_21465|DADKIG_21465	NZ_QOYG01000022.1	94.071	759	45	0	1	759	57172	56414	0.0	1153	67964	NZ_QOYG01000022.1
KE47|NHFOKF_09970:phnP:NHFOKF_09970|NHFOKF_09970	NZ_QOYG01000022.1	100.000	759	0	0	1	759	57172	56414	0.0	1402	67964	NZ_QOYG01000022.1
KE48_PROKKA|KE48_03166:phnP:KE48_03166|KE48_03166	NZ_QOYG01000022.1	94.071	759	45	0	1	759	57172	56414	0.0	1153	67964	NZ_QOYG01000022.1
KE50|OOFCCB_03440:phnP:OOFCCB_03440|OOFCCB_03440	NZ_QOYG01000022.1	93.939	759	46	0	1	759	57172	56414	0.0	1147	67964	NZ_QOYG01000022.1
KE51|BHDFJC_25005:phnP:BHDFJC_25005|BHDFJC_25005	NZ_QOYG01000022.1	94.071	759	45	0	1	759	57172	56414	0.0	1153	67964	NZ_QOYG01000022.1
KE54|NBPOCE_18360:phnP:NBPOCE_18360|NBPOCE_18360	NZ_QOYG01000022.1	93.939	759	46	0	1	759	57172	56414	0.0	1147	67964	NZ_QOYG01000022.1
KE55|HDLJKA_21275:phnP:HDLJKA_21275|HDLJKA_21275	NZ_QOYG01000022.1	97.628	759	18	0	1	759	57172	56414	0.0	1303	67964	NZ_QOYG01000022.1
KE58|FKGHDH_21655:phnP:FKGHDH_21655|FKGHDH_21655	NZ_QOYG01000022.1	95.125	759	37	0	1	759	57172	56414	0.0	1197	67964	NZ_QOYG01000022.1
LRPF007|PGOAJBJE_04311:phnP:PGOAJBJE_04311|PGOAJBJE_04311	NZ_QOYG01000022.1	94.203	759	44	0	1	759	57172	56414	0.0	1158	67964	NZ_QOYG01000022.1
LRPF62|CPONALDP_04716:phnP:CPONALDP_04716|CPONALDP_04716	NZ_QOYG01000022.1	93.939	759	46	0	1	759	57172	56414	0.0	1147	67964	NZ_QOYG01000022.1
MG1655|9d38f563c3a26fdef9221ebcd767f53a_8764:phnP:b4092|9d38f563c3a26fdef9221ebcd767f53a_8764	NZ_QOYG01000022.1	95.125	759	37	0	1	759	57172	56414	0.0	1197	67964	NZ_QOYG01000022.1
UTI89|a370e86af943a50f23d4c066bcb16592_8966:phnP:IFE20_RS22020|a370e86af943a50f23d4c066bcb16592_8966	NZ_QOYG01000022.1	93.676	759	48	0	1	759	57172	56414	0.0	1136	67964	NZ_QOYG01000022.1
W3110|a99aee7d8774ee1318b35b64abeb3eab_8497:phnP:Y75_RS21355|a99aee7d8774ee1318b35b64abeb3eab_8497	NZ_QOYG01000022.1	95.125	759	37	0	1	759	57172	56414	0.0	1197	67964	NZ_QOYG01000022.1
