qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_9291:zraR:HGG68_RS22785|2b84de5415a5ca9477dbe99a5510e5bf_9291	NZ_QOYG01000031.1	97.360	1326	35	0	1	1326	4760	3435	0.0	2255	30900	NZ_QOYG01000031.1
ECOR11_PROKKA|ECOR11_02797:zraR:ECOR11_02797|ECOR11_02797	NZ_QOYG01000031.1	96.380	1326	48	0	1	1326	4760	3435	0.0	2183	30900	NZ_QOYG01000031.1
ECOR14_PROKKA|ECOR14_03356:zraR:ECOR14_03356|ECOR14_03356	NZ_QOYG01000031.1	96.380	1326	48	0	1	1326	4760	3435	0.0	2183	30900	NZ_QOYG01000031.1
ECOR16_PROKKA|ECOR16_02939:zraR:ECOR16_02939|ECOR16_02939	NZ_QOYG01000031.1	96.380	1326	48	0	1	1326	4760	3435	0.0	2183	30900	NZ_QOYG01000031.1
ECOR23_PROKKA|ECOR23_01943:-:ECOR23_01943|ECOR23_01943	NZ_QOYG01000031.1	97.360	1326	35	0	1	1326	4760	3435	0.0	2255	30900	NZ_QOYG01000031.1
ECOR44_PROKKA|ECOR44_03057:-:ECOR44_03057|ECOR44_03057	NZ_QOYG01000031.1	96.983	1326	40	0	1	1326	4760	3435	0.0	2228	30900	NZ_QOYG01000031.1
ECOR48_PROKKA|ECOR48_03139:-:ECOR48_03139|ECOR48_03139	NZ_QOYG01000031.1	97.888	1326	28	0	1	1326	4760	3435	0.0	2294	30900	NZ_QOYG01000031.1
ECOR49_PROKKA|ECOR49_01138:-:ECOR49_01138|ECOR49_01138	NZ_QOYG01000031.1	97.360	1326	35	0	1	1326	4760	3435	0.0	2255	30900	NZ_QOYG01000031.1
ECOR4_PROKKA|ECOR4_02842:-:ECOR4_02842|ECOR4_02842	NZ_QOYG01000031.1	96.305	1326	49	0	1	1326	4760	3435	0.0	2178	30900	NZ_QOYG01000031.1
ECOR50_PROKKA|ECOR50_03927:-:ECOR50_03927|ECOR50_03927	NZ_QOYG01000031.1	97.360	1326	35	0	1	1326	4760	3435	0.0	2255	30900	NZ_QOYG01000031.1
ECOR51_PROKKA|ECOR51_02178:-:ECOR51_02178|ECOR51_02178	NZ_QOYG01000031.1	97.210	1326	37	0	1	1326	4760	3435	0.0	2244	30900	NZ_QOYG01000031.1
ECOR52_PROKKA|ECOR52_02575:-:ECOR52_02575|ECOR52_02575	NZ_QOYG01000031.1	97.360	1326	35	0	1	1326	4760	3435	0.0	2255	30900	NZ_QOYG01000031.1
ECOR53_PROKKA|ECOR53_02195:-:ECOR53_02195|ECOR53_02195	NZ_QOYG01000031.1	96.908	1326	41	0	1	1326	4760	3435	0.0	2222	30900	NZ_QOYG01000031.1
ECOR54_PROKKA|ECOR54_01868:-:ECOR54_01868|ECOR54_01868	NZ_QOYG01000031.1	97.360	1326	35	0	1	1326	4760	3435	0.0	2255	30900	NZ_QOYG01000031.1
ECOR55_PROKKA|ECOR55_01982:-:ECOR55_01982|ECOR55_01982	NZ_QOYG01000031.1	97.360	1326	35	0	1	1326	4760	3435	0.0	2255	30900	NZ_QOYG01000031.1
ECOR56_PROKKA|ECOR56_02548:-:ECOR56_02548|ECOR56_02548	NZ_QOYG01000031.1	97.360	1326	35	0	1	1326	4760	3435	0.0	2255	30900	NZ_QOYG01000031.1
ECOR60_PROKKA|ECOR60_02789:-:ECOR60_02789|ECOR60_02789	NZ_QOYG01000031.1	96.908	1326	41	0	1	1326	4760	3435	0.0	2222	30900	NZ_QOYG01000031.1
ECOR61_PROKKA|ECOR61_04176:-:ECOR61_04176|ECOR61_04176	NZ_QOYG01000031.1	96.682	1326	44	0	1	1326	4760	3435	0.0	2206	30900	NZ_QOYG01000031.1
ECOR62_PROKKA|ECOR62_01704:-:ECOR62_01704|ECOR62_01704	NZ_QOYG01000031.1	96.682	1326	44	0	1	1326	4760	3435	0.0	2206	30900	NZ_QOYG01000031.1
ECOR64_PROKKA|ECOR64_02585:-:ECOR64_02585|ECOR64_02585	NZ_QOYG01000031.1	97.436	1326	34	0	1	1326	4760	3435	0.0	2261	30900	NZ_QOYG01000031.1
ECOR66_PROKKA|ECOR66_01992:-:ECOR66_01992|ECOR66_01992	NZ_QOYG01000031.1	96.380	1326	48	0	1	1326	4760	3435	0.0	2183	30900	NZ_QOYG01000031.1
ECOR6_PROKKA|ECOR6_03012:-:ECOR6_03012|ECOR6_03012	NZ_QOYG01000031.1	96.531	1326	46	0	1	1326	4760	3435	0.0	2194	30900	NZ_QOYG01000031.1
ECOR8_PROKKA|ECOR8_03151:-:ECOR8_03151|ECOR8_03151	NZ_QOYG01000031.1	96.380	1326	48	0	1	1326	4760	3435	0.0	2183	30900	NZ_QOYG01000031.1
KE21|HKKLMMAK_02966:zraR:HKKLMMAK_02966|HKKLMMAK_02966	NZ_QOYG01000031.1	97.285	1326	36	0	1	1326	4760	3435	0.0	2250	30900	NZ_QOYG01000031.1
KE24|FLBELDDJ_04983:zraR:FLBELDDJ_04983|FLBELDDJ_04983	NZ_QOYG01000031.1	96.757	1326	43	0	1	1326	4760	3435	0.0	2211	30900	NZ_QOYG01000031.1
KE25|NKLEEENC_02815:zraR:NKLEEENC_02815|NKLEEENC_02815	NZ_QOYG01000031.1	97.285	1326	36	0	1	1326	4760	3435	0.0	2250	30900	NZ_QOYG01000031.1
KE26|AFHKKBMH_00132:zraR:AFHKKBMH_00132|AFHKKBMH_00132	NZ_QOYG01000031.1	97.285	1326	36	0	1	1326	4760	3435	0.0	2250	30900	NZ_QOYG01000031.1
KE4|NBLHDMPF_04390:zraR:NBLHDMPF_04390|NBLHDMPF_04390	NZ_QOYG01000031.1	96.908	1326	41	0	1	1326	4760	3435	0.0	2222	30900	NZ_QOYG01000031.1
KE40|EEHHMH_00860:zraR:EEHHMH_00860|EEHHMH_00860	NZ_QOYG01000031.1	100.000	1326	0	0	1	1326	4760	3435	0.0	2449	30900	NZ_QOYG01000031.1
KE41|PNKGMM_01960:zraR:PNKGMM_01960|PNKGMM_01960	NZ_QOYG01000031.1	97.436	1326	34	0	1	1326	4760	3435	0.0	2261	30900	NZ_QOYG01000031.1
KE46|DADKIG_21965:zraR:DADKIG_21965|DADKIG_21965	NZ_QOYG01000031.1	96.531	1326	46	0	1	1326	4760	3435	0.0	2194	30900	NZ_QOYG01000031.1
KE47|NHFOKF_10465:zraR:NHFOKF_10465|NHFOKF_10465	NZ_QOYG01000031.1	100.000	1326	0	0	1	1326	4760	3435	0.0	2449	30900	NZ_QOYG01000031.1
KE48_PROKKA|KE48_03047:zraR:KE48_03047|KE48_03047	NZ_QOYG01000031.1	97.360	1326	35	0	1	1326	4760	3435	0.0	2255	30900	NZ_QOYG01000031.1
KE50|OOFCCB_04090:zraR:OOFCCB_04090|OOFCCB_04090	NZ_QOYG01000031.1	97.285	1326	36	0	1	1326	4760	3435	0.0	2250	30900	NZ_QOYG01000031.1
KE51|BHDFJC_25980:zraR:BHDFJC_25980|BHDFJC_25980	NZ_QOYG01000031.1	97.360	1326	35	0	1	1326	4760	3435	0.0	2255	30900	NZ_QOYG01000031.1
KE54|NBPOCE_17415:zraR:NBPOCE_17415|NBPOCE_17415	NZ_QOYG01000031.1	97.285	1326	36	0	1	1326	4760	3435	0.0	2250	30900	NZ_QOYG01000031.1
KE55|HDLJKA_21865:zraR:HDLJKA_21865|HDLJKA_21865	NZ_QOYG01000031.1	98.115	1326	25	0	1	1326	4760	3435	0.0	2311	30900	NZ_QOYG01000031.1
KE58|FKGHDH_22175:zraR:FKGHDH_22175|FKGHDH_22175	NZ_QOYG01000031.1	96.380	1326	48	0	1	1326	4760	3435	0.0	2183	30900	NZ_QOYG01000031.1
LRPF007|PGOAJBJE_04507:zraR:PGOAJBJE_04507|PGOAJBJE_04507	NZ_QOYG01000031.1	97.360	1326	35	0	1	1326	4760	3435	0.0	2255	30900	NZ_QOYG01000031.1
LRPF62|CPONALDP_04847:zraR:CPONALDP_04847|CPONALDP_04847	NZ_QOYG01000031.1	97.285	1326	36	0	1	1326	4760	3435	0.0	2250	30900	NZ_QOYG01000031.1
MG1655|9d38f563c3a26fdef9221ebcd767f53a_8573:zraR:b4004|9d38f563c3a26fdef9221ebcd767f53a_8573	NZ_QOYG01000031.1	96.380	1326	48	0	1	1326	4760	3435	0.0	2183	30900	NZ_QOYG01000031.1
W3110|a99aee7d8774ee1318b35b64abeb3eab_6793:zraR:Y75_RS17065|a99aee7d8774ee1318b35b64abeb3eab_6793	NZ_QOYG01000031.1	96.380	1326	48	0	1	1326	4760	3435	0.0	2183	30900	NZ_QOYG01000031.1
