qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_3513:yddH:HGG68_RS08610|2b84de5415a5ca9477dbe99a5510e5bf_3513	1	100.000	533	0	0	1	533	2036329	2036861	0.0	985	3505008	1
ECOR11_PROKKA|ECOR11_02649:-:ECOR11_02649|ECOR11_02649	1	94.329	529	30	0	2	530	2036330	2036858	0.0	811	3505008	1
ECOR14_PROKKA|ECOR14_03174:-:ECOR14_03174|ECOR14_03174	1	94.329	529	30	0	2	530	2036330	2036858	0.0	811	3505008	1
ECOR16_PROKKA|ECOR16_01651:-:ECOR16_01651|ECOR16_01651	1	93.421	532	35	0	2	533	2036330	2036861	0.0	789	3505008	1
ECOR23_PROKKA|ECOR23_01677:-:ECOR23_01677|ECOR23_01677	1	100.000	533	0	0	1	533	2036329	2036861	0.0	985	3505008	1
ECOR44_PROKKA|ECOR44_02893:-:ECOR44_02893|ECOR44_02893	1	92.120	533	42	0	1	533	2036329	2036861	0.0	752	3505008	1
ECOR48_PROKKA|ECOR48_03072:-:ECOR48_03072|ECOR48_03072	1	93.996	533	32	0	1	533	2036329	2036861	0.0	808	3505008	1
ECOR49_PROKKA|ECOR49_01599:-:ECOR49_01599|ECOR49_01599	1	95.497	533	24	0	1	533	2036329	2036861	0.0	852	3505008	1
ECOR4_PROKKA|ECOR4_02466:-:ECOR4_02466|ECOR4_02466	1	94.549	532	29	0	2	533	2036330	2036861	0.0	822	3505008	1
ECOR50_PROKKA|ECOR50_04190:-:ECOR50_04190|ECOR50_04190	1	95.497	533	24	0	1	533	2036329	2036861	0.0	852	3505008	1
ECOR51_PROKKA|ECOR51_02119:-:ECOR51_02119|ECOR51_02119	1	100.000	533	0	0	1	533	2036329	2036861	0.0	985	3505008	1
ECOR52_PROKKA|ECOR52_01753:-:ECOR52_01753|ECOR52_01753	1	100.000	533	0	0	1	533	2036329	2036861	0.0	985	3505008	1
ECOR53_PROKKA|ECOR53_01882:-:ECOR53_01882|ECOR53_01882	1	100.000	533	0	0	1	533	2036329	2036861	0.0	985	3505008	1
