qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_7862:rtcR:HGG68_RS19310|2b84de5415a5ca9477dbe99a5510e5bf_7862	NZ_QOYG01000005.1	93.875	1600	96	2	1	1599	82041	83639	0.0	2410	223126	NZ_QOYG01000005.1
ECOR11_PROKKA|ECOR11_00235:rtcR:ECOR11_00235|ECOR11_00235	NZ_QOYG01000005.1	94.622	1599	86	0	1	1599	82041	83639	0.0	2477	223126	NZ_QOYG01000005.1
ECOR14_PROKKA|ECOR14_02661:norR_3:ECOR14_02661|ECOR14_02661	NZ_QOYG01000005.1	94.622	1599	86	0	1	1599	82041	83639	0.0	2477	223126	NZ_QOYG01000005.1
ECOR16_PROKKA|ECOR16_04121:-:ECOR16_04121|ECOR16_04121	NZ_QOYG01000005.1	95.044	686	33	1	1	685	82041	82726	0.0	1077	223126	NZ_QOYG01000005.1
ECOR23_PROKKA|ECOR23_04682:-:ECOR23_04682|ECOR23_04682	NZ_QOYG01000005.1	93.938	1600	95	2	1	1599	82041	83639	0.0	2416	223126	NZ_QOYG01000005.1
ECOR44_PROKKA|ECOR44_04289:-:ECOR44_04289|ECOR44_04289	NZ_QOYG01000005.1	100.000	1599	0	0	1	1599	82041	83639	0.0	2953	223126	NZ_QOYG01000005.1
ECOR48_PROKKA|ECOR48_00889:-:ECOR48_00889|ECOR48_00889	NZ_QOYG01000005.1	95.560	1599	71	0	1	1599	82041	83639	0.0	2560	223126	NZ_QOYG01000005.1
ECOR49_PROKKA|ECOR49_01439:-:ECOR49_01439|ECOR49_01439	NZ_QOYG01000005.1	95.247	1599	76	0	1	1599	82041	83639	0.0	2532	223126	NZ_QOYG01000005.1
ECOR50_PROKKA|ECOR50_04505:-:ECOR50_04505|ECOR50_04505	NZ_QOYG01000005.1	95.247	1599	76	0	1	1599	82041	83639	0.0	2532	223126	NZ_QOYG01000005.1
ECOR51_PROKKA|ECOR51_00116:-:ECOR51_00116|ECOR51_00116	NZ_QOYG01000005.1	93.938	1600	95	2	1	1599	82041	83639	0.0	2416	223126	NZ_QOYG01000005.1
ECOR52_PROKKA|ECOR52_04699:-:ECOR52_04699|ECOR52_04699	NZ_QOYG01000005.1	93.938	1600	95	2	1	1599	82041	83639	0.0	2416	223126	NZ_QOYG01000005.1
ECOR53_PROKKA|ECOR53_04595:-:ECOR53_04595|ECOR53_04595	NZ_QOYG01000005.1	92.745	1599	116	0	1	1599	82041	83639	0.0	2311	223126	NZ_QOYG01000005.1
ECOR54_PROKKA|ECOR54_00272:-:ECOR54_00272|ECOR54_00272	NZ_QOYG01000005.1	93.938	1600	95	2	1	1599	82041	83639	0.0	2416	223126	NZ_QOYG01000005.1
ECOR55_PROKKA|ECOR55_00114:-:ECOR55_00114|ECOR55_00114	NZ_QOYG01000005.1	93.938	1600	95	2	1	1599	82041	83639	0.0	2416	223126	NZ_QOYG01000005.1
ECOR56_PROKKA|ECOR56_04350:-:ECOR56_04350|ECOR56_04350	NZ_QOYG01000005.1	93.875	1600	96	2	1	1599	82041	83639	0.0	2410	223126	NZ_QOYG01000005.1
