qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_3545:sra:HGG68_RS08690|2b84de5415a5ca9477dbe99a5510e5bf_3545	NZ_QOYG01000028.1	98.551	138	2	0	1	138	23474	23337	1.12e-65	244	38251	NZ_QOYG01000028.1
ECOR11_PROKKA|ECOR11_02630:sra:ECOR11_02630|ECOR11_02630	NZ_QOYG01000028.1	99.275	138	1	0	1	138	23474	23337	2.40e-67	250	38251	NZ_QOYG01000028.1
ECOR14_PROKKA|ECOR14_03193:sra:ECOR14_03193|ECOR14_03193	NZ_QOYG01000028.1	99.275	138	1	0	1	138	23474	23337	2.40e-67	250	38251	NZ_QOYG01000028.1
ECOR16_PROKKA|ECOR16_01669:sra:ECOR16_01669|ECOR16_01669	NZ_QOYG01000028.1	99.275	138	1	0	1	138	23474	23337	2.40e-67	250	38251	NZ_QOYG01000028.1
ECOR23_PROKKA|ECOR23_01695:-:ECOR23_01695|ECOR23_01695	NZ_QOYG01000028.1	98.551	138	2	0	1	138	23474	23337	1.12e-65	244	38251	NZ_QOYG01000028.1
ECOR44_PROKKA|ECOR44_02872:-:ECOR44_02872|ECOR44_02872	NZ_QOYG01000028.1	100.000	138	0	0	1	138	23474	23337	5.16e-69	255	38251	NZ_QOYG01000028.1
ECOR48_PROKKA|ECOR48_03091:-:ECOR48_03091|ECOR48_03091	NZ_QOYG01000028.1	100.000	138	0	0	1	138	23474	23337	5.16e-69	255	38251	NZ_QOYG01000028.1
ECOR49_PROKKA|ECOR49_02557:-:ECOR49_02557|ECOR49_02557	NZ_QOYG01000028.1	100.000	138	0	0	1	138	23474	23337	5.16e-69	255	38251	NZ_QOYG01000028.1
ECOR4_PROKKA|ECOR4_02448:-:ECOR4_02448|ECOR4_02448	NZ_QOYG01000028.1	99.275	138	1	0	1	138	23474	23337	2.40e-67	250	38251	NZ_QOYG01000028.1
ECOR51_PROKKA|ECOR51_02137:-:ECOR51_02137|ECOR51_02137	NZ_QOYG01000028.1	98.551	138	2	0	1	138	23474	23337	1.12e-65	244	38251	NZ_QOYG01000028.1
ECOR52_PROKKA|ECOR52_01771:-:ECOR52_01771|ECOR52_01771	NZ_QOYG01000028.1	98.551	138	2	0	1	138	23474	23337	1.12e-65	244	38251	NZ_QOYG01000028.1
ECOR53_PROKKA|ECOR53_01864:-:ECOR53_01864|ECOR53_01864	NZ_QOYG01000028.1	98.551	138	2	0	1	138	23474	23337	1.12e-65	244	38251	NZ_QOYG01000028.1
ECOR54_PROKKA|ECOR54_01860:-:ECOR54_01860|ECOR54_01860	NZ_QOYG01000028.1	98.551	138	2	0	1	138	23474	23337	1.12e-65	244	38251	NZ_QOYG01000028.1
ECOR55_PROKKA|ECOR55_01942:-:ECOR55_01942|ECOR55_01942	NZ_QOYG01000028.1	98.551	138	2	0	1	138	23474	23337	1.12e-65	244	38251	NZ_QOYG01000028.1
ECOR56_PROKKA|ECOR56_02185:-:ECOR56_02185|ECOR56_02185	NZ_QOYG01000028.1	98.551	138	2	0	1	138	23474	23337	1.12e-65	244	38251	NZ_QOYG01000028.1
ECOR60_PROKKA|ECOR60_03699:-:ECOR60_03699|ECOR60_03699	NZ_QOYG01000028.1	98.551	138	2	0	1	138	23474	23337	1.12e-65	244	38251	NZ_QOYG01000028.1
ECOR61_PROKKA|ECOR61_03822:-:ECOR61_03822|ECOR61_03822	NZ_QOYG01000028.1	98.551	138	2	0	1	138	23474	23337	1.12e-65	244	38251	NZ_QOYG01000028.1
ECOR62_PROKKA|ECOR62_03715:-:ECOR62_03715|ECOR62_03715	NZ_QOYG01000028.1	98.551	138	2	0	1	138	23474	23337	1.12e-65	244	38251	NZ_QOYG01000028.1
ECOR64_PROKKA|ECOR64_02195:-:ECOR64_02195|ECOR64_02195	NZ_QOYG01000028.1	98.551	138	2	0	1	138	23474	23337	1.12e-65	244	38251	NZ_QOYG01000028.1
ECOR66_PROKKA|ECOR66_02022:-:ECOR66_02022|ECOR66_02022	NZ_QOYG01000028.1	98.551	138	2	0	1	138	23474	23337	1.12e-65	244	38251	NZ_QOYG01000028.1
ECOR6_PROKKA|ECOR6_02087:-:ECOR6_02087|ECOR6_02087	NZ_QOYG01000028.1	99.275	138	1	0	1	138	23474	23337	2.40e-67	250	38251	NZ_QOYG01000028.1
ECOR8_PROKKA|ECOR8_02746:-:ECOR8_02746|ECOR8_02746	NZ_QOYG01000028.1	99.275	138	1	0	1	138	23474	23337	2.40e-67	250	38251	NZ_QOYG01000028.1
KE21|HKKLMMAK_00189:sra:HKKLMMAK_00189|HKKLMMAK_00189	NZ_QOYG01000028.1	98.551	138	2	0	1	138	23474	23337	1.12e-65	244	38251	NZ_QOYG01000028.1
KE24|FLBELDDJ_04288:sra:FLBELDDJ_04288|FLBELDDJ_04288	NZ_QOYG01000028.1	97.826	138	3	0	1	138	23474	23337	5.19e-64	239	38251	NZ_QOYG01000028.1
KE25|NKLEEENC_04633:sra:NKLEEENC_04633|NKLEEENC_04633	NZ_QOYG01000028.1	98.551	138	2	0	1	138	23474	23337	1.12e-65	244	38251	NZ_QOYG01000028.1
KE26|AFHKKBMH_02243:sra:AFHKKBMH_02243|AFHKKBMH_02243	NZ_QOYG01000028.1	98.551	138	2	0	1	138	23474	23337	1.12e-65	244	38251	NZ_QOYG01000028.1
KE4|NBLHDMPF_01970:sra:NBLHDMPF_01970|NBLHDMPF_01970	NZ_QOYG01000028.1	98.551	138	2	0	1	138	23474	23337	1.12e-65	244	38251	NZ_QOYG01000028.1
KE40|EEHHMH_12250:sra:EEHHMH_12250|EEHHMH_12250	NZ_QOYG01000028.1	100.000	138	0	0	1	138	23474	23337	5.16e-69	255	38251	NZ_QOYG01000028.1
KE41|PNKGMM_16565:sra:PNKGMM_16565|PNKGMM_16565	NZ_QOYG01000028.1	98.551	138	2	0	1	138	23474	23337	1.12e-65	244	38251	NZ_QOYG01000028.1
KE46|DADKIG_11945:sra:DADKIG_11945|DADKIG_11945	NZ_QOYG01000028.1	100.000	138	0	0	1	138	23474	23337	5.16e-69	255	38251	NZ_QOYG01000028.1
KE47|NHFOKF_24290:sra:NHFOKF_24290|NHFOKF_24290	NZ_QOYG01000028.1	100.000	138	0	0	1	138	23474	23337	5.16e-69	255	38251	NZ_QOYG01000028.1
KE48_PROKKA|KE48_04621:sra:KE48_04621|KE48_04621	NZ_QOYG01000028.1	98.551	138	2	0	1	138	23474	23337	1.12e-65	244	38251	NZ_QOYG01000028.1
KE50|OOFCCB_18150:sra:OOFCCB_18150|OOFCCB_18150	NZ_QOYG01000028.1	98.551	138	2	0	1	138	23474	23337	1.12e-65	244	38251	NZ_QOYG01000028.1
KE51|BHDFJC_14265:sra:BHDFJC_14265|BHDFJC_14265	NZ_QOYG01000028.1	98.551	138	2	0	1	138	23474	23337	1.12e-65	244	38251	NZ_QOYG01000028.1
KE54|NBPOCE_02950:sra:NBPOCE_02950|NBPOCE_02950	NZ_QOYG01000028.1	98.551	138	2	0	1	138	23474	23337	1.12e-65	244	38251	NZ_QOYG01000028.1
KE55|HDLJKA_12085:sra:HDLJKA_12085|HDLJKA_12085	NZ_QOYG01000028.1	100.000	138	0	0	1	138	23474	23337	5.16e-69	255	38251	NZ_QOYG01000028.1
KE58|FKGHDH_12260:sra:FKGHDH_12260|FKGHDH_12260	NZ_QOYG01000028.1	99.275	138	1	0	1	138	23474	23337	2.40e-67	250	38251	NZ_QOYG01000028.1
LRPF007|PGOAJBJE_01743:sra:PGOAJBJE_01743|PGOAJBJE_01743	NZ_QOYG01000028.1	98.551	138	2	0	1	138	23474	23337	1.12e-65	244	38251	NZ_QOYG01000028.1
LRPF62|CPONALDP_02682:sra:CPONALDP_02682|CPONALDP_02682	NZ_QOYG01000028.1	98.551	138	2	0	1	138	23474	23337	1.12e-65	244	38251	NZ_QOYG01000028.1
MG1655|9d38f563c3a26fdef9221ebcd767f53a_3194:sra:b1480|9d38f563c3a26fdef9221ebcd767f53a_3194	NZ_QOYG01000028.1	99.275	138	1	0	1	138	23474	23337	2.40e-67	250	38251	NZ_QOYG01000028.1
UTI89|a370e86af943a50f23d4c066bcb16592_3245:sra:IFE20_RS07980|a370e86af943a50f23d4c066bcb16592_3245	NZ_QOYG01000028.1	98.551	138	2	0	1	138	23474	23337	1.12e-65	244	38251	NZ_QOYG01000028.1
W3110|a99aee7d8774ee1318b35b64abeb3eab_3101:sra:Y75_RS07810|a99aee7d8774ee1318b35b64abeb3eab_3101	NZ_QOYG01000028.1	99.275	138	1	0	1	138	23474	23337	2.40e-67	250	38251	NZ_QOYG01000028.1
