qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_1876:artJ:HGG68_RS04585|2b84de5415a5ca9477dbe99a5510e5bf_1876	NZ_QOYG01000008.1	97.678	732	17	0	1	732	108731	108000	0.0	1258	196976	NZ_QOYG01000008.1
ECOR11_PROKKA|ECOR11_03016:artJ:ECOR11_03016|ECOR11_03016	NZ_QOYG01000008.1	97.131	732	21	0	1	732	108731	108000	0.0	1236	196976	NZ_QOYG01000008.1
ECOR14_PROKKA|ECOR14_02277:artJ:ECOR14_02277|ECOR14_02277	NZ_QOYG01000008.1	97.131	732	21	0	1	732	108731	108000	0.0	1236	196976	NZ_QOYG01000008.1
ECOR16_PROKKA|ECOR16_01935:artJ:ECOR16_01935|ECOR16_01935	NZ_QOYG01000008.1	98.361	732	12	0	1	732	108731	108000	0.0	1286	196976	NZ_QOYG01000008.1
ECOR23_PROKKA|ECOR23_03974:-:ECOR23_03974|ECOR23_03974	NZ_QOYG01000008.1	97.678	732	17	0	1	732	108731	108000	0.0	1258	196976	NZ_QOYG01000008.1
ECOR44_PROKKA|ECOR44_01500:-:ECOR44_01500|ECOR44_01500	NZ_QOYG01000008.1	98.087	732	14	0	1	732	108731	108000	0.0	1275	196976	NZ_QOYG01000008.1
ECOR48_PROKKA|ECOR48_03387:-:ECOR48_03387|ECOR48_03387	NZ_QOYG01000008.1	99.044	732	7	0	1	732	108731	108000	0.0	1314	196976	NZ_QOYG01000008.1
ECOR49_PROKKA|ECOR49_03518:-:ECOR49_03518|ECOR49_03518	NZ_QOYG01000008.1	98.224	732	13	0	1	732	108731	108000	0.0	1280	196976	NZ_QOYG01000008.1
ECOR4_PROKKA|ECOR4_00271:-:ECOR4_00271|ECOR4_00271	NZ_QOYG01000008.1	97.131	732	21	0	1	732	108731	108000	0.0	1236	196976	NZ_QOYG01000008.1
ECOR50_PROKKA|ECOR50_05212:-:ECOR50_05212|ECOR50_05212	NZ_QOYG01000008.1	98.224	732	13	0	1	732	108731	108000	0.0	1280	196976	NZ_QOYG01000008.1
ECOR51_PROKKA|ECOR51_03823:-:ECOR51_03823|ECOR51_03823	NZ_QOYG01000008.1	97.678	732	17	0	1	732	108731	108000	0.0	1258	196976	NZ_QOYG01000008.1
ECOR52_PROKKA|ECOR52_03360:-:ECOR52_03360|ECOR52_03360	NZ_QOYG01000008.1	97.678	732	17	0	1	732	108731	108000	0.0	1258	196976	NZ_QOYG01000008.1
ECOR53_PROKKA|ECOR53_04129:-:ECOR53_04129|ECOR53_04129	NZ_QOYG01000008.1	97.678	732	17	0	1	732	108731	108000	0.0	1258	196976	NZ_QOYG01000008.1
ECOR54_PROKKA|ECOR54_04093:-:ECOR54_04093|ECOR54_04093	NZ_QOYG01000008.1	97.678	732	17	0	1	732	108731	108000	0.0	1258	196976	NZ_QOYG01000008.1
ECOR55_PROKKA|ECOR55_02142:-:ECOR55_02142|ECOR55_02142	NZ_QOYG01000008.1	97.678	732	17	0	1	732	108731	108000	0.0	1258	196976	NZ_QOYG01000008.1
ECOR56_PROKKA|ECOR56_02304:-:ECOR56_02304|ECOR56_02304	NZ_QOYG01000008.1	97.678	732	17	0	1	732	108731	108000	0.0	1258	196976	NZ_QOYG01000008.1
ECOR60_PROKKA|ECOR60_01315:-:ECOR60_01315|ECOR60_01315	NZ_QOYG01000008.1	97.678	732	17	0	1	732	108731	108000	0.0	1258	196976	NZ_QOYG01000008.1
ECOR61_PROKKA|ECOR61_02830:-:ECOR61_02830|ECOR61_02830	NZ_QOYG01000008.1	97.814	732	16	0	1	732	108731	108000	0.0	1264	196976	NZ_QOYG01000008.1
ECOR62_PROKKA|ECOR62_03935:-:ECOR62_03935|ECOR62_03935	NZ_QOYG01000008.1	97.814	732	16	0	1	732	108731	108000	0.0	1264	196976	NZ_QOYG01000008.1
ECOR64_PROKKA|ECOR64_02864:-:ECOR64_02864|ECOR64_02864	NZ_QOYG01000008.1	97.814	732	16	0	1	732	108731	108000	0.0	1264	196976	NZ_QOYG01000008.1
ECOR66_PROKKA|ECOR66_02709:-:ECOR66_02709|ECOR66_02709	NZ_QOYG01000008.1	97.951	732	15	0	1	732	108731	108000	0.0	1269	196976	NZ_QOYG01000008.1
ECOR6_PROKKA|ECOR6_00849:-:ECOR6_00849|ECOR6_00849	NZ_QOYG01000008.1	97.131	732	21	0	1	732	108731	108000	0.0	1236	196976	NZ_QOYG01000008.1
ECOR8_PROKKA|ECOR8_01738:-:ECOR8_01738|ECOR8_01738	NZ_QOYG01000008.1	97.131	732	21	0	1	732	108731	108000	0.0	1236	196976	NZ_QOYG01000008.1
KE21|HKKLMMAK_04406:artJ:HKKLMMAK_04406|HKKLMMAK_04406	NZ_QOYG01000008.1	97.814	732	16	0	1	732	108731	108000	0.0	1264	196976	NZ_QOYG01000008.1
KE25|NKLEEENC_00470:artJ:NKLEEENC_00470|NKLEEENC_00470	NZ_QOYG01000008.1	97.814	732	16	0	1	732	108731	108000	0.0	1264	196976	NZ_QOYG01000008.1
KE26|AFHKKBMH_01492:artJ:AFHKKBMH_01492|AFHKKBMH_01492	NZ_QOYG01000008.1	97.814	732	16	0	1	732	108731	108000	0.0	1264	196976	NZ_QOYG01000008.1
KE4|NBLHDMPF_02783:artJ:NBLHDMPF_02783|NBLHDMPF_02783	NZ_QOYG01000008.1	97.678	732	17	0	1	732	108731	108000	0.0	1258	196976	NZ_QOYG01000008.1
KE40|EEHHMH_08725:artJ:EEHHMH_08725|EEHHMH_08725	NZ_QOYG01000008.1	100.000	732	0	0	1	732	108731	108000	0.0	1352	196976	NZ_QOYG01000008.1
KE41|PNKGMM_20160:artJ:PNKGMM_20160|PNKGMM_20160	NZ_QOYG01000008.1	97.814	732	16	0	1	732	108731	108000	0.0	1264	196976	NZ_QOYG01000008.1
KE46|DADKIG_14915:artJ:DADKIG_14915|DADKIG_14915	NZ_QOYG01000008.1	98.634	732	10	0	1	732	108731	108000	0.0	1297	196976	NZ_QOYG01000008.1
KE47|NHFOKF_02955:artJ:NHFOKF_02955|NHFOKF_02955	NZ_QOYG01000008.1	100.000	732	0	0	1	732	108731	108000	0.0	1352	196976	NZ_QOYG01000008.1
KE48_PROKKA|KE48_00429:artJ:KE48_00429|KE48_00429	NZ_QOYG01000008.1	97.678	732	17	0	1	732	108731	108000	0.0	1258	196976	NZ_QOYG01000008.1
KE50|OOFCCB_21510:artJ:OOFCCB_21510|OOFCCB_21510	NZ_QOYG01000008.1	97.814	732	16	0	1	732	108731	108000	0.0	1264	196976	NZ_QOYG01000008.1
KE51|BHDFJC_18275:artJ:BHDFJC_18275|BHDFJC_18275	NZ_QOYG01000008.1	97.678	732	17	0	1	732	108731	108000	0.0	1258	196976	NZ_QOYG01000008.1
KE54|NBPOCE_25535:artJ:NBPOCE_25535|NBPOCE_25535	NZ_QOYG01000008.1	97.814	732	16	0	1	732	108731	108000	0.0	1264	196976	NZ_QOYG01000008.1
KE55|HDLJKA_15375:artJ:HDLJKA_15375|HDLJKA_15375	NZ_QOYG01000008.1	98.224	732	13	0	1	732	108731	108000	0.0	1280	196976	NZ_QOYG01000008.1
KE58|FKGHDH_15500:artJ:FKGHDH_15500|FKGHDH_15500	NZ_QOYG01000008.1	97.131	732	21	0	1	732	108731	108000	0.0	1236	196976	NZ_QOYG01000008.1
LRPF007|PGOAJBJE_01129:artJ:PGOAJBJE_01129|PGOAJBJE_01129	NZ_QOYG01000008.1	97.814	732	16	0	1	732	108731	108000	0.0	1264	196976	NZ_QOYG01000008.1
LRPF62|CPONALDP_03357:artJ:CPONALDP_03357|CPONALDP_03357	NZ_QOYG01000008.1	97.814	732	16	0	1	732	108731	108000	0.0	1264	196976	NZ_QOYG01000008.1
MG1655|9d38f563c3a26fdef9221ebcd767f53a_1849:artJ:b0860|9d38f563c3a26fdef9221ebcd767f53a_1849	NZ_QOYG01000008.1	97.131	732	21	0	1	732	108731	108000	0.0	1236	196976	NZ_QOYG01000008.1
UTI89|a370e86af943a50f23d4c066bcb16592_1664:artJ:IFE20_RS04075|a370e86af943a50f23d4c066bcb16592_1664	NZ_QOYG01000008.1	97.678	732	17	0	1	732	108731	108000	0.0	1258	196976	NZ_QOYG01000008.1
W3110|a99aee7d8774ee1318b35b64abeb3eab_1792:artJ:Y75_RS04480|a99aee7d8774ee1318b35b64abeb3eab_1792	NZ_QOYG01000008.1	97.131	732	21	0	1	732	108731	108000	0.0	1236	196976	NZ_QOYG01000008.1
