qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
ECOR11_PROKKA|ECOR11_01945:-:ECOR11_01945|ECOR11_01945	NZ_CP051263.1	96.552	522	18	0	1	522	628525	628004	0.0	865	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR14_PROKKA|ECOR14_02741:ybcI:ECOR14_02741|ECOR14_02741	NZ_CP051263.1	96.552	522	18	0	1	522	628525	628004	0.0	865	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR16_PROKKA|ECOR16_01460:ybcI:ECOR16_01460|ECOR16_01460	NZ_CP051263.1	96.360	522	19	0	1	522	628525	628004	0.0	859	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR23_PROKKA|ECOR23_03618:-:ECOR23_03618|ECOR23_03618	NZ_CP051263.1	100.000	417	0	0	1	417	628420	628004	0.0	771	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR44_PROKKA|ECOR44_04082:-:ECOR44_04082|ECOR44_04082	NZ_CP051263.1	95.785	522	22	0	1	522	628525	628004	0.0	843	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR48_PROKKA|ECOR48_02877:-:ECOR48_02877|ECOR48_02877	NZ_CP051263.1	95.977	522	21	0	1	522	628525	628004	0.0	848	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR49_PROKKA|ECOR49_04339:-:ECOR49_04339|ECOR49_04339	NZ_CP051263.1	96.169	522	20	0	1	522	628525	628004	0.0	854	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR4_PROKKA|ECOR4_03673:-:ECOR4_03673|ECOR4_03673	NZ_CP051263.1	96.552	522	18	0	1	522	628525	628004	0.0	865	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR50_PROKKA|ECOR50_02244:-:ECOR50_02244|ECOR50_02244	NZ_CP051263.1	96.169	522	20	0	1	522	628525	628004	0.0	854	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR51_PROKKA|ECOR51_00505:-:ECOR51_00505|ECOR51_00505	NZ_CP051263.1	100.000	417	0	0	1	417	628420	628004	0.0	771	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR52_PROKKA|ECOR52_03934:-:ECOR52_03934|ECOR52_03934	NZ_CP051263.1	100.000	417	0	0	1	417	628420	628004	0.0	771	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR53_PROKKA|ECOR53_03784:-:ECOR53_03784|ECOR53_03784	NZ_CP051263.1	98.851	522	6	0	1	522	628525	628004	0.0	931	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR54_PROKKA|ECOR54_03425:-:ECOR54_03425|ECOR54_03425	NZ_CP051263.1	100.000	417	0	0	1	417	628420	628004	0.0	771	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR55_PROKKA|ECOR55_03165:-:ECOR55_03165|ECOR55_03165	NZ_CP051263.1	100.000	417	0	0	1	417	628420	628004	0.0	771	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR56_PROKKA|ECOR56_00635:-:ECOR56_00635|ECOR56_00635	NZ_CP051263.1	100.000	417	0	0	1	417	628420	628004	0.0	771	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR60_PROKKA|ECOR60_00446:-:ECOR60_00446|ECOR60_00446	NZ_CP051263.1	98.851	522	6	0	1	522	628525	628004	0.0	931	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR61_PROKKA|ECOR61_03664:-:ECOR61_03664|ECOR61_03664	NZ_CP051263.1	97.126	522	15	0	1	522	628525	628004	0.0	881	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR62_PROKKA|ECOR62_03424:-:ECOR62_03424|ECOR62_03424	NZ_CP051263.1	97.126	522	15	0	1	522	628525	628004	0.0	881	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR64_PROKKA|ECOR64_03882:-:ECOR64_03882|ECOR64_03882	NZ_CP051263.1	97.126	522	15	0	1	522	628525	628004	0.0	881	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR66_PROKKA|ECOR66_00186:-:ECOR66_00186|ECOR66_00186	NZ_CP051263.1	97.126	522	15	0	1	522	628525	628004	0.0	881	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR6_PROKKA|ECOR6_03150:-:ECOR6_03150|ECOR6_03150	NZ_CP051263.1	96.360	522	19	0	1	522	628525	628004	0.0	859	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR8_PROKKA|ECOR8_02558:-:ECOR8_02558|ECOR8_02558	NZ_CP051263.1	96.360	522	19	0	1	522	628525	628004	0.0	859	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
KE21|HKKLMMAK_04086:ybcI:HKKLMMAK_04086|HKKLMMAK_04086	NZ_CP051263.1	96.743	522	17	0	1	522	628525	628004	0.0	870	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
KE24|FLBELDDJ_00358:ybcI:FLBELDDJ_00358|FLBELDDJ_00358	NZ_CP051263.1	97.126	522	15	0	1	522	628525	628004	0.0	881	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
KE25|NKLEEENC_00791:ybcI:NKLEEENC_00791|NKLEEENC_00791	NZ_CP051263.1	96.743	522	17	0	1	522	628525	628004	0.0	870	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
KE26|AFHKKBMH_01170:ybcI:AFHKKBMH_01170|AFHKKBMH_01170	NZ_CP051263.1	96.743	522	17	0	1	522	628525	628004	0.0	870	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
KE4|NBLHDMPF_03184:ybcI:NBLHDMPF_03184|NBLHDMPF_03184	NZ_CP051263.1	98.851	522	6	0	1	522	628525	628004	0.0	931	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
KE40|EEHHMH_06345:ybcI:EEHHMH_06345|EEHHMH_06345	NZ_CP051263.1	96.169	522	20	0	1	522	628525	628004	0.0	854	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
KE41|PNKGMM_21695:ybcI:PNKGMM_21695|PNKGMM_21695	NZ_CP051263.1	97.126	522	15	0	1	522	628525	628004	0.0	881	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
