qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_801:yahE:HGG68_RS01955|2b84de5415a5ca9477dbe99a5510e5bf_801	NZ_QOYG01000023.1	96.644	864	29	0	1	864	23757	22894	0.0	1435	66849	NZ_QOYG01000023.1
ECOR11_PROKKA|ECOR11_03592:yahE:ECOR11_03592|ECOR11_03592	NZ_QOYG01000023.1	97.106	864	25	0	1	864	23757	22894	0.0	1458	66849	NZ_QOYG01000023.1
ECOR14_PROKKA|ECOR14_01553:-:ECOR14_01553|ECOR14_01553	NZ_QOYG01000023.1	97.106	864	25	0	1	864	23757	22894	0.0	1458	66849	NZ_QOYG01000023.1
ECOR23_PROKKA|ECOR23_00290:-:ECOR23_00290|ECOR23_00290	NZ_QOYG01000023.1	96.644	864	29	0	1	864	23757	22894	0.0	1435	66849	NZ_QOYG01000023.1
ECOR44_PROKKA|ECOR44_02926:-:ECOR44_02926|ECOR44_02926	NZ_QOYG01000023.1	97.801	864	19	0	1	864	23757	22894	0.0	1491	66849	NZ_QOYG01000023.1
ECOR48_PROKKA|ECOR48_04108:-:ECOR48_04108|ECOR48_04108	NZ_QOYG01000023.1	98.495	864	13	0	1	864	23757	22894	0.0	1524	66849	NZ_QOYG01000023.1
ECOR49_PROKKA|ECOR49_00929:-:ECOR49_00929|ECOR49_00929	NZ_QOYG01000023.1	99.537	864	4	0	1	864	23757	22894	0.0	1574	66849	NZ_QOYG01000023.1
ECOR4_PROKKA|ECOR4_01776:-:ECOR4_01776|ECOR4_01776	NZ_QOYG01000023.1	97.106	864	25	0	1	864	23757	22894	0.0	1458	66849	NZ_QOYG01000023.1
ECOR50_PROKKA|ECOR50_00136:-:ECOR50_00136|ECOR50_00136	NZ_QOYG01000023.1	99.537	864	4	0	1	864	23757	22894	0.0	1574	66849	NZ_QOYG01000023.1
ECOR51_PROKKA|ECOR51_00535:-:ECOR51_00535|ECOR51_00535	NZ_QOYG01000023.1	96.644	864	29	0	1	864	23757	22894	0.0	1435	66849	NZ_QOYG01000023.1
ECOR52_PROKKA|ECOR52_00337:-:ECOR52_00337|ECOR52_00337	NZ_QOYG01000023.1	96.644	864	29	0	1	864	23757	22894	0.0	1435	66849	NZ_QOYG01000023.1
ECOR53_PROKKA|ECOR53_00026:-:ECOR53_00026|ECOR53_00026	NZ_QOYG01000023.1	96.991	864	26	0	1	864	23757	22894	0.0	1452	66849	NZ_QOYG01000023.1
ECOR54_PROKKA|ECOR54_00410:-:ECOR54_00410|ECOR54_00410	NZ_QOYG01000023.1	96.644	864	29	0	1	864	23757	22894	0.0	1435	66849	NZ_QOYG01000023.1
ECOR55_PROKKA|ECOR55_00395:-:ECOR55_00395|ECOR55_00395	NZ_QOYG01000023.1	96.644	864	29	0	1	864	23757	22894	0.0	1435	66849	NZ_QOYG01000023.1
ECOR56_PROKKA|ECOR56_00785:-:ECOR56_00785|ECOR56_00785	NZ_QOYG01000023.1	96.644	864	29	0	1	864	23757	22894	0.0	1435	66849	NZ_QOYG01000023.1
ECOR60_PROKKA|ECOR60_03994:-:ECOR60_03994|ECOR60_03994	NZ_QOYG01000023.1	96.991	864	26	0	1	864	23757	22894	0.0	1452	66849	NZ_QOYG01000023.1
ECOR61_PROKKA|ECOR61_03306:-:ECOR61_03306|ECOR61_03306	NZ_QOYG01000023.1	97.338	864	23	0	1	864	23757	22894	0.0	1469	66849	NZ_QOYG01000023.1
ECOR62_PROKKA|ECOR62_03616:-:ECOR62_03616|ECOR62_03616	NZ_QOYG01000023.1	97.338	864	23	0	1	864	23757	22894	0.0	1469	66849	NZ_QOYG01000023.1
ECOR64_PROKKA|ECOR64_03696:-:ECOR64_03696|ECOR64_03696	NZ_QOYG01000023.1	96.991	864	26	0	1	864	23757	22894	0.0	1452	66849	NZ_QOYG01000023.1
ECOR66_PROKKA|ECOR66_00596:-:ECOR66_00596|ECOR66_00596	NZ_QOYG01000023.1	96.875	864	27	0	1	864	23757	22894	0.0	1447	66849	NZ_QOYG01000023.1
ECOR6_PROKKA|ECOR6_02520:-:ECOR6_02520|ECOR6_02520	NZ_QOYG01000023.1	97.106	864	25	0	1	864	23757	22894	0.0	1458	66849	NZ_QOYG01000023.1
ECOR8_PROKKA|ECOR8_01000:-:ECOR8_01000|ECOR8_01000	NZ_QOYG01000023.1	97.106	864	25	0	1	864	23757	22894	0.0	1458	66849	NZ_QOYG01000023.1
KE21|HKKLMMAK_03882:HKKLMMAK_03882:HKKLMMAK_03882|HKKLMMAK_03882	NZ_QOYG01000023.1	96.875	864	27	0	1	864	23757	22894	0.0	1447	66849	NZ_QOYG01000023.1
KE24|FLBELDDJ_00552:FLBELDDJ_00552:FLBELDDJ_00552|FLBELDDJ_00552	NZ_QOYG01000023.1	95.370	864	40	0	1	864	23757	22894	0.0	1375	66849	NZ_QOYG01000023.1
KE25|NKLEEENC_00999:NKLEEENC_00999:NKLEEENC_00999|NKLEEENC_00999	NZ_QOYG01000023.1	96.875	864	27	0	1	864	23757	22894	0.0	1447	66849	NZ_QOYG01000023.1
KE26|AFHKKBMH_00967:AFHKKBMH_00967:AFHKKBMH_00967|AFHKKBMH_00967	NZ_QOYG01000023.1	96.875	864	27	0	1	864	23757	22894	0.0	1447	66849	NZ_QOYG01000023.1
KE4|NBLHDMPF_03379:NBLHDMPF_03379:NBLHDMPF_03379|NBLHDMPF_03379	NZ_QOYG01000023.1	96.991	864	26	0	1	864	23757	22894	0.0	1452	66849	NZ_QOYG01000023.1
KE40|EEHHMH_05220:yahE:EEHHMH_05220|EEHHMH_05220	NZ_QOYG01000023.1	100.000	864	0	0	1	864	23757	22894	0.0	1596	66849	NZ_QOYG01000023.1
KE41|PNKGMM_22695:yahE:PNKGMM_22695|PNKGMM_22695	NZ_QOYG01000023.1	96.991	864	26	0	1	864	23757	22894	0.0	1452	66849	NZ_QOYG01000023.1
KE46|DADKIG_17670:yahE:DADKIG_17670|DADKIG_17670	NZ_QOYG01000023.1	96.181	864	33	0	1	864	23757	22894	0.0	1413	66849	NZ_QOYG01000023.1
KE47|NHFOKF_06375:yahE:NHFOKF_06375|NHFOKF_06375	NZ_QOYG01000023.1	100.000	864	0	0	1	864	23757	22894	0.0	1596	66849	NZ_QOYG01000023.1
KE48_PROKKA|KE48_00895:-:KE48_00895|KE48_00895	NZ_QOYG01000023.1	96.644	864	29	0	1	864	23757	22894	0.0	1435	66849	NZ_QOYG01000023.1
KE50|OOFCCB_24145:yahE:OOFCCB_24145|OOFCCB_24145	NZ_QOYG01000023.1	96.875	864	27	0	1	864	23757	22894	0.0	1447	66849	NZ_QOYG01000023.1
KE51|BHDFJC_20730:yahE:BHDFJC_20730|BHDFJC_20730	NZ_QOYG01000023.1	96.644	864	29	0	1	864	23757	22894	0.0	1435	66849	NZ_QOYG01000023.1
KE54|NBPOCE_22875:yahE:NBPOCE_22875|NBPOCE_22875	NZ_QOYG01000023.1	96.875	864	27	0	1	864	23757	22894	0.0	1447	66849	NZ_QOYG01000023.1
KE55|HDLJKA_18050:yahE:HDLJKA_18050|HDLJKA_18050	NZ_QOYG01000023.1	98.727	864	11	0	1	864	23757	22894	0.0	1535	66849	NZ_QOYG01000023.1
KE58|FKGHDH_18195:yahE:FKGHDH_18195|FKGHDH_18195	NZ_QOYG01000023.1	97.106	864	25	0	1	864	23757	22894	0.0	1458	66849	NZ_QOYG01000023.1
LRPF007|PGOAJBJE_02320:PGOAJBJE_02320:PGOAJBJE_02320|PGOAJBJE_02320	NZ_QOYG01000023.1	97.685	864	20	0	1	864	23757	22894	0.0	1485	66849	NZ_QOYG01000023.1
LRPF62|CPONALDP_03889:CPONALDP_03889:CPONALDP_03889|CPONALDP_03889	NZ_QOYG01000023.1	96.875	864	27	0	1	864	23757	22894	0.0	1447	66849	NZ_QOYG01000023.1
MG1655|9d38f563c3a26fdef9221ebcd767f53a_702:yahE:b0319|9d38f563c3a26fdef9221ebcd767f53a_702	NZ_QOYG01000023.1	97.106	864	25	0	1	864	23757	22894	0.0	1458	66849	NZ_QOYG01000023.1
