qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_9542:phnL:HGG68_RS23400|2b84de5415a5ca9477dbe99a5510e5bf_9542	NZ_QOYG01000022.1	91.630	681	57	0	1	681	59965	59285	0.0	942	67964	NZ_QOYG01000022.1
ECOR11_PROKKA|ECOR11_00068:phnL:ECOR11_00068|ECOR11_00068	NZ_QOYG01000022.1	93.548	682	42	2	1	681	59965	59285	0.0	1014	67964	NZ_QOYG01000022.1
ECOR14_PROKKA|ECOR14_00371:phnL:ECOR14_00371|ECOR14_00371	NZ_QOYG01000022.1	93.833	681	42	0	1	681	59965	59285	0.0	1026	67964	NZ_QOYG01000022.1
ECOR16_PROKKA|ECOR16_01126:phnL:ECOR16_01126|ECOR16_01126	NZ_QOYG01000022.1	93.402	682	43	2	1	681	59965	59285	0.0	1009	67964	NZ_QOYG01000022.1
ECOR23_PROKKA|ECOR23_04131:-:ECOR23_04131|ECOR23_04131	NZ_QOYG01000022.1	91.630	681	57	0	1	681	59965	59285	0.0	942	67964	NZ_QOYG01000022.1
ECOR44_PROKKA|ECOR44_02397:-:ECOR44_02397|ECOR44_02397	NZ_QOYG01000022.1	99.853	681	1	0	1	681	59965	59285	0.0	1253	67964	NZ_QOYG01000022.1
ECOR48_PROKKA|ECOR48_04327:-:ECOR48_04327|ECOR48_04327	NZ_QOYG01000022.1	99.853	681	1	0	1	681	59965	59285	0.0	1253	67964	NZ_QOYG01000022.1
ECOR49_PROKKA|ECOR49_02702:-:ECOR49_02702|ECOR49_02702	NZ_QOYG01000022.1	95.595	681	30	0	1	681	59965	59285	0.0	1092	67964	NZ_QOYG01000022.1
ECOR4_PROKKA|ECOR4_02749:-:ECOR4_02749|ECOR4_02749	NZ_QOYG01000022.1	93.402	682	43	2	1	681	59965	59285	0.0	1009	67964	NZ_QOYG01000022.1
ECOR50_PROKKA|ECOR50_02044:-:ECOR50_02044|ECOR50_02044	NZ_QOYG01000022.1	95.595	681	30	0	1	681	59965	59285	0.0	1092	67964	NZ_QOYG01000022.1
ECOR51_PROKKA|ECOR51_04430:-:ECOR51_04430|ECOR51_04430	NZ_QOYG01000022.1	91.630	681	57	0	1	681	59965	59285	0.0	942	67964	NZ_QOYG01000022.1
ECOR52_PROKKA|ECOR52_04139:-:ECOR52_04139|ECOR52_04139	NZ_QOYG01000022.1	91.630	681	57	0	1	681	59965	59285	0.0	942	67964	NZ_QOYG01000022.1
ECOR53_PROKKA|ECOR53_00763:-:ECOR53_00763|ECOR53_00763	NZ_QOYG01000022.1	95.154	681	33	0	1	681	59965	59285	0.0	1075	67964	NZ_QOYG01000022.1
ECOR54_PROKKA|ECOR54_03718:-:ECOR54_03718|ECOR54_03718	NZ_QOYG01000022.1	91.630	681	57	0	1	681	59965	59285	0.0	942	67964	NZ_QOYG01000022.1
ECOR55_PROKKA|ECOR55_04393:-:ECOR55_04393|ECOR55_04393	NZ_QOYG01000022.1	91.630	681	57	0	1	681	59965	59285	0.0	942	67964	NZ_QOYG01000022.1
ECOR56_PROKKA|ECOR56_03860:-:ECOR56_03860|ECOR56_03860	NZ_QOYG01000022.1	91.630	681	57	0	1	681	59965	59285	0.0	942	67964	NZ_QOYG01000022.1
ECOR60_PROKKA|ECOR60_00667:-:ECOR60_00667|ECOR60_00667	NZ_QOYG01000022.1	95.154	681	33	0	1	681	59965	59285	0.0	1075	67964	NZ_QOYG01000022.1
ECOR61_PROKKA|ECOR61_03420:-:ECOR61_03420|ECOR61_03420	NZ_QOYG01000022.1	92.658	681	50	0	1	681	59965	59285	0.0	981	67964	NZ_QOYG01000022.1
ECOR62_PROKKA|ECOR62_01222:-:ECOR62_01222|ECOR62_01222	NZ_QOYG01000022.1	92.658	681	50	0	1	681	59965	59285	0.0	981	67964	NZ_QOYG01000022.1
ECOR64_PROKKA|ECOR64_01717:-:ECOR64_01717|ECOR64_01717	NZ_QOYG01000022.1	92.364	681	52	0	1	681	59965	59285	0.0	970	67964	NZ_QOYG01000022.1
ECOR66_PROKKA|ECOR66_04095:-:ECOR66_04095|ECOR66_04095	NZ_QOYG01000022.1	92.805	681	49	0	1	681	59965	59285	0.0	987	67964	NZ_QOYG01000022.1
ECOR6_PROKKA|ECOR6_00051:-:ECOR6_00051|ECOR6_00051	NZ_QOYG01000022.1	95.455	682	29	2	1	681	59965	59285	0.0	1086	67964	NZ_QOYG01000022.1
ECOR8_PROKKA|ECOR8_04520:-:ECOR8_04520|ECOR8_04520	NZ_QOYG01000022.1	93.548	682	42	2	1	681	59965	59285	0.0	1014	67964	NZ_QOYG01000022.1
