qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_674:-:HGG68_RS01640|2b84de5415a5ca9477dbe99a5510e5bf_674	NC_000913.3	94.217	1712	99	0	1	1712	250070	248359	0.0	2614	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR11_PROKKA|ECOR11_03233:flhA_1:ECOR11_03233|ECOR11_03233	NC_000913.3	100.000	1740	0	0	1	1740	250097	248358	0.0	3214	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR14_PROKKA|ECOR14_03343:flhA_2:ECOR14_03343|ECOR14_03343	NC_000913.3	100.000	1740	0	0	1	1740	250097	248358	0.0	3214	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR16_PROKKA|ECOR16_02287:flhA_2:ECOR16_02287|ECOR16_02287	NC_000913.3	97.010	1739	52	0	1	1739	250097	248359	0.0	2924	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR23_PROKKA|ECOR23_01808:-:ECOR23_01808|ECOR23_01808	NC_000913.3	94.307	1739	99	0	1	1739	250097	248359	0.0	2663	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR44_PROKKA|ECOR44_03394:-:ECOR44_03394|ECOR44_03394	NC_000913.3	95.965	1735	70	0	1	1735	250097	248363	0.0	2817	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR48_PROKKA|ECOR48_04006:-:ECOR48_04006|ECOR48_04006	NC_000913.3	95.115	1699	83	0	391	2089	250061	248363	0.0	2678	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR49_PROKKA|ECOR49_01797:-:ECOR49_01797|ECOR49_01797	NC_000913.3	94.879	1699	87	0	391	2089	250061	248363	0.0	2656	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR4_PROKKA|ECOR4_01834:-:ECOR4_01834|ECOR4_01834	NC_000913.3	97.359	1704	45	0	391	2094	250061	248358	0.0	2898	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR50_PROKKA|ECOR50_03460:-:ECOR50_03460|ECOR50_03460	NC_000913.3	94.938	1699	86	0	391	2089	250061	248363	0.0	2662	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR51_PROKKA|ECOR51_00615:-:ECOR51_00615|ECOR51_00615	NC_000913.3	94.307	1739	99	0	1	1739	250097	248359	0.0	2663	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR52_PROKKA|ECOR52_02050:-:ECOR52_02050|ECOR52_02050	NC_000913.3	94.307	1739	99	0	1	1739	250097	248359	0.0	2663	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR53_PROKKA|ECOR53_00108:-:ECOR53_00108|ECOR53_00108	NC_000913.3	94.192	1739	101	0	1	1739	250097	248359	0.0	2652	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR54_PROKKA|ECOR54_00491:-:ECOR54_00491|ECOR54_00491	NC_000913.3	94.307	1739	99	0	1	1739	250097	248359	0.0	2663	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR55_PROKKA|ECOR55_00476:-:ECOR55_00476|ECOR55_00476	NC_000913.3	94.250	1739	100	0	1	1739	250097	248359	0.0	2658	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR56_PROKKA|ECOR56_00843:-:ECOR56_00843|ECOR56_00843	NC_000913.3	94.307	1739	99	0	1	1739	250097	248359	0.0	2663	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR60_PROKKA|ECOR60_02461:-:ECOR60_02461|ECOR60_02461	NC_000913.3	94.192	1739	101	0	1	1739	250097	248359	0.0	2652	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR61_PROKKA|ECOR61_02567:-:ECOR61_02567|ECOR61_02567	NC_000913.3	94.135	1739	102	0	1	1739	250097	248359	0.0	2647	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR62_PROKKA|ECOR62_03676:-:ECOR62_03676|ECOR62_03676	NC_000913.3	94.135	1739	102	0	1	1739	250097	248359	0.0	2647	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
