qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_3934:ydiU:HGG68_RS09630|2b84de5415a5ca9477dbe99a5510e5bf_3934	NZ_QOYG01000001.1	97.773	1437	32	0	1	1437	209947	208511	0.0	2477	782163	NZ_QOYG01000001.1
ECOR11_PROKKA|ECOR11_03435:-:ECOR11_03435|ECOR11_03435	NZ_QOYG01000001.1	98.191	1437	26	0	1	1437	209947	208511	0.0	2510	782163	NZ_QOYG01000001.1
ECOR14_PROKKA|ECOR14_00953:selO:ECOR14_00953|ECOR14_00953	NZ_QOYG01000001.1	98.051	1437	28	0	1	1437	209947	208511	0.0	2499	782163	NZ_QOYG01000001.1
ECOR16_PROKKA|ECOR16_01282:selO:ECOR16_01282|ECOR16_01282	NZ_QOYG01000001.1	98.191	1437	26	0	1	1437	209947	208511	0.0	2510	782163	NZ_QOYG01000001.1
ECOR23_PROKKA|ECOR23_02354:-:ECOR23_02354|ECOR23_02354	NZ_QOYG01000001.1	97.773	1437	32	0	1	1437	209947	208511	0.0	2477	782163	NZ_QOYG01000001.1
ECOR44_PROKKA|ECOR44_04404:-:ECOR44_04404|ECOR44_04404	NZ_QOYG01000001.1	98.469	1437	22	0	1	1437	209947	208511	0.0	2532	782163	NZ_QOYG01000001.1
ECOR48_PROKKA|ECOR48_03866:-:ECOR48_03866|ECOR48_03866	NZ_QOYG01000001.1	98.678	1437	19	0	1	1437	209947	208511	0.0	2549	782163	NZ_QOYG01000001.1
ECOR4_PROKKA|ECOR4_03993:-:ECOR4_03993|ECOR4_03993	NZ_QOYG01000001.1	98.528	815	12	0	1	815	209947	209133	0.0	1439	782163	NZ_QOYG01000001.1
ECOR50_PROKKA|ECOR50_01525:-:ECOR50_01525|ECOR50_01525	NZ_QOYG01000001.1	98.956	1437	15	0	1	1437	209947	208511	0.0	2571	782163	NZ_QOYG01000001.1
ECOR51_PROKKA|ECOR51_02384:-:ECOR51_02384|ECOR51_02384	NZ_QOYG01000001.1	97.773	1437	32	0	1	1437	209947	208511	0.0	2477	782163	NZ_QOYG01000001.1
ECOR52_PROKKA|ECOR52_01453:-:ECOR52_01453|ECOR52_01453	NZ_QOYG01000001.1	97.773	1437	32	0	1	1437	209947	208511	0.0	2477	782163	NZ_QOYG01000001.1
ECOR53_PROKKA|ECOR53_02423:-:ECOR53_02423|ECOR53_02423	NZ_QOYG01000001.1	97.773	1437	32	0	1	1437	209947	208511	0.0	2477	782163	NZ_QOYG01000001.1
ECOR54_PROKKA|ECOR54_02134:-:ECOR54_02134|ECOR54_02134	NZ_QOYG01000001.1	97.773	1437	32	0	1	1437	209947	208511	0.0	2477	782163	NZ_QOYG01000001.1
ECOR55_PROKKA|ECOR55_03903:-:ECOR55_03903|ECOR55_03903	NZ_QOYG01000001.1	97.773	1437	32	0	1	1437	209947	208511	0.0	2477	782163	NZ_QOYG01000001.1
ECOR56_PROKKA|ECOR56_03287:-:ECOR56_03287|ECOR56_03287	NZ_QOYG01000001.1	97.773	1437	32	0	1	1437	209947	208511	0.0	2477	782163	NZ_QOYG01000001.1
ECOR60_PROKKA|ECOR60_03513:-:ECOR60_03513|ECOR60_03513	NZ_QOYG01000001.1	97.773	1437	32	0	1	1437	209947	208511	0.0	2477	782163	NZ_QOYG01000001.1
ECOR61_PROKKA|ECOR61_00630:-:ECOR61_00630|ECOR61_00630	NZ_QOYG01000001.1	97.773	1437	32	0	1	1437	209947	208511	0.0	2477	782163	NZ_QOYG01000001.1
ECOR62_PROKKA|ECOR62_03104:-:ECOR62_03104|ECOR62_03104	NZ_QOYG01000001.1	97.773	1437	32	0	1	1437	209947	208511	0.0	2477	782163	NZ_QOYG01000001.1
