qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
ECOR11_PROKKA|ECOR11_01945:-:ECOR11_01945|ECOR11_01945	NZ_QOYG01000010.1	98.084	522	10	0	1	522	103745	103224	0.0	909	122006	NZ_QOYG01000010.1
ECOR14_PROKKA|ECOR14_02741:ybcI:ECOR14_02741|ECOR14_02741	NZ_QOYG01000010.1	98.084	522	10	0	1	522	103745	103224	0.0	909	122006	NZ_QOYG01000010.1
ECOR16_PROKKA|ECOR16_01460:ybcI:ECOR16_01460|ECOR16_01460	NZ_QOYG01000010.1	97.893	522	11	0	1	522	103745	103224	0.0	904	122006	NZ_QOYG01000010.1
ECOR23_PROKKA|ECOR23_03618:-:ECOR23_03618|ECOR23_03618	NZ_QOYG01000010.1	96.643	417	14	0	1	417	103640	103224	0.0	693	122006	NZ_QOYG01000010.1
ECOR44_PROKKA|ECOR44_04082:-:ECOR44_04082|ECOR44_04082	NZ_QOYG01000010.1	97.510	522	13	0	1	522	103745	103224	0.0	893	122006	NZ_QOYG01000010.1
ECOR48_PROKKA|ECOR48_02877:-:ECOR48_02877|ECOR48_02877	NZ_QOYG01000010.1	99.042	522	5	0	1	522	103745	103224	0.0	937	122006	NZ_QOYG01000010.1
ECOR49_PROKKA|ECOR49_04339:-:ECOR49_04339|ECOR49_04339	NZ_QOYG01000010.1	98.467	522	8	0	1	522	103745	103224	0.0	920	122006	NZ_QOYG01000010.1
ECOR4_PROKKA|ECOR4_03673:-:ECOR4_03673|ECOR4_03673	NZ_QOYG01000010.1	98.084	522	10	0	1	522	103745	103224	0.0	909	122006	NZ_QOYG01000010.1
ECOR50_PROKKA|ECOR50_02244:-:ECOR50_02244|ECOR50_02244	NZ_QOYG01000010.1	98.467	522	8	0	1	522	103745	103224	0.0	920	122006	NZ_QOYG01000010.1
ECOR51_PROKKA|ECOR51_00505:-:ECOR51_00505|ECOR51_00505	NZ_QOYG01000010.1	96.643	417	14	0	1	417	103640	103224	0.0	693	122006	NZ_QOYG01000010.1
ECOR52_PROKKA|ECOR52_03934:-:ECOR52_03934|ECOR52_03934	NZ_QOYG01000010.1	96.643	417	14	0	1	417	103640	103224	0.0	693	122006	NZ_QOYG01000010.1
ECOR53_PROKKA|ECOR53_03784:-:ECOR53_03784|ECOR53_03784	NZ_QOYG01000010.1	97.318	522	14	0	1	522	103745	103224	0.0	887	122006	NZ_QOYG01000010.1
ECOR54_PROKKA|ECOR54_03425:-:ECOR54_03425|ECOR54_03425	NZ_QOYG01000010.1	96.643	417	14	0	1	417	103640	103224	0.0	693	122006	NZ_QOYG01000010.1
ECOR55_PROKKA|ECOR55_03165:-:ECOR55_03165|ECOR55_03165	NZ_QOYG01000010.1	96.643	417	14	0	1	417	103640	103224	0.0	693	122006	NZ_QOYG01000010.1
ECOR56_PROKKA|ECOR56_00635:-:ECOR56_00635|ECOR56_00635	NZ_QOYG01000010.1	96.643	417	14	0	1	417	103640	103224	0.0	693	122006	NZ_QOYG01000010.1
ECOR60_PROKKA|ECOR60_00446:-:ECOR60_00446|ECOR60_00446	NZ_QOYG01000010.1	97.318	522	14	0	1	522	103745	103224	0.0	887	122006	NZ_QOYG01000010.1
ECOR61_PROKKA|ECOR61_03664:-:ECOR61_03664|ECOR61_03664	NZ_QOYG01000010.1	98.276	522	9	0	1	522	103745	103224	0.0	915	122006	NZ_QOYG01000010.1
ECOR62_PROKKA|ECOR62_03424:-:ECOR62_03424|ECOR62_03424	NZ_QOYG01000010.1	98.276	522	9	0	1	522	103745	103224	0.0	915	122006	NZ_QOYG01000010.1
ECOR64_PROKKA|ECOR64_03882:-:ECOR64_03882|ECOR64_03882	NZ_QOYG01000010.1	98.276	522	9	0	1	522	103745	103224	0.0	915	122006	NZ_QOYG01000010.1
ECOR66_PROKKA|ECOR66_00186:-:ECOR66_00186|ECOR66_00186	NZ_QOYG01000010.1	98.276	522	9	0	1	522	103745	103224	0.0	915	122006	NZ_QOYG01000010.1
ECOR6_PROKKA|ECOR6_03150:-:ECOR6_03150|ECOR6_03150	NZ_QOYG01000010.1	99.042	522	5	0	1	522	103745	103224	0.0	937	122006	NZ_QOYG01000010.1
ECOR8_PROKKA|ECOR8_02558:-:ECOR8_02558|ECOR8_02558	NZ_QOYG01000010.1	98.276	522	9	0	1	522	103745	103224	0.0	915	122006	NZ_QOYG01000010.1
KE21|HKKLMMAK_04086:ybcI:HKKLMMAK_04086|HKKLMMAK_04086	NZ_QOYG01000010.1	97.893	522	11	0	1	522	103745	103224	0.0	904	122006	NZ_QOYG01000010.1
KE24|FLBELDDJ_00358:ybcI:FLBELDDJ_00358|FLBELDDJ_00358	NZ_QOYG01000010.1	97.893	522	11	0	1	522	103745	103224	0.0	904	122006	NZ_QOYG01000010.1
KE25|NKLEEENC_00791:ybcI:NKLEEENC_00791|NKLEEENC_00791	NZ_QOYG01000010.1	97.893	522	11	0	1	522	103745	103224	0.0	904	122006	NZ_QOYG01000010.1
KE26|AFHKKBMH_01170:ybcI:AFHKKBMH_01170|AFHKKBMH_01170	NZ_QOYG01000010.1	97.893	522	11	0	1	522	103745	103224	0.0	904	122006	NZ_QOYG01000010.1
KE4|NBLHDMPF_03184:ybcI:NBLHDMPF_03184|NBLHDMPF_03184	NZ_QOYG01000010.1	97.318	522	14	0	1	522	103745	103224	0.0	887	122006	NZ_QOYG01000010.1
KE40|EEHHMH_06345:ybcI:EEHHMH_06345|EEHHMH_06345	NZ_QOYG01000010.1	100.000	522	0	0	1	522	103745	103224	0.0	965	122006	NZ_QOYG01000010.1
KE41|PNKGMM_21695:ybcI:PNKGMM_21695|PNKGMM_21695	NZ_QOYG01000010.1	98.276	522	9	0	1	522	103745	103224	0.0	915	122006	NZ_QOYG01000010.1
KE46|DADKIG_16635:ybcI:DADKIG_16635|DADKIG_16635	NZ_QOYG01000010.1	97.318	522	14	0	1	522	103745	103224	0.0	887	122006	NZ_QOYG01000010.1
KE47|NHFOKF_05250:ybcI:NHFOKF_05250|NHFOKF_05250	NZ_QOYG01000010.1	99.808	522	1	0	1	522	103745	103224	0.0	959	122006	NZ_QOYG01000010.1
KE48_PROKKA|KE48_00714:ybcI:KE48_00714|KE48_00714	NZ_QOYG01000010.1	96.643	417	14	0	1	417	103640	103224	0.0	693	122006	NZ_QOYG01000010.1
KE50|OOFCCB_23115:ybcI:OOFCCB_23115|OOFCCB_23115	NZ_QOYG01000010.1	97.893	522	11	0	1	522	103745	103224	0.0	904	122006	NZ_QOYG01000010.1
KE51|BHDFJC_19775:ybcI:BHDFJC_19775|BHDFJC_19775	NZ_QOYG01000010.1	96.643	417	14	0	1	417	103640	103224	0.0	693	122006	NZ_QOYG01000010.1
KE54|NBPOCE_23890:ybcI:NBPOCE_23890|NBPOCE_23890	NZ_QOYG01000010.1	97.893	522	11	0	1	522	103745	103224	0.0	904	122006	NZ_QOYG01000010.1
KE55|HDLJKA_16980:ybcI:HDLJKA_16980|HDLJKA_16980	NZ_QOYG01000010.1	100.000	522	0	0	1	522	103745	103224	0.0	965	122006	NZ_QOYG01000010.1
KE58|FKGHDH_17100:ybcI:FKGHDH_17100|FKGHDH_17100	NZ_QOYG01000010.1	98.276	522	9	0	1	522	103745	103224	0.0	915	122006	NZ_QOYG01000010.1
LRPF007|PGOAJBJE_00833:ybcI:PGOAJBJE_00833|PGOAJBJE_00833	NZ_QOYG01000010.1	97.318	522	14	0	1	522	103745	103224	0.0	887	122006	NZ_QOYG01000010.1
LRPF62|CPONALDP_03681:ybcI:CPONALDP_03681|CPONALDP_03681	NZ_QOYG01000010.1	97.893	522	11	0	1	522	103745	103224	0.0	904	122006	NZ_QOYG01000010.1
MG1655|9d38f563c3a26fdef9221ebcd767f53a_1126:ybcI:b0527|9d38f563c3a26fdef9221ebcd767f53a_1126	NZ_QOYG01000010.1	98.084	522	10	0	1	522	103745	103224	0.0	909	122006	NZ_QOYG01000010.1
UTI89|a370e86af943a50f23d4c066bcb16592_1072:ybcI:IFE20_RS02640|a370e86af943a50f23d4c066bcb16592_1072	NZ_QOYG01000010.1	98.276	522	9	0	1	522	103745	103224	0.0	915	122006	NZ_QOYG01000010.1
W3110|a99aee7d8774ee1318b35b64abeb3eab_1084:ybcI:Y75_RS02700|a99aee7d8774ee1318b35b64abeb3eab_1084	NZ_QOYG01000010.1	98.084	522	10	0	1	522	103745	103224	0.0	909	122006	NZ_QOYG01000010.1
