qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_1888:ybjQ:HGG68_RS04615|2b84de5415a5ca9477dbe99a5510e5bf_1888	NZ_QOYG01000008.1	95.370	324	15	0	1	324	115186	115509	5.50e-147	516	196976	NZ_QOYG01000008.1
ECOR11_PROKKA|ECOR11_03010:-:ECOR11_03010|ECOR11_03010	NZ_QOYG01000008.1	96.296	324	12	0	1	324	115186	115509	5.46e-152	532	196976	NZ_QOYG01000008.1
ECOR14_PROKKA|ECOR14_02283:-:ECOR14_02283|ECOR14_02283	NZ_QOYG01000008.1	96.296	324	12	0	1	324	115186	115509	5.46e-152	532	196976	NZ_QOYG01000008.1
ECOR16_PROKKA|ECOR16_01941:-:ECOR16_01941|ECOR16_01941	NZ_QOYG01000008.1	96.296	324	12	0	1	324	115186	115509	5.46e-152	532	196976	NZ_QOYG01000008.1
ECOR23_PROKKA|ECOR23_03968:-:ECOR23_03968|ECOR23_03968	NZ_QOYG01000008.1	95.370	324	15	0	1	324	115186	115509	5.50e-147	516	196976	NZ_QOYG01000008.1
ECOR44_PROKKA|ECOR44_01493:-:ECOR44_01493|ECOR44_01493	NZ_QOYG01000008.1	99.691	324	1	0	1	324	115186	115509	2.47e-170	593	196976	NZ_QOYG01000008.1
ECOR48_PROKKA|ECOR48_03394:-:ECOR48_03394|ECOR48_03394	NZ_QOYG01000008.1	94.136	324	19	0	1	324	115186	115509	2.58e-140	494	196976	NZ_QOYG01000008.1
ECOR49_PROKKA|ECOR49_03525:-:ECOR49_03525|ECOR49_03525	NZ_QOYG01000008.1	95.679	324	14	0	1	324	115186	115509	1.18e-148	521	196976	NZ_QOYG01000008.1
ECOR4_PROKKA|ECOR4_00265:-:ECOR4_00265|ECOR4_00265	NZ_QOYG01000008.1	96.296	324	12	0	1	324	115186	115509	5.46e-152	532	196976	NZ_QOYG01000008.1
ECOR50_PROKKA|ECOR50_05219:-:ECOR50_05219|ECOR50_05219	NZ_QOYG01000008.1	95.679	324	14	0	1	324	115186	115509	1.18e-148	521	196976	NZ_QOYG01000008.1
ECOR51_PROKKA|ECOR51_03817:-:ECOR51_03817|ECOR51_03817	NZ_QOYG01000008.1	95.370	324	15	0	1	324	115186	115509	5.50e-147	516	196976	NZ_QOYG01000008.1
ECOR52_PROKKA|ECOR52_03354:-:ECOR52_03354|ECOR52_03354	NZ_QOYG01000008.1	95.370	324	15	0	1	324	115186	115509	5.50e-147	516	196976	NZ_QOYG01000008.1
ECOR53_PROKKA|ECOR53_04123:-:ECOR53_04123|ECOR53_04123	NZ_QOYG01000008.1	95.370	324	15	0	1	324	115186	115509	5.50e-147	516	196976	NZ_QOYG01000008.1
ECOR54_PROKKA|ECOR54_04087:-:ECOR54_04087|ECOR54_04087	NZ_QOYG01000008.1	95.370	324	15	0	1	324	115186	115509	5.50e-147	516	196976	NZ_QOYG01000008.1
ECOR55_PROKKA|ECOR55_02148:-:ECOR55_02148|ECOR55_02148	NZ_QOYG01000008.1	95.370	324	15	0	1	324	115186	115509	5.50e-147	516	196976	NZ_QOYG01000008.1
ECOR56_PROKKA|ECOR56_02310:-:ECOR56_02310|ECOR56_02310	NZ_QOYG01000008.1	95.370	324	15	0	1	324	115186	115509	5.50e-147	516	196976	NZ_QOYG01000008.1
ECOR60_PROKKA|ECOR60_01309:-:ECOR60_01309|ECOR60_01309	NZ_QOYG01000008.1	95.370	324	15	0	1	324	115186	115509	5.50e-147	516	196976	NZ_QOYG01000008.1
ECOR61_PROKKA|ECOR61_02824:-:ECOR61_02824|ECOR61_02824	NZ_QOYG01000008.1	95.370	324	15	0	1	324	115186	115509	5.50e-147	516	196976	NZ_QOYG01000008.1
ECOR62_PROKKA|ECOR62_03941:-:ECOR62_03941|ECOR62_03941	NZ_QOYG01000008.1	95.370	324	15	0	1	324	115186	115509	5.50e-147	516	196976	NZ_QOYG01000008.1
ECOR64_PROKKA|ECOR64_02870:-:ECOR64_02870|ECOR64_02870	NZ_QOYG01000008.1	95.370	324	15	0	1	324	115186	115509	5.50e-147	516	196976	NZ_QOYG01000008.1
ECOR66_PROKKA|ECOR66_02715:-:ECOR66_02715|ECOR66_02715	NZ_QOYG01000008.1	95.370	324	15	0	1	324	115186	115509	5.50e-147	516	196976	NZ_QOYG01000008.1
ECOR6_PROKKA|ECOR6_00855:-:ECOR6_00855|ECOR6_00855	NZ_QOYG01000008.1	96.296	324	12	0	1	324	115186	115509	5.46e-152	532	196976	NZ_QOYG01000008.1
ECOR8_PROKKA|ECOR8_01744:-:ECOR8_01744|ECOR8_01744	NZ_QOYG01000008.1	96.296	324	12	0	1	324	115186	115509	5.46e-152	532	196976	NZ_QOYG01000008.1
KE21|HKKLMMAK_04412:HKKLMMAK_04412:HKKLMMAK_04412|HKKLMMAK_04412	NZ_QOYG01000008.1	95.370	324	15	0	1	324	115186	115509	5.50e-147	516	196976	NZ_QOYG01000008.1
KE25|NKLEEENC_00464:NKLEEENC_00464:NKLEEENC_00464|NKLEEENC_00464	NZ_QOYG01000008.1	95.370	324	15	0	1	324	115186	115509	5.50e-147	516	196976	NZ_QOYG01000008.1
KE26|AFHKKBMH_01498:AFHKKBMH_01498:AFHKKBMH_01498|AFHKKBMH_01498	NZ_QOYG01000008.1	95.370	324	15	0	1	324	115186	115509	5.50e-147	516	196976	NZ_QOYG01000008.1
KE4|NBLHDMPF_02777:NBLHDMPF_02777:NBLHDMPF_02777|NBLHDMPF_02777	NZ_QOYG01000008.1	95.370	324	15	0	1	324	115186	115509	5.50e-147	516	196976	NZ_QOYG01000008.1
KE40|EEHHMH_08760:ybjQ:EEHHMH_08760|EEHHMH_08760	NZ_QOYG01000008.1	100.000	324	0	0	1	324	115186	115509	5.31e-172	599	196976	NZ_QOYG01000008.1
KE41|PNKGMM_20130:ybjQ:PNKGMM_20130|PNKGMM_20130	NZ_QOYG01000008.1	95.370	324	15	0	1	324	115186	115509	5.50e-147	516	196976	NZ_QOYG01000008.1
KE46|DADKIG_14880:ybjQ:DADKIG_14880|DADKIG_14880	NZ_QOYG01000008.1	96.605	324	11	0	1	324	115186	115509	1.17e-153	538	196976	NZ_QOYG01000008.1
KE47|NHFOKF_02920:ybjQ:NHFOKF_02920|NHFOKF_02920	NZ_QOYG01000008.1	100.000	324	0	0	1	324	115186	115509	5.31e-172	599	196976	NZ_QOYG01000008.1
KE48_PROKKA|KE48_00423:-:KE48_00423|KE48_00423	NZ_QOYG01000008.1	95.370	324	15	0	1	324	115186	115509	5.50e-147	516	196976	NZ_QOYG01000008.1
KE50|OOFCCB_21480:ybjQ:OOFCCB_21480|OOFCCB_21480	NZ_QOYG01000008.1	95.370	324	15	0	1	324	115186	115509	5.50e-147	516	196976	NZ_QOYG01000008.1
KE51|BHDFJC_18245:ybjQ:BHDFJC_18245|BHDFJC_18245	NZ_QOYG01000008.1	95.370	324	15	0	1	324	115186	115509	5.50e-147	516	196976	NZ_QOYG01000008.1
KE54|NBPOCE_25565:ybjQ:NBPOCE_25565|NBPOCE_25565	NZ_QOYG01000008.1	95.370	324	15	0	1	324	115186	115509	5.50e-147	516	196976	NZ_QOYG01000008.1
KE55|HDLJKA_15340:ybjQ:HDLJKA_15340|HDLJKA_15340	NZ_QOYG01000008.1	94.136	324	19	0	1	324	115186	115509	2.58e-140	494	196976	NZ_QOYG01000008.1
KE58|FKGHDH_15465:ybjQ:FKGHDH_15465|FKGHDH_15465	NZ_QOYG01000008.1	96.296	324	12	0	1	324	115186	115509	5.46e-152	532	196976	NZ_QOYG01000008.1
LRPF007|PGOAJBJE_01135:PGOAJBJE_01135:PGOAJBJE_01135|PGOAJBJE_01135	NZ_QOYG01000008.1	95.370	324	15	0	1	324	115186	115509	5.50e-147	516	196976	NZ_QOYG01000008.1
LRPF62|CPONALDP_03351:CPONALDP_03351:CPONALDP_03351|CPONALDP_03351	NZ_QOYG01000008.1	95.370	324	15	0	1	324	115186	115509	5.50e-147	516	196976	NZ_QOYG01000008.1
MG1655|9d38f563c3a26fdef9221ebcd767f53a_1861:ybjQ:b0866|9d38f563c3a26fdef9221ebcd767f53a_1861	NZ_QOYG01000008.1	96.296	324	12	0	1	324	115186	115509	5.46e-152	532	196976	NZ_QOYG01000008.1
UTI89|a370e86af943a50f23d4c066bcb16592_1676:ybjQ:IFE20_RS04105|a370e86af943a50f23d4c066bcb16592_1676	NZ_QOYG01000008.1	95.370	324	15	0	1	324	115186	115509	5.50e-147	516	196976	NZ_QOYG01000008.1
W3110|a99aee7d8774ee1318b35b64abeb3eab_1804:ybjQ:Y75_RS04510|a99aee7d8774ee1318b35b64abeb3eab_1804	NZ_QOYG01000008.1	96.296	324	12	0	1	324	115186	115509	5.46e-152	532	196976	NZ_QOYG01000008.1
