qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_5045:rihB:HGG68_RS12385|2b84de5415a5ca9477dbe99a5510e5bf_5045	NZ_QOYG01000001.1	95.223	942	45	0	1	942	675456	674515	0.0	1491	782163	NZ_QOYG01000001.1
ECOR11_PROKKA|ECOR11_01646:rihB:ECOR11_01646|ECOR11_01646	NZ_QOYG01000001.1	96.285	942	35	0	1	942	675456	674515	0.0	1546	782163	NZ_QOYG01000001.1
ECOR14_PROKKA|ECOR14_01908:rihB:ECOR14_01908|ECOR14_01908	NZ_QOYG01000001.1	97.134	942	27	0	1	942	675456	674515	0.0	1591	782163	NZ_QOYG01000001.1
ECOR16_PROKKA|ECOR16_00054:rihB:ECOR16_00054|ECOR16_00054	NZ_QOYG01000001.1	96.285	942	35	0	1	942	675456	674515	0.0	1546	782163	NZ_QOYG01000001.1
ECOR23_PROKKA|ECOR23_01500:-:ECOR23_01500|ECOR23_01500	NZ_QOYG01000001.1	95.223	942	45	0	1	942	675456	674515	0.0	1491	782163	NZ_QOYG01000001.1
ECOR44_PROKKA|ECOR44_04691:-:ECOR44_04691|ECOR44_04691	NZ_QOYG01000001.1	96.815	942	30	0	1	942	675456	674515	0.0	1574	782163	NZ_QOYG01000001.1
ECOR48_PROKKA|ECOR48_04818:-:ECOR48_04818|ECOR48_04818	NZ_QOYG01000001.1	98.726	942	12	0	1	942	675456	674515	0.0	1674	782163	NZ_QOYG01000001.1
ECOR49_PROKKA|ECOR49_03026:-:ECOR49_03026|ECOR49_03026	NZ_QOYG01000001.1	96.497	942	33	0	1	942	675456	674515	0.0	1557	782163	NZ_QOYG01000001.1
ECOR4_PROKKA|ECOR4_02013:-:ECOR4_02013|ECOR4_02013	NZ_QOYG01000001.1	96.285	942	35	0	1	942	675456	674515	0.0	1546	782163	NZ_QOYG01000001.1
ECOR50_PROKKA|ECOR50_02575:-:ECOR50_02575|ECOR50_02575	NZ_QOYG01000001.1	96.497	942	33	0	1	942	675456	674515	0.0	1557	782163	NZ_QOYG01000001.1
ECOR51_PROKKA|ECOR51_01455:-:ECOR51_01455|ECOR51_01455	NZ_QOYG01000001.1	95.223	942	45	0	1	942	675456	674515	0.0	1491	782163	NZ_QOYG01000001.1
