qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_10065:fimD:HGG68_RS24680|2b84de5415a5ca9477dbe99a5510e5bf_10065	NZ_QOYG01000011.1	98.483	2637	40	0	1	2637	35377	38013	0.0	4649	120506	NZ_QOYG01000011.1
ECOR11_PROKKA|ECOR11_03137:fimD:ECOR11_03137|ECOR11_03137	NZ_QOYG01000011.1	98.028	2637	52	0	1	2637	35377	38013	0.0	4582	120506	NZ_QOYG01000011.1
ECOR14_PROKKA|ECOR14_02465:fimD_1:ECOR14_02465|ECOR14_02465	NZ_QOYG01000011.1	98.104	2637	50	0	1	2637	35377	38013	0.0	4593	120506	NZ_QOYG01000011.1
ECOR16_PROKKA|ECOR16_03182:fimD_2:ECOR16_03182|ECOR16_03182	NZ_QOYG01000011.1	98.445	2637	41	0	1	2637	35377	38013	0.0	4643	120506	NZ_QOYG01000011.1
ECOR23_PROKKA|ECOR23_00931:-:ECOR23_00931|ECOR23_00931	NZ_QOYG01000011.1	98.483	2637	40	0	1	2637	35377	38013	0.0	4649	120506	NZ_QOYG01000011.1
ECOR44_PROKKA|ECOR44_00287:-:ECOR44_00287|ECOR44_00287	NZ_QOYG01000011.1	100.000	2637	0	0	1	2637	35377	38013	0.0	4870	120506	NZ_QOYG01000011.1
ECOR48_PROKKA|ECOR48_02832:-:ECOR48_02832|ECOR48_02832	NZ_QOYG01000011.1	98.369	2637	43	0	1	2637	35377	38013	0.0	4632	120506	NZ_QOYG01000011.1
ECOR49_PROKKA|ECOR49_02275:-:ECOR49_02275|ECOR49_02275	NZ_QOYG01000011.1	98.294	2637	45	0	1	2637	35377	38013	0.0	4621	120506	NZ_QOYG01000011.1
ECOR50_PROKKA|ECOR50_02926:-:ECOR50_02926|ECOR50_02926	NZ_QOYG01000011.1	98.483	2637	40	0	1	2637	35377	38013	0.0	4649	120506	NZ_QOYG01000011.1
ECOR51_PROKKA|ECOR51_04716:-:ECOR51_04716|ECOR51_04716	NZ_QOYG01000011.1	98.332	1979	33	0	545	2523	36035	38013	0.0	3472	120506	NZ_QOYG01000011.1
ECOR52_PROKKA|ECOR52_00987:-:ECOR52_00987|ECOR52_00987	NZ_QOYG01000011.1	98.483	2637	40	0	1	2637	35377	38013	0.0	4649	120506	NZ_QOYG01000011.1
ECOR53_PROKKA|ECOR53_03211:-:ECOR53_03211|ECOR53_03211	NZ_QOYG01000011.1	98.104	2637	50	0	1	2637	35377	38013	0.0	4593	120506	NZ_QOYG01000011.1
ECOR54_PROKKA|ECOR54_00184:-:ECOR54_00184|ECOR54_00184	NZ_QOYG01000011.1	98.483	2637	40	0	1	2637	35377	38013	0.0	4649	120506	NZ_QOYG01000011.1
ECOR55_PROKKA|ECOR55_04599:-:ECOR55_04599|ECOR55_04599	NZ_QOYG01000011.1	98.483	2637	40	0	1	2637	35377	38013	0.0	4649	120506	NZ_QOYG01000011.1
ECOR56_PROKKA|ECOR56_04232:-:ECOR56_04232|ECOR56_04232	NZ_QOYG01000011.1	98.294	2637	45	0	1	2637	35377	38013	0.0	4621	120506	NZ_QOYG01000011.1
ECOR60_PROKKA|ECOR60_00830:-:ECOR60_00830|ECOR60_00830	NZ_QOYG01000011.1	98.256	2637	46	0	1	2637	35377	38013	0.0	4615	120506	NZ_QOYG01000011.1
ECOR61_PROKKA|ECOR61_00843:-:ECOR61_00843|ECOR61_00843	NZ_QOYG01000011.1	98.104	2637	50	0	1	2637	35377	38013	0.0	4593	120506	NZ_QOYG01000011.1
ECOR62_PROKKA|ECOR62_04279:-:ECOR62_04279|ECOR62_04279	NZ_QOYG01000011.1	98.104	2637	50	0	1	2637	35377	38013	0.0	4593	120506	NZ_QOYG01000011.1
ECOR64_PROKKA|ECOR64_03495:-:ECOR64_03495|ECOR64_03495	NZ_QOYG01000011.1	98.104	2637	50	0	1	2637	35377	38013	0.0	4593	120506	NZ_QOYG01000011.1
ECOR66_PROKKA|ECOR66_02230:-:ECOR66_02230|ECOR66_02230	NZ_QOYG01000011.1	98.483	2637	40	0	1	2637	35377	38013	0.0	4649	120506	NZ_QOYG01000011.1
ECOR6_PROKKA|ECOR6_04191:-:ECOR6_04191|ECOR6_04191	NZ_QOYG01000011.1	98.218	2637	47	0	1	2637	35377	38013	0.0	4610	120506	NZ_QOYG01000011.1
ECOR8_PROKKA|ECOR8_02822:-:ECOR8_02822|ECOR8_02822	NZ_QOYG01000011.1	98.407	2637	42	0	1	2637	35377	38013	0.0	4638	120506	NZ_QOYG01000011.1
KE21|HKKLMMAK_03423:fimD_2:HKKLMMAK_03423|HKKLMMAK_03423	NZ_QOYG01000011.1	98.294	2637	45	0	1	2637	35377	38013	0.0	4621	120506	NZ_QOYG01000011.1
KE24|FLBELDDJ_01047:fimD_1:FLBELDDJ_01047|FLBELDDJ_01047	NZ_QOYG01000011.1	98.369	2637	43	0	1	2637	35377	38013	0.0	4632	120506	NZ_QOYG01000011.1
KE25|NKLEEENC_01404:fimD_1:NKLEEENC_01404|NKLEEENC_01404	NZ_QOYG01000011.1	98.294	2637	45	0	1	2637	35377	38013	0.0	4621	120506	NZ_QOYG01000011.1
KE26|AFHKKBMH_00545:fimD_1:AFHKKBMH_00545|AFHKKBMH_00545	NZ_QOYG01000011.1	98.407	2637	42	0	1	2637	35377	38013	0.0	4638	120506	NZ_QOYG01000011.1
KE4|NBLHDMPF_03808:fimD_3:NBLHDMPF_03808|NBLHDMPF_03808	NZ_QOYG01000011.1	98.218	2637	47	0	1	2637	35377	38013	0.0	4610	120506	NZ_QOYG01000011.1
KE40|EEHHMH_02710:fimD:EEHHMH_02710|EEHHMH_02710	NZ_QOYG01000011.1	98.104	2637	50	0	1	2637	35377	38013	0.0	4593	120506	NZ_QOYG01000011.1
KE41|PNKGMM_25105:fimD:PNKGMM_25105|PNKGMM_25105	NZ_QOYG01000011.1	98.104	2637	50	0	1	2637	35377	38013	0.0	4593	120506	NZ_QOYG01000011.1
KE46|DADKIG_20280:fimD:DADKIG_20280|DADKIG_20280	NZ_QOYG01000011.1	98.597	2637	37	0	1	2637	35377	38013	0.0	4665	120506	NZ_QOYG01000011.1
KE47|NHFOKF_08530:fimD:NHFOKF_08530|NHFOKF_08530	NZ_QOYG01000011.1	98.066	2637	51	0	1	2637	35377	38013	0.0	4588	120506	NZ_QOYG01000011.1
KE48_PROKKA|KE48_03413:fimD_2:KE48_03413|KE48_03413	NZ_QOYG01000011.1	98.483	2637	40	0	1	2637	35377	38013	0.0	4649	120506	NZ_QOYG01000011.1
KE50|OOFCCB_01820:fimD:OOFCCB_01820|OOFCCB_01820	NZ_QOYG01000011.1	98.407	2637	42	0	1	2637	35377	38013	0.0	4638	120506	NZ_QOYG01000011.1
KE51|BHDFJC_23195:fimD:BHDFJC_23195|BHDFJC_23195	NZ_QOYG01000011.1	98.483	2637	40	0	1	2637	35377	38013	0.0	4649	120506	NZ_QOYG01000011.1
KE54|NBPOCE_20530:fimD:NBPOCE_20530|NBPOCE_20530	NZ_QOYG01000011.1	98.294	2637	45	0	1	2637	35377	38013	0.0	4621	120506	NZ_QOYG01000011.1
KE55|HDLJKA_20245:fimD:HDLJKA_20245|HDLJKA_20245	NZ_QOYG01000011.1	98.369	2637	43	0	1	2637	35377	38013	0.0	4632	120506	NZ_QOYG01000011.1
KE58|FKGHDH_20410:fimD:FKGHDH_20410|FKGHDH_20410	NZ_QOYG01000011.1	98.635	2637	36	0	1	2637	35377	38013	0.0	4671	120506	NZ_QOYG01000011.1
LRPF007|PGOAJBJE_04167:fimD_3:PGOAJBJE_04167|PGOAJBJE_04167	NZ_QOYG01000011.1	98.597	2637	37	0	1	2637	35377	38013	0.0	4665	120506	NZ_QOYG01000011.1
LRPF62|CPONALDP_04297:fimD_2:CPONALDP_04297|CPONALDP_04297	NZ_QOYG01000011.1	98.294	2637	45	0	1	2637	35377	38013	0.0	4621	120506	NZ_QOYG01000011.1
MG1655|9d38f563c3a26fdef9221ebcd767f53a_9241:fimD:b4317|9d38f563c3a26fdef9221ebcd767f53a_9241	NZ_QOYG01000011.1	98.066	2637	51	0	1	2637	35377	38013	0.0	4588	120506	NZ_QOYG01000011.1
