qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_8249:yibF:HGG68_RS20255|2b84de5415a5ca9477dbe99a5510e5bf_8249	NZ_QOYG01000020.1	98.686	609	8	0	1	609	18281	18889	0.0	1081	71466	NZ_QOYG01000020.1
ECOR11_PROKKA|ECOR11_01165:yibF:ECOR11_01165|ECOR11_01165	NZ_QOYG01000020.1	99.015	609	6	0	1	609	18281	18889	0.0	1092	71466	NZ_QOYG01000020.1
ECOR14_PROKKA|ECOR14_03725:yibF:ECOR14_03725|ECOR14_03725	NZ_QOYG01000020.1	99.179	609	5	0	1	609	18281	18889	0.0	1098	71466	NZ_QOYG01000020.1
ECOR16_PROKKA|ECOR16_02760:yibF:ECOR16_02760|ECOR16_02760	NZ_QOYG01000020.1	99.179	609	5	0	1	609	18281	18889	0.0	1098	71466	NZ_QOYG01000020.1
ECOR23_PROKKA|ECOR23_01107:-:ECOR23_01107|ECOR23_01107	NZ_QOYG01000020.1	98.686	609	8	0	1	609	18281	18889	0.0	1081	71466	NZ_QOYG01000020.1
ECOR44_PROKKA|ECOR44_00657:-:ECOR44_00657|ECOR44_00657	NZ_QOYG01000020.1	100.000	609	0	0	1	609	18281	18889	0.0	1125	71466	NZ_QOYG01000020.1
ECOR48_PROKKA|ECOR48_01964:-:ECOR48_01964|ECOR48_01964	NZ_QOYG01000020.1	100.000	609	0	0	1	609	18281	18889	0.0	1125	71466	NZ_QOYG01000020.1
ECOR49_PROKKA|ECOR49_00483:-:ECOR49_00483|ECOR49_00483	NZ_QOYG01000020.1	99.015	609	6	0	1	609	18281	18889	0.0	1092	71466	NZ_QOYG01000020.1
ECOR4_PROKKA|ECOR4_02435:-:ECOR4_02435|ECOR4_02435	NZ_QOYG01000020.1	99.179	609	5	0	1	609	18281	18889	0.0	1098	71466	NZ_QOYG01000020.1
ECOR50_PROKKA|ECOR50_00574:-:ECOR50_00574|ECOR50_00574	NZ_QOYG01000020.1	99.179	609	5	0	1	609	18281	18889	0.0	1098	71466	NZ_QOYG01000020.1
ECOR51_PROKKA|ECOR51_04027:-:ECOR51_04027|ECOR51_04027	NZ_QOYG01000020.1	98.686	609	8	0	1	609	18281	18889	0.0	1081	71466	NZ_QOYG01000020.1
ECOR52_PROKKA|ECOR52_01163:-:ECOR52_01163|ECOR52_01163	NZ_QOYG01000020.1	98.686	609	8	0	1	609	18281	18889	0.0	1081	71466	NZ_QOYG01000020.1
ECOR53_PROKKA|ECOR53_01068:-:ECOR53_01068|ECOR53_01068	NZ_QOYG01000020.1	98.522	609	9	0	1	609	18281	18889	0.0	1075	71466	NZ_QOYG01000020.1
ECOR54_PROKKA|ECOR54_04286:-:ECOR54_04286|ECOR54_04286	NZ_QOYG01000020.1	98.686	609	8	0	1	609	18281	18889	0.0	1081	71466	NZ_QOYG01000020.1
ECOR55_PROKKA|ECOR55_00269:-:ECOR55_00269|ECOR55_00269	NZ_QOYG01000020.1	98.686	609	8	0	1	609	18281	18889	0.0	1081	71466	NZ_QOYG01000020.1
ECOR56_PROKKA|ECOR56_01650:-:ECOR56_01650|ECOR56_01650	NZ_QOYG01000020.1	98.686	609	8	0	1	609	18281	18889	0.0	1081	71466	NZ_QOYG01000020.1
ECOR60_PROKKA|ECOR60_00276:-:ECOR60_00276|ECOR60_00276	NZ_QOYG01000020.1	98.522	609	9	0	1	609	18281	18889	0.0	1075	71466	NZ_QOYG01000020.1
ECOR61_PROKKA|ECOR61_02952:-:ECOR61_02952|ECOR61_02952	NZ_QOYG01000020.1	98.522	609	9	0	1	609	18281	18889	0.0	1075	71466	NZ_QOYG01000020.1
ECOR62_PROKKA|ECOR62_04772:-:ECOR62_04772|ECOR62_04772	NZ_QOYG01000020.1	98.522	609	9	0	1	609	18281	18889	0.0	1075	71466	NZ_QOYG01000020.1
ECOR64_PROKKA|ECOR64_04764:-:ECOR64_04764|ECOR64_04764	NZ_QOYG01000020.1	99.836	609	1	0	1	609	18281	18889	0.0	1120	71466	NZ_QOYG01000020.1
ECOR66_PROKKA|ECOR66_03722:-:ECOR66_03722|ECOR66_03722	NZ_QOYG01000020.1	99.015	609	6	0	1	609	18281	18889	0.0	1092	71466	NZ_QOYG01000020.1
ECOR6_PROKKA|ECOR6_03939:-:ECOR6_03939|ECOR6_03939	NZ_QOYG01000020.1	99.179	609	5	0	1	609	18281	18889	0.0	1098	71466	NZ_QOYG01000020.1
ECOR8_PROKKA|ECOR8_00671:-:ECOR8_00671|ECOR8_00671	NZ_QOYG01000020.1	99.015	609	6	0	1	609	18281	18889	0.0	1092	71466	NZ_QOYG01000020.1
KE21|HKKLMMAK_02507:yibF:HKKLMMAK_02507|HKKLMMAK_02507	NZ_QOYG01000020.1	98.686	609	8	0	1	609	18281	18889	0.0	1081	71466	NZ_QOYG01000020.1
KE24|FLBELDDJ_01991:yibF:FLBELDDJ_01991|FLBELDDJ_01991	NZ_QOYG01000020.1	98.358	609	10	0	1	609	18281	18889	0.0	1070	71466	NZ_QOYG01000020.1
KE25|NKLEEENC_02350:yibF:NKLEEENC_02350|NKLEEENC_02350	NZ_QOYG01000020.1	98.851	609	7	0	1	609	18281	18889	0.0	1086	71466	NZ_QOYG01000020.1
KE26|AFHKKBMH_04483:yibF:AFHKKBMH_04483|AFHKKBMH_04483	NZ_QOYG01000020.1	98.686	609	8	0	1	609	18281	18889	0.0	1081	71466	NZ_QOYG01000020.1
KE4|NBLHDMPF_05119:yibF:NBLHDMPF_05119|NBLHDMPF_05119	NZ_QOYG01000020.1	98.522	609	9	0	1	609	18281	18889	0.0	1075	71466	NZ_QOYG01000020.1
KE40|EEHHMH_24755:yibF:EEHHMH_24755|EEHHMH_24755	NZ_QOYG01000020.1	100.000	609	0	0	1	609	18281	18889	0.0	1125	71466	NZ_QOYG01000020.1
KE46|DADKIG_00675:yibF:DADKIG_00675|DADKIG_00675	NZ_QOYG01000020.1	99.179	609	5	0	1	609	18281	18889	0.0	1098	71466	NZ_QOYG01000020.1
KE47|NHFOKF_12710:yibF:NHFOKF_12710|NHFOKF_12710	NZ_QOYG01000020.1	100.000	609	0	0	1	609	18281	18889	0.0	1125	71466	NZ_QOYG01000020.1
KE48_PROKKA|KE48_02576:yibF:KE48_02576|KE48_02576	NZ_QOYG01000020.1	98.686	609	8	0	1	609	18281	18889	0.0	1081	71466	NZ_QOYG01000020.1
KE50|OOFCCB_06385:yibF:OOFCCB_06385|OOFCCB_06385	NZ_QOYG01000020.1	98.686	609	8	0	1	609	18281	18889	0.0	1081	71466	NZ_QOYG01000020.1
