qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_10174:holD:HGG68_RS24945|2b84de5415a5ca9477dbe99a5510e5bf_10174	NZ_QOYG01000011.1	99.034	414	4	0	1	414	113788	114201	0.0	743	120506	NZ_QOYG01000011.1
ECOR11_PROKKA|ECOR11_02493:holD:ECOR11_02493|ECOR11_02493	NZ_QOYG01000011.1	99.275	414	3	0	1	414	113788	114201	0.0	749	120506	NZ_QOYG01000011.1
ECOR14_PROKKA|ECOR14_00902:holD:ECOR14_00902|ECOR14_00902	NZ_QOYG01000011.1	97.826	414	9	0	1	414	113788	114201	0.0	715	120506	NZ_QOYG01000011.1
ECOR16_PROKKA|ECOR16_01401:holD:ECOR16_01401|ECOR16_01401	NZ_QOYG01000011.1	98.309	414	7	0	1	414	113788	114201	0.0	726	120506	NZ_QOYG01000011.1
ECOR23_PROKKA|ECOR23_00983:-:ECOR23_00983|ECOR23_00983	NZ_QOYG01000011.1	99.034	414	4	0	1	414	113788	114201	0.0	743	120506	NZ_QOYG01000011.1
ECOR44_PROKKA|ECOR44_00355:-:ECOR44_00355|ECOR44_00355	NZ_QOYG01000011.1	100.000	414	0	0	1	414	113788	114201	0.0	765	120506	NZ_QOYG01000011.1
ECOR48_PROKKA|ECOR48_02773:-:ECOR48_02773|ECOR48_02773	NZ_QOYG01000011.1	98.792	414	5	0	1	414	113788	114201	0.0	737	120506	NZ_QOYG01000011.1
ECOR49_PROKKA|ECOR49_02324:-:ECOR49_02324|ECOR49_02324	NZ_QOYG01000011.1	98.792	414	5	0	1	414	113788	114201	0.0	737	120506	NZ_QOYG01000011.1
ECOR4_PROKKA|ECOR4_01652:-:ECOR4_01652|ECOR4_01652	NZ_QOYG01000011.1	99.034	414	4	0	1	414	113788	114201	0.0	743	120506	NZ_QOYG01000011.1
ECOR50_PROKKA|ECOR50_03831:-:ECOR50_03831|ECOR50_03831	NZ_QOYG01000011.1	98.551	414	6	0	1	414	113788	114201	0.0	732	120506	NZ_QOYG01000011.1
ECOR51_PROKKA|ECOR51_04768:-:ECOR51_04768|ECOR51_04768	NZ_QOYG01000011.1	99.034	414	4	0	1	414	113788	114201	0.0	743	120506	NZ_QOYG01000011.1
ECOR52_PROKKA|ECOR52_01039:-:ECOR52_01039|ECOR52_01039	NZ_QOYG01000011.1	99.034	414	4	0	1	414	113788	114201	0.0	743	120506	NZ_QOYG01000011.1
ECOR54_PROKKA|ECOR54_00132:-:ECOR54_00132|ECOR54_00132	NZ_QOYG01000011.1	99.034	414	4	0	1	414	113788	114201	0.0	743	120506	NZ_QOYG01000011.1
ECOR55_PROKKA|ECOR55_04651:-:ECOR55_04651|ECOR55_04651	NZ_QOYG01000011.1	99.034	414	4	0	1	414	113788	114201	0.0	743	120506	NZ_QOYG01000011.1
ECOR56_PROKKA|ECOR56_04179:-:ECOR56_04179|ECOR56_04179	NZ_QOYG01000011.1	99.034	414	4	0	1	414	113788	114201	0.0	743	120506	NZ_QOYG01000011.1
ECOR60_PROKKA|ECOR60_00882:-:ECOR60_00882|ECOR60_00882	NZ_QOYG01000011.1	99.034	414	4	0	1	414	113788	114201	0.0	743	120506	NZ_QOYG01000011.1
ECOR61_PROKKA|ECOR61_00898:-:ECOR61_00898|ECOR61_00898	NZ_QOYG01000011.1	98.551	414	6	0	1	414	113788	114201	0.0	732	120506	NZ_QOYG01000011.1
ECOR62_PROKKA|ECOR62_04223:-:ECOR62_04223|ECOR62_04223	NZ_QOYG01000011.1	98.551	414	6	0	1	414	113788	114201	0.0	732	120506	NZ_QOYG01000011.1
ECOR64_PROKKA|ECOR64_03442:-:ECOR64_03442|ECOR64_03442	NZ_QOYG01000011.1	99.034	414	4	0	1	414	113788	114201	0.0	743	120506	NZ_QOYG01000011.1
ECOR66_PROKKA|ECOR66_02298:-:ECOR66_02298|ECOR66_02298	NZ_QOYG01000011.1	98.309	414	7	0	1	414	113788	114201	0.0	726	120506	NZ_QOYG01000011.1
ECOR6_PROKKA|ECOR6_04018:-:ECOR6_04018|ECOR6_04018	NZ_QOYG01000011.1	99.275	414	3	0	1	414	113788	114201	0.0	749	120506	NZ_QOYG01000011.1
ECOR8_PROKKA|ECOR8_02076:-:ECOR8_02076|ECOR8_02076	NZ_QOYG01000011.1	99.034	414	4	0	1	414	113788	114201	0.0	743	120506	NZ_QOYG01000011.1
KE21|HKKLMMAK_03478:holD:HKKLMMAK_03478|HKKLMMAK_03478	NZ_QOYG01000011.1	99.034	414	4	0	1	414	113788	114201	0.0	743	120506	NZ_QOYG01000011.1
KE24|FLBELDDJ_00980:holD:FLBELDDJ_00980|FLBELDDJ_00980	NZ_QOYG01000011.1	99.275	414	3	0	1	414	113788	114201	0.0	749	120506	NZ_QOYG01000011.1
KE25|NKLEEENC_01353:holD:NKLEEENC_01353|NKLEEENC_01353	NZ_QOYG01000011.1	99.275	414	3	0	1	414	113788	114201	0.0	749	120506	NZ_QOYG01000011.1
KE26|AFHKKBMH_00615:holD:AFHKKBMH_00615|AFHKKBMH_00615	NZ_QOYG01000011.1	98.551	414	6	0	1	414	113788	114201	0.0	732	120506	NZ_QOYG01000011.1
KE4|NBLHDMPF_03754:holD:NBLHDMPF_03754|NBLHDMPF_03754	NZ_QOYG01000011.1	99.034	414	4	0	1	414	113788	114201	0.0	743	120506	NZ_QOYG01000011.1
KE40|EEHHMH_03080:holD:EEHHMH_03080|EEHHMH_03080	NZ_QOYG01000011.1	100.000	414	0	0	1	414	113788	114201	0.0	765	120506	NZ_QOYG01000011.1
KE41|PNKGMM_24815:holD:PNKGMM_24815|PNKGMM_24815	NZ_QOYG01000011.1	99.034	414	4	0	1	414	113788	114201	0.0	743	120506	NZ_QOYG01000011.1
KE46|DADKIG_19940:holD:DADKIG_19940|DADKIG_19940	NZ_QOYG01000011.1	99.275	414	3	0	1	414	113788	114201	0.0	749	120506	NZ_QOYG01000011.1
KE47|NHFOKF_08250:holD:NHFOKF_08250|NHFOKF_08250	NZ_QOYG01000011.1	98.551	414	6	0	1	414	113788	114201	0.0	732	120506	NZ_QOYG01000011.1
KE48_PROKKA|KE48_03467:holD:KE48_03467|KE48_03467	NZ_QOYG01000011.1	99.034	414	4	0	1	414	113788	114201	0.0	743	120506	NZ_QOYG01000011.1
KE50|OOFCCB_01470:holD:OOFCCB_01470|OOFCCB_01470	NZ_QOYG01000011.1	98.551	414	6	0	1	414	113788	114201	0.0	732	120506	NZ_QOYG01000011.1
KE51|BHDFJC_22915:holD:BHDFJC_22915|BHDFJC_22915	NZ_QOYG01000011.1	99.034	414	4	0	1	414	113788	114201	0.0	743	120506	NZ_QOYG01000011.1
KE54|NBPOCE_20810:holD:NBPOCE_20810|NBPOCE_20810	NZ_QOYG01000011.1	98.551	414	6	0	1	414	113788	114201	0.0	732	120506	NZ_QOYG01000011.1
KE55|HDLJKA_19890:holD:HDLJKA_19890|HDLJKA_19890	NZ_QOYG01000011.1	98.551	414	6	0	1	414	113788	114201	0.0	732	120506	NZ_QOYG01000011.1
KE58|FKGHDH_20070:holD:FKGHDH_20070|FKGHDH_20070	NZ_QOYG01000011.1	99.275	414	3	0	1	414	113788	114201	0.0	749	120506	NZ_QOYG01000011.1
LRPF007|PGOAJBJE_04112:holD:PGOAJBJE_04112|PGOAJBJE_04112	NZ_QOYG01000011.1	99.034	414	4	0	1	414	113788	114201	0.0	743	120506	NZ_QOYG01000011.1
LRPF62|CPONALDP_04246:holD:CPONALDP_04246|CPONALDP_04246	NZ_QOYG01000011.1	99.275	414	3	0	1	414	113788	114201	0.0	749	120506	NZ_QOYG01000011.1
MG1655|9d38f563c3a26fdef9221ebcd767f53a_9362:holD:b4372|9d38f563c3a26fdef9221ebcd767f53a_9362	NZ_QOYG01000011.1	97.826	414	9	0	1	414	113788	114201	0.0	715	120506	NZ_QOYG01000011.1
UTI89|a370e86af943a50f23d4c066bcb16592_9718:holD:IFE20_RS23875|a370e86af943a50f23d4c066bcb16592_9718	NZ_QOYG01000011.1	98.551	414	6	0	1	414	113788	114201	0.0	732	120506	NZ_QOYG01000011.1
W3110|a99aee7d8774ee1318b35b64abeb3eab_9084:holD:Y75_RS22855|a99aee7d8774ee1318b35b64abeb3eab_9084	NZ_QOYG01000011.1	97.826	414	9	0	1	414	113788	114201	0.0	715	120506	NZ_QOYG01000011.1
