qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_8343:rph:HGG68_RS20490|2b84de5415a5ca9477dbe99a5510e5bf_8343	NZ_QOYG01000024.1	97.629	717	17	0	1	717	31948	31232	0.0	1230	66375	NZ_QOYG01000024.1
ECOR11_PROKKA|ECOR11_01805:rph:ECOR11_01805|ECOR11_01805	NZ_QOYG01000024.1	98.605	717	10	0	1	717	31948	31232	0.0	1269	66375	NZ_QOYG01000024.1
ECOR14_PROKKA|ECOR14_01675:rph:ECOR14_01675|ECOR14_01675	NZ_QOYG01000024.1	98.326	717	12	0	1	717	31948	31232	0.0	1258	66375	NZ_QOYG01000024.1
ECOR16_PROKKA|ECOR16_00521:rph:ECOR16_00521|ECOR16_00521	NZ_QOYG01000024.1	98.326	717	12	0	1	717	31948	31232	0.0	1258	66375	NZ_QOYG01000024.1
ECOR23_PROKKA|ECOR23_01740:-:ECOR23_01740|ECOR23_01740	NZ_QOYG01000024.1	97.629	717	17	0	1	717	31948	31232	0.0	1230	66375	NZ_QOYG01000024.1
ECOR44_PROKKA|ECOR44_02434:-:ECOR44_02434|ECOR44_02434	NZ_QOYG01000024.1	98.326	717	12	0	1	717	31948	31232	0.0	1258	66375	NZ_QOYG01000024.1
ECOR48_PROKKA|ECOR48_02174:-:ECOR48_02174|ECOR48_02174	NZ_QOYG01000024.1	98.884	717	8	0	1	717	31948	31232	0.0	1280	66375	NZ_QOYG01000024.1
ECOR49_PROKKA|ECOR49_00436:-:ECOR49_00436|ECOR49_00436	NZ_QOYG01000024.1	98.884	717	8	0	1	717	31948	31232	0.0	1280	66375	NZ_QOYG01000024.1
ECOR4_PROKKA|ECOR4_04152:-:ECOR4_04152|ECOR4_04152	NZ_QOYG01000024.1	98.745	717	9	0	1	717	31948	31232	0.0	1275	66375	NZ_QOYG01000024.1
ECOR50_PROKKA|ECOR50_01786:-:ECOR50_01786|ECOR50_01786	NZ_QOYG01000024.1	98.884	717	8	0	1	717	31948	31232	0.0	1280	66375	NZ_QOYG01000024.1
ECOR51_PROKKA|ECOR51_04074:-:ECOR51_04074|ECOR51_04074	NZ_QOYG01000024.1	97.629	717	17	0	1	717	31948	31232	0.0	1230	66375	NZ_QOYG01000024.1
ECOR52_PROKKA|ECOR52_01816:-:ECOR52_01816|ECOR52_01816	NZ_QOYG01000024.1	97.629	717	17	0	1	717	31948	31232	0.0	1230	66375	NZ_QOYG01000024.1
