qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_8578:yidL:HGG68_RS21070|2b84de5415a5ca9477dbe99a5510e5bf_8578	NZ_QOYG01000014.1	97.793	861	19	0	1	861	84919	84059	0.0	1485	102991	NZ_QOYG01000014.1
ECOR11_PROKKA|ECOR11_01093:yidL:ECOR11_01093|ECOR11_01093	NZ_QOYG01000014.1	98.210	894	16	0	1	894	84919	84026	0.0	1563	102991	NZ_QOYG01000014.1
ECOR14_PROKKA|ECOR14_00647:rhaR_2:ECOR14_00647|ECOR14_00647	NZ_QOYG01000014.1	98.434	894	14	0	1	894	84919	84026	0.0	1574	102991	NZ_QOYG01000014.1
ECOR23_PROKKA|ECOR23_00894:-:ECOR23_00894|ECOR23_00894	NZ_QOYG01000014.1	97.793	861	19	0	1	861	84919	84059	0.0	1485	102991	NZ_QOYG01000014.1
ECOR44_PROKKA|ECOR44_00820:-:ECOR44_00820|ECOR44_00820	NZ_QOYG01000014.1	99.441	894	5	0	1	894	84919	84026	0.0	1624	102991	NZ_QOYG01000014.1
ECOR48_PROKKA|ECOR48_01037:-:ECOR48_01037|ECOR48_01037	NZ_QOYG01000014.1	99.217	894	7	0	1	894	84919	84026	0.0	1613	102991	NZ_QOYG01000014.1
ECOR49_PROKKA|ECOR49_00379:-:ECOR49_00379|ECOR49_00379	NZ_QOYG01000014.1	98.770	894	11	0	1	894	84919	84026	0.0	1591	102991	NZ_QOYG01000014.1
ECOR4_PROKKA|ECOR4_04113:-:ECOR4_04113|ECOR4_04113	NZ_QOYG01000014.1	98.434	894	14	0	1	894	84919	84026	0.0	1574	102991	NZ_QOYG01000014.1
ECOR50_PROKKA|ECOR50_03424:-:ECOR50_03424|ECOR50_03424	NZ_QOYG01000014.1	98.770	894	11	0	1	894	84919	84026	0.0	1591	102991	NZ_QOYG01000014.1
ECOR51_PROKKA|ECOR51_04158:-:ECOR51_04158|ECOR51_04158	NZ_QOYG01000014.1	97.793	861	19	0	1	861	84919	84059	0.0	1485	102991	NZ_QOYG01000014.1
