qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_4404:fliG:HGG68_RS10795|2b84de5415a5ca9477dbe99a5510e5bf_4404	NZ_QOYG01000001.1	98.394	996	16	0	1	996	432394	433389	0.0	1751	782163	NZ_QOYG01000001.1
ECOR11_PROKKA|ECOR11_04746:fliG:ECOR11_04746|ECOR11_04746	NZ_QOYG01000001.1	98.092	996	19	0	1	996	432394	433389	0.0	1735	782163	NZ_QOYG01000001.1
ECOR14_PROKKA|ECOR14_02122:fliG:ECOR14_02122|ECOR14_02122	NZ_QOYG01000001.1	98.193	996	18	0	1	996	432394	433389	0.0	1740	782163	NZ_QOYG01000001.1
ECOR16_PROKKA|ECOR16_00151:fliG:ECOR16_00151|ECOR16_00151	NZ_QOYG01000001.1	98.092	996	19	0	1	996	432394	433389	0.0	1735	782163	NZ_QOYG01000001.1
ECOR23_PROKKA|ECOR23_02131:-:ECOR23_02131|ECOR23_02131	NZ_QOYG01000001.1	98.394	996	16	0	1	996	432394	433389	0.0	1751	782163	NZ_QOYG01000001.1
ECOR44_PROKKA|ECOR44_02528:-:ECOR44_02528|ECOR44_02528	NZ_QOYG01000001.1	99.197	996	8	0	1	996	432394	433389	0.0	1796	782163	NZ_QOYG01000001.1
ECOR48_PROKKA|ECOR48_04555:-:ECOR48_04555|ECOR48_04555	NZ_QOYG01000001.1	98.193	996	18	0	1	996	432394	433389	0.0	1740	782163	NZ_QOYG01000001.1
ECOR49_PROKKA|ECOR49_03199:-:ECOR49_03199|ECOR49_03199	NZ_QOYG01000001.1	98.394	996	16	0	1	996	432394	433389	0.0	1751	782163	NZ_QOYG01000001.1
ECOR4_PROKKA|ECOR4_03245:-:ECOR4_03245|ECOR4_03245	NZ_QOYG01000001.1	98.092	996	19	0	1	996	432394	433389	0.0	1735	782163	NZ_QOYG01000001.1
ECOR50_PROKKA|ECOR50_01988:-:ECOR50_01988|ECOR50_01988	NZ_QOYG01000001.1	98.394	996	16	0	1	996	432394	433389	0.0	1751	782163	NZ_QOYG01000001.1
ECOR51_PROKKA|ECOR51_02606:-:ECOR51_02606|ECOR51_02606	NZ_QOYG01000001.1	98.394	996	16	0	1	996	432394	433389	0.0	1751	782163	NZ_QOYG01000001.1
ECOR52_PROKKA|ECOR52_01230:-:ECOR52_01230|ECOR52_01230	NZ_QOYG01000001.1	98.394	996	16	0	1	996	432394	433389	0.0	1751	782163	NZ_QOYG01000001.1
ECOR53_PROKKA|ECOR53_02658:-:ECOR53_02658|ECOR53_02658	NZ_QOYG01000001.1	98.092	996	19	0	1	996	432394	433389	0.0	1735	782163	NZ_QOYG01000001.1
ECOR54_PROKKA|ECOR54_02356:-:ECOR54_02356|ECOR54_02356	NZ_QOYG01000001.1	98.394	996	16	0	1	996	432394	433389	0.0	1751	782163	NZ_QOYG01000001.1
ECOR55_PROKKA|ECOR55_01764:-:ECOR55_01764|ECOR55_01764	NZ_QOYG01000001.1	98.394	996	16	0	1	996	432394	433389	0.0	1751	782163	NZ_QOYG01000001.1
ECOR56_PROKKA|ECOR56_03510:-:ECOR56_03510|ECOR56_03510	NZ_QOYG01000001.1	98.394	996	16	0	1	996	432394	433389	0.0	1751	782163	NZ_QOYG01000001.1
ECOR60_PROKKA|ECOR60_03293:-:ECOR60_03293|ECOR60_03293	NZ_QOYG01000001.1	98.092	996	19	0	1	996	432394	433389	0.0	1735	782163	NZ_QOYG01000001.1
ECOR61_PROKKA|ECOR61_01169:-:ECOR61_01169|ECOR61_01169	NZ_QOYG01000001.1	98.394	996	16	0	1	996	432394	433389	0.0	1751	782163	NZ_QOYG01000001.1
ECOR62_PROKKA|ECOR62_02883:-:ECOR62_02883|ECOR62_02883	NZ_QOYG01000001.1	98.394	996	16	0	1	996	432394	433389	0.0	1751	782163	NZ_QOYG01000001.1
ECOR64_PROKKA|ECOR64_00458:-:ECOR64_00458|ECOR64_00458	NZ_QOYG01000001.1	98.293	996	17	0	1	996	432394	433389	0.0	1746	782163	NZ_QOYG01000001.1
ECOR66_PROKKA|ECOR66_01754:-:ECOR66_01754|ECOR66_01754	NZ_QOYG01000001.1	98.293	996	17	0	1	996	432394	433389	0.0	1746	782163	NZ_QOYG01000001.1
ECOR6_PROKKA|ECOR6_04104:-:ECOR6_04104|ECOR6_04104	NZ_QOYG01000001.1	98.193	996	18	0	1	996	432394	433389	0.0	1740	782163	NZ_QOYG01000001.1
ECOR8_PROKKA|ECOR8_01152:-:ECOR8_01152|ECOR8_01152	NZ_QOYG01000001.1	98.193	996	18	0	1	996	432394	433389	0.0	1740	782163	NZ_QOYG01000001.1
