qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
ECOR11_PROKKA|ECOR11_03760:dnaG:ECOR11_03760|ECOR11_03760	NZ_QOYG01000002.1	99.025	1744	17	0	1	1744	201232	199489	0.0	3127	724032	NZ_QOYG01000002.1
ECOR14_PROKKA|ECOR14_03117:dnaG:ECOR14_03117|ECOR14_03117	NZ_QOYG01000002.1	99.313	1746	12	0	1	1746	201232	199487	0.0	3158	724032	NZ_QOYG01000002.1
ECOR16_PROKKA|ECOR16_01700:dnaG:ECOR16_01700|ECOR16_01700	NZ_QOYG01000002.1	99.313	1746	12	0	1	1746	201232	199487	0.0	3158	724032	NZ_QOYG01000002.1
ECOR23_PROKKA|ECOR23_03222:-:ECOR23_03222|ECOR23_03222	NZ_QOYG01000002.1	99.370	1746	11	0	1	1746	201232	199487	0.0	3164	724032	NZ_QOYG01000002.1
ECOR44_PROKKA|ECOR44_03657:-:ECOR44_03657|ECOR44_03657	NZ_QOYG01000002.1	98.912	1746	19	0	1	1746	201232	199487	0.0	3120	724032	NZ_QOYG01000002.1
ECOR48_PROKKA|ECOR48_01244:-:ECOR48_01244|ECOR48_01244	NZ_QOYG01000002.1	99.198	1746	14	0	1	1746	201232	199487	0.0	3147	724032	NZ_QOYG01000002.1
ECOR49_PROKKA|ECOR49_03725:-:ECOR49_03725|ECOR49_03725	NZ_QOYG01000002.1	99.313	1746	12	0	1	1746	201232	199487	0.0	3158	724032	NZ_QOYG01000002.1
ECOR4_PROKKA|ECOR4_01176:-:ECOR4_01176|ECOR4_01176	NZ_QOYG01000002.1	99.255	1746	13	0	1	1746	201232	199487	0.0	3153	724032	NZ_QOYG01000002.1
ECOR50_PROKKA|ECOR50_04050:-:ECOR50_04050|ECOR50_04050	NZ_QOYG01000002.1	99.313	1746	12	0	1	1746	201232	199487	0.0	3158	724032	NZ_QOYG01000002.1
ECOR51_PROKKA|ECOR51_03468:-:ECOR51_03468|ECOR51_03468	NZ_QOYG01000002.1	99.370	1746	11	0	1	1746	201232	199487	0.0	3164	724032	NZ_QOYG01000002.1
ECOR52_PROKKA|ECOR52_02880:-:ECOR52_02880|ECOR52_02880	NZ_QOYG01000002.1	99.370	1746	11	0	1	1746	201232	199487	0.0	3164	724032	NZ_QOYG01000002.1
ECOR53_PROKKA|ECOR53_03416:-:ECOR53_03416|ECOR53_03416	NZ_QOYG01000002.1	99.141	1746	15	0	1	1746	201232	199487	0.0	3142	724032	NZ_QOYG01000002.1
ECOR54_PROKKA|ECOR54_03055:-:ECOR54_03055|ECOR54_03055	NZ_QOYG01000002.1	99.370	1746	11	0	1	1746	201232	199487	0.0	3164	724032	NZ_QOYG01000002.1
ECOR55_PROKKA|ECOR55_02729:-:ECOR55_02729|ECOR55_02729	NZ_QOYG01000002.1	99.370	1746	11	0	1	1746	201232	199487	0.0	3164	724032	NZ_QOYG01000002.1
ECOR56_PROKKA|ECOR56_02924:-:ECOR56_02924|ECOR56_02924	NZ_QOYG01000002.1	99.370	1746	11	0	1	1746	201232	199487	0.0	3164	724032	NZ_QOYG01000002.1
ECOR60_PROKKA|ECOR60_04662:-:ECOR60_04662|ECOR60_04662	NZ_QOYG01000002.1	99.141	1746	15	0	1	1746	201232	199487	0.0	3142	724032	NZ_QOYG01000002.1
ECOR61_PROKKA|ECOR61_00675:-:ECOR61_00675|ECOR61_00675	NZ_QOYG01000002.1	99.141	1746	15	0	1	1746	201232	199487	0.0	3142	724032	NZ_QOYG01000002.1
ECOR62_PROKKA|ECOR62_00965:-:ECOR62_00965|ECOR62_00965	NZ_QOYG01000002.1	99.141	1746	15	0	1	1746	201232	199487	0.0	3142	724032	NZ_QOYG01000002.1
ECOR64_PROKKA|ECOR64_02401:-:ECOR64_02401|ECOR64_02401	NZ_QOYG01000002.1	99.084	1746	16	0	1	1746	201232	199487	0.0	3136	724032	NZ_QOYG01000002.1
ECOR66_PROKKA|ECOR66_04226:-:ECOR66_04226|ECOR66_04226	NZ_QOYG01000002.1	99.141	1746	15	0	1	1746	201232	199487	0.0	3142	724032	NZ_QOYG01000002.1
ECOR6_PROKKA|ECOR6_01725:-:ECOR6_01725|ECOR6_01725	NZ_QOYG01000002.1	99.313	1746	12	0	1	1746	201232	199487	0.0	3158	724032	NZ_QOYG01000002.1
ECOR8_PROKKA|ECOR8_03774:-:ECOR8_03774|ECOR8_03774	NZ_QOYG01000002.1	99.313	1746	12	0	1	1746	201232	199487	0.0	3158	724032	NZ_QOYG01000002.1
KE21|HKKLMMAK_01963:dnaG:HKKLMMAK_01963|HKKLMMAK_01963	NZ_QOYG01000002.1	99.370	1746	11	0	1	1746	201232	199487	0.0	3164	724032	NZ_QOYG01000002.1
KE24|FLBELDDJ_02539:dnaG:FLBELDDJ_02539|FLBELDDJ_02539	NZ_QOYG01000002.1	99.255	1746	13	0	1	1746	201232	199487	0.0	3153	724032	NZ_QOYG01000002.1
KE25|NKLEEENC_01802:dnaG:NKLEEENC_01802|NKLEEENC_01802	NZ_QOYG01000002.1	99.370	1746	11	0	1	1746	201232	199487	0.0	3164	724032	NZ_QOYG01000002.1
KE26|AFHKKBMH_03939:dnaG:AFHKKBMH_03939|AFHKKBMH_03939	NZ_QOYG01000002.1	99.370	1746	11	0	1	1746	201232	199487	0.0	3164	724032	NZ_QOYG01000002.1
KE4|NBLHDMPF_00202:dnaG:NBLHDMPF_00202|NBLHDMPF_00202	NZ_QOYG01000002.1	99.141	1746	15	0	1	1746	201232	199487	0.0	3142	724032	NZ_QOYG01000002.1
KE40|EEHHMH_21900:dnaG:EEHHMH_21900|EEHHMH_21900	NZ_QOYG01000002.1	100.000	1746	0	0	1	1746	201232	199487	0.0	3225	724032	NZ_QOYG01000002.1
