qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_3337:pgrR:HGG68_RS08175|2b84de5415a5ca9477dbe99a5510e5bf_3337	NZ_QOYY01000004.1	100.000	229	0	0	672	900	333257	333485	9.57e-119	424	366803	NZ_QOYY01000004.1
ECOR11_PROKKA|ECOR11_00828:ycjZ:ECOR11_00828|ECOR11_00828	NZ_QOYY01000004.1	100.000	229	0	0	672	900	333257	333485	9.57e-119	424	366803	NZ_QOYY01000004.1
ECOR14_PROKKA|ECOR14_04258:pgrR_2:ECOR14_04258|ECOR14_04258	NZ_QOYY01000004.1	99.563	229	1	0	672	900	333257	333485	4.45e-117	418	366803	NZ_QOYY01000004.1
ECOR16_PROKKA|ECOR16_00414:pgrR_1:ECOR16_00414|ECOR16_00414	NZ_QOYY01000004.1	99.563	229	1	0	672	900	333257	333485	4.45e-117	418	366803	NZ_QOYY01000004.1
ECOR23_PROKKA|ECOR23_04380:-:ECOR23_04380|ECOR23_04380	NZ_QOYY01000004.1	100.000	229	0	0	672	900	333257	333485	9.57e-119	424	366803	NZ_QOYY01000004.1
ECOR44_PROKKA|ECOR44_01236:-:ECOR44_01236|ECOR44_01236	NZ_QOYY01000004.1	100.000	229	0	0	672	900	333257	333485	9.57e-119	424	366803	NZ_QOYY01000004.1
ECOR48_PROKKA|ECOR48_05000:-:ECOR48_05000|ECOR48_05000	NZ_QOYY01000004.1	99.127	229	2	0	672	900	333257	333485	2.07e-115	412	366803	NZ_QOYY01000004.1
ECOR49_PROKKA|ECOR49_04752:-:ECOR49_04752|ECOR49_04752	NZ_QOYY01000004.1	100.000	229	0	0	672	900	333257	333485	9.57e-119	424	366803	NZ_QOYY01000004.1
ECOR4_PROKKA|ECOR4_01416:-:ECOR4_01416|ECOR4_01416	NZ_QOYY01000004.1	100.000	229	0	0	672	900	333257	333485	9.57e-119	424	366803	NZ_QOYY01000004.1
ECOR50_PROKKA|ECOR50_00300:-:ECOR50_00300|ECOR50_00300	NZ_QOYY01000004.1	99.563	229	1	0	672	900	333257	333485	4.45e-117	418	366803	NZ_QOYY01000004.1
ECOR51_PROKKA|ECOR51_04535:-:ECOR51_04535|ECOR51_04535	NZ_QOYY01000004.1	100.000	229	0	0	672	900	333257	333485	9.57e-119	424	366803	NZ_QOYY01000004.1
ECOR52_PROKKA|ECOR52_04388:-:ECOR52_04388|ECOR52_04388	NZ_QOYY01000004.1	100.000	229	0	0	672	900	333257	333485	9.57e-119	424	366803	NZ_QOYY01000004.1
ECOR53_PROKKA|ECOR53_00637:-:ECOR53_00637|ECOR53_00637	NZ_QOYY01000004.1	99.563	229	1	0	672	900	333257	333485	4.45e-117	418	366803	NZ_QOYY01000004.1
ECOR54_PROKKA|ECOR54_04529:-:ECOR54_04529|ECOR54_04529	NZ_QOYY01000004.1	100.000	229	0	0	672	900	333257	333485	9.57e-119	424	366803	NZ_QOYY01000004.1
