qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
ECOR11_PROKKA|ECOR11_01671:yohF:ECOR11_01671|ECOR11_01671	NZ_QOYG01000001.1	95.669	762	33	0	1	762	647599	646838	0.0	1225	782163	NZ_QOYG01000001.1
ECOR14_PROKKA|ECOR14_01884:yohF:ECOR14_01884|ECOR14_01884	NZ_QOYG01000001.1	96.850	762	24	0	1	762	647599	646838	0.0	1275	782163	NZ_QOYG01000001.1
ECOR16_PROKKA|ECOR16_00078:yohF:ECOR16_00078|ECOR16_00078	NZ_QOYG01000001.1	95.538	762	34	0	1	762	647599	646838	0.0	1219	782163	NZ_QOYG01000001.1
ECOR23_PROKKA|ECOR23_01524:-:ECOR23_01524|ECOR23_01524	NZ_QOYG01000001.1	95.932	762	31	0	1	762	647599	646838	0.0	1236	782163	NZ_QOYG01000001.1
ECOR44_PROKKA|ECOR44_04715:-:ECOR44_04715|ECOR44_04715	NZ_QOYG01000001.1	99.738	762	2	0	1	762	647599	646838	0.0	1397	782163	NZ_QOYG01000001.1
ECOR48_PROKKA|ECOR48_00007:-:ECOR48_00007|ECOR48_00007	NZ_QOYG01000001.1	96.325	762	28	0	1	762	647599	646838	0.0	1253	782163	NZ_QOYG01000001.1
ECOR49_PROKKA|ECOR49_03051:-:ECOR49_03051|ECOR49_03051	NZ_QOYG01000001.1	99.213	762	6	0	1	762	647599	646838	0.0	1375	782163	NZ_QOYG01000001.1
ECOR4_PROKKA|ECOR4_01989:-:ECOR4_01989|ECOR4_01989	NZ_QOYG01000001.1	95.538	762	34	0	1	762	647599	646838	0.0	1219	782163	NZ_QOYG01000001.1
ECOR50_PROKKA|ECOR50_02849:-:ECOR50_02849|ECOR50_02849	NZ_QOYG01000001.1	99.213	762	6	0	1	762	647599	646838	0.0	1375	782163	NZ_QOYG01000001.1
ECOR51_PROKKA|ECOR51_01432:-:ECOR51_01432|ECOR51_01432	NZ_QOYG01000001.1	95.932	762	31	0	1	762	647599	646838	0.0	1236	782163	NZ_QOYG01000001.1
ECOR52_PROKKA|ECOR52_02442:-:ECOR52_02442|ECOR52_02442	NZ_QOYG01000001.1	95.932	762	31	0	1	762	647599	646838	0.0	1236	782163	NZ_QOYG01000001.1
ECOR53_PROKKA|ECOR53_01652:-:ECOR53_01652|ECOR53_01652	NZ_QOYG01000001.1	96.194	762	29	0	1	762	647599	646838	0.0	1247	782163	NZ_QOYG01000001.1
ECOR54_PROKKA|ECOR54_01256:-:ECOR54_01256|ECOR54_01256	NZ_QOYG01000001.1	95.932	762	31	0	1	762	647599	646838	0.0	1236	782163	NZ_QOYG01000001.1
ECOR55_PROKKA|ECOR55_01501:-:ECOR55_01501|ECOR55_01501	NZ_QOYG01000001.1	95.932	762	31	0	1	762	647599	646838	0.0	1236	782163	NZ_QOYG01000001.1
ECOR56_PROKKA|ECOR56_01488:-:ECOR56_01488|ECOR56_01488	NZ_QOYG01000001.1	94.832	387	20	0	1	387	647224	646838	1.38e-173	604	782163	NZ_QOYG01000001.1
ECOR60_PROKKA|ECOR60_01961:-:ECOR60_01961|ECOR60_01961	NZ_QOYG01000001.1	96.194	762	29	0	1	762	647599	646838	0.0	1247	782163	NZ_QOYG01000001.1
ECOR61_PROKKA|ECOR61_01396:-:ECOR61_01396|ECOR61_01396	NZ_QOYG01000001.1	93.963	762	46	0	1	762	647599	646838	0.0	1153	782163	NZ_QOYG01000001.1
ECOR62_PROKKA|ECOR62_00565:-:ECOR62_00565|ECOR62_00565	NZ_QOYG01000001.1	93.963	762	46	0	1	762	647599	646838	0.0	1153	782163	NZ_QOYG01000001.1
ECOR64_PROKKA|ECOR64_01522:-:ECOR64_01522|ECOR64_01522	NZ_QOYG01000001.1	96.063	762	30	0	1	762	647599	646838	0.0	1242	782163	NZ_QOYG01000001.1
ECOR66_PROKKA|ECOR66_01524:-:ECOR66_01524|ECOR66_01524	NZ_QOYG01000001.1	95.144	762	37	0	1	762	647599	646838	0.0	1203	782163	NZ_QOYG01000001.1
ECOR6_PROKKA|ECOR6_04294:-:ECOR6_04294|ECOR6_04294	NZ_QOYG01000001.1	96.850	762	24	0	1	762	647599	646838	0.0	1275	782163	NZ_QOYG01000001.1
ECOR8_PROKKA|ECOR8_02224:-:ECOR8_02224|ECOR8_02224	NZ_QOYG01000001.1	96.850	762	24	0	1	762	647599	646838	0.0	1275	782163	NZ_QOYG01000001.1
KE21|HKKLMMAK_00907:yohF:HKKLMMAK_00907|HKKLMMAK_00907	NZ_QOYG01000001.1	99.213	762	6	0	1	762	647599	646838	0.0	1375	782163	NZ_QOYG01000001.1
KE24|FLBELDDJ_03564:yohF:FLBELDDJ_03564|FLBELDDJ_03564	NZ_QOYG01000001.1	94.094	762	45	0	1	762	647599	646838	0.0	1158	782163	NZ_QOYG01000001.1
KE25|NKLEEENC_04094:yohF:NKLEEENC_04094|NKLEEENC_04094	NZ_QOYG01000001.1	99.213	762	6	0	1	762	647599	646838	0.0	1375	782163	NZ_QOYG01000001.1
KE26|AFHKKBMH_02955:yohF:AFHKKBMH_02955|AFHKKBMH_02955	NZ_QOYG01000001.1	99.213	762	6	0	1	762	647599	646838	0.0	1375	782163	NZ_QOYG01000001.1
KE4|NBLHDMPF_01238:yohF:NBLHDMPF_01238|NBLHDMPF_01238	NZ_QOYG01000001.1	96.194	762	29	0	1	762	647599	646838	0.0	1247	782163	NZ_QOYG01000001.1
KE40|EEHHMH_16525:yohF:EEHHMH_16525|EEHHMH_16525	NZ_QOYG01000001.1	100.000	762	0	0	1	762	647599	646838	0.0	1408	782163	NZ_QOYG01000001.1
KE41|PNKGMM_12920:yohF:PNKGMM_12920|PNKGMM_12920	NZ_QOYG01000001.1	96.063	762	30	0	1	762	647599	646838	0.0	1242	782163	NZ_QOYG01000001.1
KE46|DADKIG_08320:yohF:DADKIG_08320|DADKIG_08320	NZ_QOYG01000001.1	96.457	762	27	0	1	762	647599	646838	0.0	1258	782163	NZ_QOYG01000001.1
KE47|NHFOKF_20525:yohF:NHFOKF_20525|NHFOKF_20525	NZ_QOYG01000001.1	100.000	762	0	0	1	762	647599	646838	0.0	1408	782163	NZ_QOYG01000001.1
KE48_PROKKA|KE48_01149:yohF_1:KE48_01149|KE48_01149	NZ_QOYG01000001.1	94.832	387	20	0	1	387	647224	646838	1.38e-173	604	782163	NZ_QOYG01000001.1
KE50|OOFCCB_14060:yohF:OOFCCB_14060|OOFCCB_14060	NZ_QOYG01000001.1	99.213	762	6	0	1	762	647599	646838	0.0	1375	782163	NZ_QOYG01000001.1
KE51|BHDFJC_09790:yohF:BHDFJC_09790|BHDFJC_09790	NZ_QOYG01000001.1	94.832	387	20	0	1	387	647224	646838	1.38e-173	604	782163	NZ_QOYG01000001.1
KE54|NBPOCE_07035:yohF:NBPOCE_07035|NBPOCE_07035	NZ_QOYG01000001.1	99.213	762	6	0	1	762	647599	646838	0.0	1375	782163	NZ_QOYG01000001.1
KE55|HDLJKA_08160:yohF:HDLJKA_08160|HDLJKA_08160	NZ_QOYG01000001.1	96.325	762	28	0	1	762	647599	646838	0.0	1253	782163	NZ_QOYG01000001.1
KE58|FKGHDH_08360:yohF:FKGHDH_08360|FKGHDH_08360	NZ_QOYG01000001.1	96.850	762	24	0	1	762	647599	646838	0.0	1275	782163	NZ_QOYG01000001.1
LRPF007|PGOAJBJE_00491:yohF:PGOAJBJE_00491|PGOAJBJE_00491	NZ_QOYG01000001.1	96.063	762	30	0	1	762	647599	646838	0.0	1242	782163	NZ_QOYG01000001.1
LRPF62|CPONALDP_01990:yohF:CPONALDP_01990|CPONALDP_01990	NZ_QOYG01000001.1	99.213	762	6	0	1	762	647599	646838	0.0	1375	782163	NZ_QOYG01000001.1
MG1655|9d38f563c3a26fdef9221ebcd767f53a_4611:yohF:b2137|9d38f563c3a26fdef9221ebcd767f53a_4611	NZ_QOYG01000001.1	96.850	762	24	0	1	762	647599	646838	0.0	1275	782163	NZ_QOYG01000001.1
UTI89|a370e86af943a50f23d4c066bcb16592_4655:yohF:IFE20_RS11460|a370e86af943a50f23d4c066bcb16592_4655	NZ_QOYG01000001.1	93.963	762	46	0	1	762	647599	646838	0.0	1153	782163	NZ_QOYG01000001.1
W3110|a99aee7d8774ee1318b35b64abeb3eab_4473:yohF:Y75_RS11210|a99aee7d8774ee1318b35b64abeb3eab_4473	NZ_QOYG01000001.1	96.850	762	24	0	1	762	647599	646838	0.0	1275	782163	NZ_QOYG01000001.1
